run_id,phase,seed,representation,family,train_n,test_n,status,n_iter,param_count,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,elapsed_s,time_iso
F12_S_20to20_seed2026,confirm,2026,F12,S,20,20,completed,72,46452,0.3874426757543218,0.3599815345588963,0.0274611411954254,0.0904004614099141,0.0205251217722906,0.0034766241556494,0.0936125585147946,0.4656666666666667,10.4,2026-07-19T21:50:04+00:00
F12_T_7to10-20_seed2026,confirm,2026,F12,T,7,"10,20",completed,51,46452,0.5004131924043761,0.4316139483212159,0.0687992440831601,0.494356259399356,0.0641227627469098,0.0137291065912611,0.2438650806716818,0.3795,7.9,2026-07-19T21:50:12+00:00
F12_T_10to7-20_seed2026,confirm,2026,F12,T,10,"7,20",completed,81,46452,0.5429829998158595,0.4865809990244663,0.0564020007913932,0.2024448784698361,0.058069469477382,0.0086435414010434,0.2161854927007428,0.4365,12.0,2026-07-19T21:50:24+00:00
F12_T_20to7-10_seed2026,confirm,2026,F12,T,20,"7,10",completed,72,46452,0.6239475559824514,0.541724066083185,0.0822234898992664,0.2566808306048136,0.0958455888427752,0.0143862111594425,0.4170865518884445,0.4433333333333333,10.7,2026-07-19T21:50:35+00:00
F12_L_hold7_seed2026,confirm,2026,F12,L,"10,20",7,completed,65,46452,0.6390230775134893,0.5864600855982591,0.0525629919152301,0.2223829940581677,0.0644150615948934,0.0003593096037898,0.2745986492165549,0.596,18.7,2026-07-19T21:50:54+00:00
F12_L_hold10_seed2026,confirm,2026,F12,L,"7,20",10,completed,37,46452,0.5407206959218961,0.4929447185511582,0.0477759773707379,0.1880542161306165,0.0493843754507789,0.0101302477160676,0.2119907366465918,0.4276666666666666,10.7,2026-07-19T21:51:05+00:00
F12_L_hold20_seed2026,confirm,2026,F12,L,"7,10",20,completed,59,46452,0.4094022186344522,0.3599815345588963,0.0494206840755558,0.1688854278813163,0.0380234713994339,0.0091837370396735,0.1639188202954465,0.3873333333333333,16.9,2026-07-19T21:51:22+00:00
RAW_J_seed2026,confirm,2026,RAW,J,"7,10,20","7,10,20",completed,41,46409,0.5368897459672335,0.4887114461420549,0.0481782998251785,0.1813383872764604,0.0494117217345019,0.0068443788170934,0.2010068765807089,0.4708888888888889,19.7,2026-07-19T21:51:41+00:00
RAW_S_7to7_seed2026,confirm,2026,RAW,S,7,7,completed,54,46409,0.6522447936926602,0.5864600855982591,0.065784708094401,0.2654871597231079,0.0814878388992634,0.0263605379547768,0.30386550844956,0.3646666666666666,8.1,2026-07-19T21:51:50+00:00
RAW_S_10to10_seed2026,confirm,2026,RAW,S,10,10,completed,98,46409,0.536666329940759,0.4929447185511582,0.0437216113896008,0.186696864368331,0.045016254144603,0.0149272653410888,0.181753884811846,0.3793333333333333,13.6,2026-07-19T21:52:03+00:00
