beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,status,loss
1.5,1000.0,100.0,0.1,7,29,0.54,1.6801767179500542,1177.9114625186928,33.04909599297546,0.8963943799764398,True,success,0.0505632007945662
1.5,1000.0,100.0,0.1,7,29,0.56,1.6684828958802924,1168.8299959568828,39.97354477783962,0.8910794366540522,True,success,0.0447229589520988
1.5,1000.0,100.0,0.1,7,29,0.58,1.657548360123636,1159.934864935332,46.66279563668045,0.8853856232020488,True,success,0.0394557898479094
1.5,1000.0,100.0,0.1,7,29,0.6,1.647333996948553,1151.194908857565,53.14271256792648,0.8792661979773626,True,success,0.0347031976974221
1.5,1000.0,100.0,0.1,7,29,0.62,1.6378070278207333,1142.5798874557254,59.4376270780446,0.8726660326633684,True,success,0.0304146757002957
1.5,1000.0,100.0,0.1,7,29,0.64,1.6289413330509426,1134.0601416894692,65.57055128877548,0.8655196939689366,True,success,0.0265467829145612
1.5,1000.0,100.0,0.1,7,29,0.66,1.6207157498418767,1125.606232384626,71.56363550120005,0.8577493483746327,True,success,0.0230621267774965
1.5,1000.0,100.0,0.1,7,29,0.68,1.6131143639960712,1117.18825061151,77.43859194144517,0.8492613464329558,True,success,0.0199287073670754
1.5,1000.0,100.0,0.1,7,29,0.7,1.6061302321673858,1108.774439096598,83.21715332100378,0.8399401790371444,True,success,0.0171195986233872
1.5,1000.0,100.0,0.1,7,29,0.72,1.599761177569364,1100.3311901901525,88.92159939188855,0.8296439318111019,True,success,0.0146123198183513
1.5,1000.0,100.0,0.1,7,29,0.74,1.5940132513934604,1091.8214336865556,94.57539910221084,0.8181942907516312,True,success,0.0123888203958525
1.5,1000.0,100.0,0.1,7,29,0.76,1.5889016497454296,1083.203220027396,100.20403966663072,0.8053637304326248,True,success,0.0104354856006502
1.5,1000.0,100.0,0.1,7,29,0.78,1.5844530071568703,1074.4275948893603,105.836157214401,0.7908561234810394,True,success,0.0087434433533074
1.5,1000.0,100.0,0.1,7,29,0.8,1.5807101425375298,1065.4352972299223,111.50516149382226,0.7742761627555804,True,success,0.0073093144683131
1.5,1000.0,100.0,0.1,7,29,0.82,1.577732445070532,1056.1529350165413,117.25169862812491,0.7550847077895178,True,success,0.0061362545572579
1.5,1000.0,100.0,0.1,7,29,0.84,1.575614275896588,1046.483791881868,123.1276047011518,0.7325126581057704,True,success,0.0052367484377585
1.5,1000.0,100.0,0.1,7,29,0.86,1.5744943219882426,1036.2959414488505,129.20268727133254,0.7054203033364517,True,success,0.0046365940910758
1.5,1000.0,100.0,0.1,7,29,0.88,1.5745884531524803,1025.3975067348126,135.57735060743423,0.6720144575108111,True,success,0.0043834200440023
1.5,1000.0,100.0,0.1,7,29,0.9,1.576253973388464,1013.4861900395894,142.40878395446157,0.6292370717060246,True,success,0.004564679370515
1.5,1000.0,100.0,0.1,7,29,0.92,1.7978372924785473,845.9856103864532,232.89655277873743,-621.8237625698231,True,success,0.0808072827444836
1.5,1000.0,100.0,0.1,7,29,0.94,1.7978372924785473,845.9856103864532,232.89655277873743,-621.8237625698231,True,success,0.0808072827444836
1.5,1000.0,100.0,0.1,7,29,0.96,1.7978372924785473,845.9856103864532,232.89655277873743,-621.8237625698231,True,success,0.0808072827444836
1.5,1000.0,100.0,0.1,7,29,0.98,1.7978372924785473,845.9856103864532,232.89655277873743,-621.8237625698231,True,success,0.0808072827444836
1.5,1000.0,100.0,0.1,7,29,1.0,1.7978372924785473,845.9856103864532,232.89655277873743,-621.8237625698231,True,success,0.0808072827444836
1.5,1000.0,100.0,0.1,7,33,0.48,1.5093889153321198,1144.5486344696403,213.79134389269024,0.8047332125250622,True,success,0.0338819562191038
1.5,1000.0,100.0,0.1,7,33,0.5,1.4946577018726106,1135.4300821596703,220.7798085266201,0.8007533055558664,True,success,0.032941753812294
1.5,1000.0,100.0,0.1,7,33,0.52,1.4809004441603233,1126.7237520456272,227.37073711397383,0.7966840799921064,True,success,0.0324443442424888
1.5,1000.0,100.0,0.1,7,33,0.54,1.4680340748482283,1118.3859897196894,233.6038982670888,0.7925143483902485,True,success,0.0323193865810991
1.5,1000.0,100.0,0.1,7,33,0.56,1.45599239835908,1110.3768241674636,239.5141878598404,0.788229082240519,True,success,0.0325079937062353
1.5,1000.0,100.0,0.1,7,33,0.58,1.4447116024178517,1102.6620104462545,245.1324145837729,0.783815578754975,True,success,0.0329614869994281
1.5,1000.0,100.0,0.1,7,33,0.6,1.4341438375819766,1095.2090056164602,250.48594786539616,0.7792556651698722,True,success,0.0336383459791681
1.5,1000.0,100.0,0.1,7,33,0.62,1.424239009156422,1087.9902503012477,255.59924491379672,0.774534509487209,True,success,0.0345043992696424
1.5,1000.0,100.0,0.1,7,33,0.64,1.4149586995984005,1080.9793488870323,260.4943050030291,0.7696324883733134,True,success,0.0355303092285708
1.5,1000.0,100.0,0.1,7,33,0.66,1.4062685680568867,1074.152201003342,265.1910448537542,0.7645285311353993,True,success,0.0366913330286735
1.5,1000.0,100.0,0.1,7,33,0.68,1.3981392236794148,1067.4863048071086,269.7076247420158,0.7591989442698716,True,success,0.0379664648999314
1.5,1000.0,100.0,0.1,7,33,0.7,1.3905486078708895,1060.959791525678,274.0607324536407,0.7536150824431717,True,success,0.0393375046491521
1.5,1000.0,100.0,0.1,7,33,0.72,1.3834669151777703,1054.554386930001,278.2658366201878,0.7477522899783742,True,success,0.0407904273539526
