beta,eta,gamma,gamma_over_eta,n,repeat_id,default_loss,base_l6_delta,base_l6_loss,loss_048,loss_050,new_grid_best_delta,new_grid_best_loss,extended_l6_loss,extended_l6_delta,loss_reduction,at_new_upper_boundary
1.5,1000.0,100.0,0.1,10,22,0.5657853092253411,0.5,0.09158347197125216,0.09650697194775289,0.09158347197125216,0.62,0.0788462355248706,0.0788462355248706,0.62,0.012737236446381556,False
1.5,1000.0,100.0,0.1,10,23,0.13628083820668377,0.5,0.05267831992498647,0.05856250516588293,0.05267831992498647,0.82,0.0148842901387173,0.0148842901387173,0.82,0.03779402978626917,False
1.5,1000.0,100.0,0.1,10,30,0.434157917758533,0.5,0.2548428952018813,0.2600758621916547,0.2548428952018813,1.0,0.1981906003385741,0.1981906003385741,1.0,0.056652294863307195,True
1.5,1000.0,100.0,0.1,10,32,0.01562234464022894,0.5,0.011064085207843065,0.012633342136874514,0.011064085207843065,0.7,0.0048657428823889,0.0048657428823889,0.7,0.006198342325454165,False
1.5,1000.0,100.0,0.1,10,36,0.16785292936330357,0.5,0.026311985115278293,0.026661453482427384,0.026311985115278293,0.52,0.0261817620251701,0.0261817620251701,0.52,0.00013022309010819397,False
1.5,1000.0,100.0,0.1,10,55,0.20879526519579406,0.5,0.11380325818091637,0.11584116226807917,0.11380325818091637,1.0,0.09000626369372,0.09000626369372,1.0,0.02379699448719637,True
1.5,1000.0,100.0,0.1,10,62,0.22666164631625507,0.5,0.03155086190799463,0.03218967474059994,0.03155086190799463,0.54,0.0310256235538689,0.0310256235538689,0.54,0.0005252383541257295,False
1.5,1000.0,100.0,0.1,10,67,0.5214402733970367,0.5,0.19837781415949407,0.20048240692773264,0.19837781415949407,0.56,0.1960919844227889,0.1960919844227889,0.56,0.0022858297367051583,False
1.5,1000.0,100.0,0.1,10,70,0.07698382392224498,0.5,0.01742136687146391,0.017906307301576798,0.01742136687146391,0.66,0.015926964900991,0.015926964900991,0.66,0.0014944019704729097,False
1.5,1000.0,100.0,0.1,10,72,0.2304263542480424,0.5,0.01192776314520552,0.012920475877680353,0.01192776314520552,0.56,0.0108564993972945,0.0108564993972945,0.56,0.0010712637479110207,False
1.5,1000.0,100.0,0.1,10,78,0.062362570222657496,0.5,0.015919037383247518,0.01728502427927156,0.015919037383247518,0.94,0.0039879058078748,0.0039879058078748,0.94,0.011931131575372718,False
1.5,1000.0,100.0,0.1,10,84,0.19100067107489224,0.5,0.09301210671754162,0.099738697851679,0.09301210671754162,1.0,0.0345517420950942,0.0345517420950942,1.0,0.05846036462244742,True
1.5,1000.0,100.0,0.1,10,118,0.0897404409558108,0.5,0.01275695925498666,0.012786522526552902,0.01275695925498666,0.52,0.0129090412505697,0.01275695925498666,0.5,0.0,False
1.5,1000.0,100.0,0.1,10,119,0.15262390437265919,0.5,0.015180107270144613,0.016734555488029584,0.015180107270144613,0.74,0.0081104021682731,0.0081104021682731,0.74,0.007069705101871514,False
1.5,1000.0,100.0,0.1,10,125,0.2757139908057184,0.5,0.12595157031667198,0.13711991335460624,0.12595157031667198,0.74,0.0534797382748039,0.0534797382748039,0.74,0.07247183204186808,False
1.5,1000.0,100.0,0.1,10,127,0.07148029112584589,0.5,0.01815510891062536,0.01962607447564961,0.01815510891062536,0.64,0.0138339247945831,0.0138339247945831,0.64,0.00432118411604226,False
1.5,1000.0,100.0,0.1,10,132,0.15617943685371266,0.5,0.028661422157971392,0.03164369096513717,0.028661422157971392,0.76,0.0127645002274513,0.0127645002274513,0.76,0.015896921930520093,False
1.5,1000.0,100.0,0.1,10,133,0.10594152067384091,0.5,0.05803787849472608,0.06057600927644964,0.05803787849472608,0.92,0.0412016440128368,0.0412016440128368,0.92,0.016836234481889284,False
1.5,1000.0,100.0,0.1,10,134,0.07850395990314926,0.5,0.07201067460202314,0.07502240146365986,0.07201067460202314,1.0,0.0364326517851363,0.0364326517851363,1.0,0.03557802281688684,True
1.5,1000.0,100.0,0.1,10,137,0.20426827546961335,0.5,0.038469612346396606,0.03963858007957607,0.038469612346396606,0.64,0.0352985228027531,0.0352985228027531,0.64,0.003171089543643507,False
1.5,1000.0,100.0,0.1,10,138,0.08017255978627108,0.5,0.049760774607900765,0.053307831623250895,0.049760774607900765,0.62,0.0410126052656503,0.0410126052656503,0.62,0.008748169342250464,False
1.5,1000.0,100.0,0.1,10,143,0.07168202244067315,0.5,0.062416835583020545,0.06614771460080271,0.062416835583020545,0.64,0.0508080998546948,0.0508080998546948,0.64,0.011608735728325742,False
1.5,1000.0,100.0,0.1,10,149,0.10561935530338334,0.5,0.10280746336933336,0.10561935530338334,0.10280746336933336,0.68,0.074894360611977,0.074894360611977,0.68,0.027913102757356353,False
1.5,1000.0,100.0,0.1,10,150,0.3438014501908055,0.5,0.09356823087329708,0.09583899830517494,0.09356823087329708,0.56,0.0909551231285607,0.0909551231285607,0.56,0.002613107744736373,False
1.5,1000.0,100.0,0.1,10,151,0.1479294865175603,0.5,0.03054627632153903,0.033797650249312784,0.03054627632153903,0.9,0.0134828106647371,0.0134828106647371,0.9,0.01706346565680193,False
1.5,1000.0,100.0,0.1,10,163,0.04406377406845463,0.5,0.04065263516228934,0.0406628980079011,0.04065263516228934,0.52,0.0406597786052358,0.04065263516228934,0.5,0.0,False
1.5,1000.0,100.0,0.1,10,167,0.21063527252071845,0.5,0.11096919211361647,0.11410097207740093,0.11096919211361647,1.0,0.0701422099179635,0.0701422099179635,1.0,0.04082698219565298,True
1.5,1000.0,100.0,0.1,10,177,0.020143112623493196,0.5,0.015266399590924833,0.016754191031240432,0.015266399590924833,0.92,0.0034582080396285,0.0034582080396285,0.92,0.011808191551296334,False
1.5,1000.0,100.0,0.1,10,184,0.16369178515522245,0.5,0.13240664364906554,0.1350540586374374,0.13240664364906554,1.0,0.0882677093242547,0.0882677093242547,1.0,0.044138934324810836,True
1.5,1000.0,100.0,0.1,10,187,0.17222190398882672,0.5,0.10806359274645216,0.1099988389193472,0.10806359274645216,1.0,0.0722966566289725,0.0722966566289725,1.0,0.035766936117479664,True
1.5,1000.0,100.0,0.1,10,189,0.16593049733152676,0.5,0.06186033251761713,0.06879068341589602,0.06186033251761713,0.94,0.0103619514129542,0.0103619514129542,0.94,0.05149838110466293,False
1.5,1000.0,100.0,0.1,10,195,0.30761901683977677,0.5,0.13921396688401566,0.14701670591983185,0.13921396688401566,0.9,0.0570184805548894,0.0570184805548894,0.9,0.08219548632912627,False
1.5,1000.0,100.0,0.1,10,202,0.06466647245278151,0.5,0.03584759275060127,0.036057494526559535,0.03584759275060127,0.52,0.0359474939719132,0.03584759275060127,0.5,0.0,False
1.5,1000.0,100.0,0.1,10,205,0.1695178401242342,0.5,0.035281126950425026,0.03586576086556273,0.035281126950425026,0.54,0.0347614157227083,0.0347614157227083,0.54,0.0005197112277167265,False
1.5,1000.0,100.0,0.1,10,208,0.5248140438626941,0.5,0.044501504109460306,0.04479469365292611,0.044501504109460306,0.52,0.0445156178430887,0.044501504109460306,0.5,0.0,False
1.5,1000.0,100.0,0.1,10,210,0.26761183528740407,0.5,0.11910571529988516,0.12545804202407948,0.11910571529988516,1.0,0.0381832006950084,0.0381832006950084,1.0,0.08092251460487676,True
1.5,1000.0,100.0,0.1,10,216,0.22087185553578556,0.5,0.1770589001983981,0.17766097949460416,0.1770589001983981,0.92,0.1729946863698266,0.1729946863698266,0.92,0.0040642138285715,False
