beta,gamma_over_eta,n,repeat_id,max_feature_rel_diff,max_curve_rel_diff,delta_consistent,selected_delta_0.001,selected_delta_1,selected_delta_1000
5.0,0.5,10,375,1.8168461018901734e-14,0.0,True,0.02,0.02,0.02
2.5,1.0,10,506,2.531007934542612e-14,0.0,True,0.04,0.04,0.04
5.0,0.1,7,424,5.776018729634064e-14,0.0,True,0.02,0.02,0.02
2.5,0.1,7,206,4.402404811403591e-16,0.0,True,0.04,0.04,0.04
1.5,1.0,10,834,6.300702061930476e-16,0.0,True,0.02,0.02,0.02
1.5,1.0,20,1,1.4390308733373645e-15,0.0,True,0.0,0.0,0.0
4.0,0.5,7,870,2.4945370777615376e-15,0.0,True,0.02,0.02,0.02
4.0,0.5,10,307,1.51626511576673e-14,0.0,True,0.0,0.0,0.0
2.5,0.1,7,32,9.190556392481907e-15,0.0,True,0.32,0.32,0.32
2.5,0.5,10,195,3.182124918743689e-15,0.0,True,0.0,0.0,0.0
1.5,1.0,10,634,6.550267395209243e-15,0.0,True,0.0,0.0,0.0
5.0,0.1,7,992,1.8924545118657686e-15,0.0,True,0.06,0.06,0.06
2.5,0.1,10,865,1.1841717081029314e-14,0.0,True,0.22,0.22,0.22
1.5,0.5,20,7,6.334714072405606e-14,0.0,True,0.32,0.32,0.32
2.5,0.1,7,196,2.239457838115728e-15,0.0,True,0.08,0.08,0.08
2.5,1.0,10,314,6.130404089445207e-15,0.0,True,0.08,0.08,0.08
4.0,1.0,20,329,1.3029734878540328e-14,0.0,True,0.04,0.04,0.04
5.0,1.0,7,356,1.0403874700087726e-14,0.0,True,0.0,0.0,0.0
1.5,0.5,7,850,2.0552867936349485e-15,0.0,True,0.2,0.2,0.2
2.0,0.5,10,114,4.194390845274385e-15,0.0,True,0.0,0.0,0.0
2.5,0.1,10,593,3.487569486854345e-15,0.0,True,0.46,0.46,0.46
1.5,0.5,7,175,2.126627996462822e-14,0.0,True,0.32,0.32,0.32
1.5,0.1,20,567,3.3167778805317883e-15,0.0,True,0.36,0.36,0.36
4.0,0.1,10,952,3.89916226862033e-15,0.0,True,0.22,0.22,0.22
2.0,1.0,10,706,2.913124103840497e-15,0.0,True,0.28,0.28,0.28
4.0,0.1,20,924,7.755108157696165e-15,0.0,True,0.2,0.2,0.2
5.0,0.1,20,541,7.704518126512591e-15,0.0,True,0.0,0.0,0.0
1.5,0.1,7,151,1.384907011606544e-15,0.0,True,0.08,0.08,0.08
2.0,0.1,20,26,5.922183027716862e-14,0.0,True,0.48,0.48,0.48
2.5,0.1,7,961,5.7248960472817e-13,0.0,True,0.12,0.12,0.12
5.0,0.5,20,324,3.922543128862114e-14,0.0,True,0.0,0.0,0.0
1.5,1.0,20,976,5.1578984226401636e-15,0.0,True,0.42,0.42,0.42
5.0,0.5,7,867,3.8653514931575117e-14,0.0,True,0.02,0.02,0.02
1.5,0.1,7,914,3.1297853991691854e-14,0.0,True,0.26,0.26,0.26
2.0,0.1,20,639,1.0694631323357178e-15,0.0,True,0.0,0.0,0.0
2.0,0.1,20,751,2.6087854500547895e-15,0.0,True,0.04,0.04,0.04
1.5,1.0,20,328,1.7632480878625013e-15,0.0,True,0.1,0.1,0.1
4.0,0.1,7,884,2.798318637062918e-14,0.0,True,0.0,0.0,0.0
1.5,0.1,10,165,1.7778953144748837e-15,0.0,True,0.0,0.0,0.0
5.0,0.5,10,714,2.0472754831649885e-15,0.0,True,0.0,0.0,0.0
1.5,0.1,10,416,1.8129577966871863e-14,0.0,True,0.0,0.0,0.0
2.0,0.1,7,34,1.807588898321587e-14,0.0,True,0.0,0.0,0.0
2.5,0.5,7,829,2.1690451281138664e-15,0.0,True,0.0,0.0,0.0
