method,beta_group,beta,gamma_over_eta,n,n_total,n_valid,failure_rate,J1_primary,J1_valid,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,beta_mae,eta_bias,eta_sd,eta_rmse,eta_mae,gamma_bias,gamma_sd,gamma_rmse,gamma_mae,x0.90_bias,x0.90_sd,x0.90_rmse,x0.90_mae,x0.95_bias,x0.95_sd,x0.95_rmse,x0.95_mae,x0.99_bias,x0.99_sd,x0.99_rmse,x0.99_mae
Adaptive-MDM,far_ood,0.75,0.75,7,300,300,0.0,0.9994865797873975,0.9994865797873975,1.957255665543653,2.691181824280513,0.24095353470908293,0.6303920550318486,0.6738902742973721,0.46119518707015317,0.20169609032189845,0.6887530471857578,0.716575748723595,0.5260191163071833,-0.031065363200252445,0.17464573104110181,0.1771003041322672,0.11537779026819414,0.07162909754630396,0.15076193648217046,0.16668570795215892,0.10175181243677969,0.037400676916338964,0.15040539146815715,0.1547423228377238,0.10212698057634784,-0.010269541616594479,0.1911835522808211,0.19114072558942719,0.1282969152644041
Adaptive-MDM,far_ood,0.75,0.75,10,300,300,0.0,0.7332628304372757,0.7332628304372757,1.64005956394273,1.9170465770209228,0.13614714190284133,0.45925458634413857,0.47827583053733524,0.33391988604571465,0.08529149633324307,0.538059825666392,0.5438915217420883,0.391149441352966,-0.026097626939024204,0.11166511779291827,0.1144928862496812,0.07182038450438102,0.029578981780730623,0.08445544448004895,0.0893524623340977,0.05343365936024103,0.009509095762422391,0.08192567222012918,0.08233994141186829,0.04974036664863013,-0.018743496244101966,0.12025559709129645,0.12150935185325289,0.07916704197469332
Adaptive-MDM,far_ood,0.75,0.75,15,300,300,0.0,0.5531496295986409,0.5531496295986409,1.1143419241906227,1.4425729871950435,0.13077610243997306,0.36005558389110826,0.3825052666943555,0.26288503031777155,0.0629468937248913,0.38775071853136095,0.3921884271862114,0.29542620404847036,-0.008017488943005429,0.07620728067058707,0.07650144611312584,0.043426040613390324,0.03735348378252127,0.08039114046117164,0.08852387115230603,0.05703680935605012,0.02171887442175238,0.06369429405294191,0.06719486134172865,0.039982181575688384,0.0005421072724835348,0.07865729152345421,0.07852795781376967,0.04832717276281802
Adaptive-MDM,far_ood,0.75,0.75,20,300,300,0.0,0.3915146162844588,0.3915146162844588,0.6714085052357335,0.8872690392743761,0.06229239223778174,0.2340840075377047,0.2418532894966178,0.18451431499128967,0.016510601874797633,0.3058104225461234,0.3057464327352223,0.23985138191345462,0.00017298973368642454,0.036251214740626515,0.03619115905464217,0.02206165960897055,0.020687323982298764,0.05396408858143721,0.05770945463081168,0.04010996150902435,0.01377528894835526,0.039473360082825405,0.04174578926452716,0.02464585394678287,0.0042989084177875595,0.042324045377254725,0.04247157105590502,0.026014606077351902
Adaptive-MDM,far_ood,0.75,1.0,7,300,300,0.0,0.9949413247245469,0.9949413247245469,2.141948424151164,2.6119507401112303,0.24741750041809657,0.6511503901043806,0.6955565593665134,0.48022322957865393,0.14704272395014947,0.6659403771892155,0.6808963895858346,0.4823154896968172,-0.03558915164286713,0.20337330282556218,0.20612961702731986,0.13189835805341968,0.044039213651190325,0.11556471690091788,0.12349145227678655,0.07294411068543986,0.02090085569910544,0.12686026130711284,0.1283617021604734,0.07999931689275175,-0.012656285684582413,0.16727704721220707,0.1674769239515838,0.11103157516999256
Adaptive-MDM,far_ood,0.75,1.0,10,300,300,0.0,0.8401116327944282,0.8401116327944282,1.92018280824598,2.3160253224906104,0.17511801347888495,0.5652352178036415,0.5908402496322527,0.38329127965698156,0.10679840118165464,0.5720621521699568,0.5810078778184763,0.43389990629415687,-0.028876921332271148,0.13547139659688717,0.13829389315471682,0.08166697953252575,0.03271109278297231,0.08450027328934413,0.09047933902136714,0.053780581644008146,0.015557666033941523,0.07022976604139138,0.07181796625630292,0.04527037058450396,-0.0102761956513622,0.09778132220084904,0.09815761073484575,0.06354182483627
Adaptive-MDM,far_ood,0.75,1.0,15,300,300,0.0,0.5632134673123557,0.5632134673123557,1.1438514820146928,1.441192040703103,0.14258482561330485,0.3709226171536233,0.3968065126123179,0.2780117330256186,0.06776636974272388,0.3874766952264322,0.39272128740438766,0.29949540985024375,-0.014651731008335653,0.07298681679895438,0.07432356106845665,0.04307265875854863,0.02387053718907882,0.054277237114060975,0.05921149341866611,0.038172298205879765,0.010887382355045177,0.041353599054159945,0.04269607533206528,0.024641311255400547,-0.005981439078342957,0.05522967096646952,0.05546103539118432,0.035200256874471016
Adaptive-MDM,far_ood,0.75,1.0,20,300,300,0.0,0.4553423432126074,0.4553423432126074,0.8284383182803056,1.1537244451283568,0.09465466962801763,0.2925713022896427,0.30703769613751847,0.2061085445719736,0.062130720573280826,0.3281307920986431,0.33342337016646034,0.26501780012323006,-0.004280239392100624,0.043374064625139666,0.04351274410735851,0.025949591491976155,0.022012373978119712,0.045537678380796476,0.050510518640092025,0.03570983980635149,0.012624358851064665,0.02964378776192407,0.03217451489556406,0.02074075381319918,0.0010495388668880056,0.03326132442530622,0.03322242488666598,0.021573638373879385
Adaptive-MDM,far_ood,1.0,0.1,7,300,300,0.0,0.6396692489904372,0.6396692489904372,1.2177109294688602,1.5543257825208623,0.043625092388427274,0.41766993673316793,0.41924912738897663,0.304450248139752,0.005928784485678692,0.46268715344314626,0.4619534115473783,0.3579957771506972,0.03556967711350364,0.1371256323504458,0.14144243651503663,0.10595599371018073,0.28422930803538693,0.7102206972024118,0.7638837347082599,0.5037397074704482,0.37619419511793684,0.8936637903299794,0.9682432163564181,0.63514822033426,0.4375133938151926,1.207445985482585,1.2823743700389676,0.9032892788418869
Adaptive-MDM,far_ood,1.0,0.1,10,300,300,0.0,0.5098609879418879,0.5098609879418879,0.9200074958942271,1.0723669751172666,0.1029038340289102,0.326906374365141,0.34219986956905174,0.2646156029457965,0.02676503801107447,0.3621160695441067,0.36250147805087124,0.288460415405194,0.010462712716769445,0.10667059136620936,0.10700539567206759,0.07788222146668215,0.21756336473919646,0.49291578573613065,0.538042659025981,0.37088910548931736,0.24523456200830482,0.6228819267079894,0.6684524007293243,0.4438685890289205,0.2068714545116832,0.8998161582070406,0.9218275436329486,0.6322128931900445
