method,beta_group,beta,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
MDM-0.1,far_ood,5.75,6000,5988,0.002,0.8617515653566731,1.3032420582262891,1.3993454737758542,-0.5075011137102388,0.1704260629752969,0.5353480856571912,-0.4308554527627999,0.2198839360896723,0.4837119930491218,0.4162350538517882,0.2119750386902556,0.4670947796454988,0.0292266206029958,0.1086765229100472,0.1125291500360349,-2.9181314038338733,0.9799498621079576,3.078251492528849,-430.8554527627999,219.88393608967223,483.7119930491218,416.2350538517883,211.9750386902556,467.0947796454989
MDM-0.1,in_domain_unseen,1.75,6000,5998,0.0003333333333332,0.5195907033002727,0.9624091394594024,1.1459586721887502,-0.0075053132381263,0.3559234796883223,0.3559729378657941,-0.0365608167017633,0.3056724402564183,0.3078258537725917,0.0274820142430783,0.2166867726400188,0.2184046483213805,0.0675891407214441,0.2764260086691931,0.2845468164339734,-0.0131342981667211,0.6228660894545639,0.6229526412651398,-36.56081670176331,305.6724402564184,307.82585377259176,27.482014243078343,216.68677264001883,218.4046483213805
MDM-0.1,in_domain_unseen,2.25,6000,5999,0.0001666666666666,0.5182453664281059,0.9428212141025012,1.0755849777143238,-0.0951855855227109,0.3191423252860119,0.3330092211134853,-0.0897446012456786,0.2950198250335126,0.308344421193683,0.0741881035607999,0.2381428968790732,0.2494122299763028,0.0564720377421482,0.2368857857545465,0.2435048510831856,-0.2141675674260995,0.7180702318935267,0.749270747505342,-89.74460124567861,295.0198250335127,308.34442119368305,74.18810356079996,238.14289687907325,249.4122299763029
MDM-0.1,in_domain_unseen,2.75,6000,5997,0.0004999999999999,0.5484503352162897,0.9878242719204596,1.1177870941620132,-0.1810137342799795,0.2844681209549738,0.3371566254311399,-0.1528530237091727,0.2855968411809723,0.3239073964727796,0.1372165266079195,0.2494068270462053,0.2846432294489505,0.0565304935010474,0.2071024208854527,0.2146624263517612,-0.4977877692699438,0.7822873326261782,0.9271807199356348,-152.8530237091727,285.5968411809724,323.9073964727796,137.21652660791952,249.4068270462053,284.6432294489505
MDM-0.1,in_domain_unseen,3.25,6000,5999,0.0001666666666666,0.5893742895777081,1.0786792314485598,1.183595348298372,-0.2546892152668665,0.2561452122944244,0.3612008157108228,-0.2059566294460957,0.2765065853935185,0.3447626432866866,0.187993893881917,0.2496320977971808,0.3124860006872382,0.0443596498900905,0.1799305583117956,0.1853035013673727,-0.8277399496173165,0.8324719399568795,1.1739026510601742,-205.95662944609575,276.5065853935185,344.76264328668657,187.99389388191705,249.63209779718088,312.4860006872382
MDM-0.1,in_domain_unseen,3.75,6000,5991,0.0014999999999999,0.652307460979141,1.142745876895268,1.254369292214922,-0.325491839112109,0.2331529775859735,0.4003700471107559,-0.2614774607184615,0.2666085445549884,0.3734149354414936,0.2460326836077199,0.2487487294043951,0.3498538032324833,0.0428023171556849,0.1588810988542178,0.1645327578512642,-1.2205943966704091,0.8743236659474009,1.501387676665335,-261.47746071846154,266.6085445549885,373.4149354414936,246.03268360771995,248.7487294043952,349.8538032324833
MDM-0.1,in_domain_unseen,4.25,6000,5995,0.0008333333333333,0.7052744280699682,1.1880756647361508,1.2962262914918934,-0.3793229131926736,0.2149583447667148,0.4359876774097571,-0.3081216485106374,0.2564474788071202,0.4008656753088926,0.2935710043291542,0.2421713462199358,0.3805536924891299,0.0394486227355221,0.1433164227935039,0.1486350051528278,-1.6121223810688632,0.913572965258538,1.852947628991468,-308.1216485106374,256.44747880712026,400.8656753088927,293.57100432915416,242.17134621993588,380.5536924891299
MDM-0.1,in_domain_unseen,4.75,6000,5996,0.0006666666666667,0.763736490961945,1.2343618871308453,1.3350761444669834,-0.4308642219635074,0.1975906884853585,0.4740037411140033,-0.3572358305909266,0.2431829561670302,0.4321406321185613,0.3417040180706101,0.2317829244318646,0.4128873940473406,0.0353959638000277,0.1299988228236437,0.1347210068779685,-2.0466050543266605,0.9385557703054528,2.251517770291516,-357.23583059092664,243.18295616703023,432.1406321185613,341.70401807061023,231.78292443186464,412.8873940473407
MDM-0.1,near_ood,1.25,6000,6000,0.0,0.5532062639712462,1.0615965837862305,1.4118753884603477,0.0713829105522159,0.3939561970608825,0.4003387792949592,0.0111440172283558,0.3381635778726864,0.3383189847152276,-0.0008685179649513,0.1769484699216583,0.1769358552439373,0.084838354270768,0.3460549771918614,0.3562746617242923,0.0892286381902699,0.4924452463261031,0.500423474118699,11.14401722835583,338.1635778726865,338.3189847152277,-0.8685179649513448,176.9484699216584,176.93585524393737
MDM-0.1,near_ood,5.25,6000,5986,0.0023333333333332,0.8161844986434496,1.2751441420898628,1.3716821962872836,-0.4713674304234026,0.182637773635016,0.5055079014159166,-0.3946987542684989,0.2329783848324942,0.4583197211275726,0.3811120651942882,0.2250253342113818,0.4425769403566318,0.0336613495807872,0.1193568918846889,0.1240031217279303,-2.474679009722864,0.958848311583834,2.653916482433562,-394.6987542684989,232.9783848324942,458.31972112757256,381.1120651942882,225.02533421138185,442.5769403566318
