fold,layer,delta_star,mean_train_loss,group_id,n_train_repeats,n,beta,gamma_over_eta
3,L5,0.06,0.5924557709590667,beta=4.0|gamma_over_eta=1.0|n=7,800,7.0,4.0,1.0
3,L5,0.06,0.46785000438399343,beta=4.0|gamma_over_eta=1.0|n=10,800,10.0,4.0,1.0
3,L5,0.06,0.2944960795488043,beta=4.0|gamma_over_eta=1.0|n=20,800,20.0,4.0,1.0
3,L5,0.0,0.5422275663321552,beta=5.0|gamma_over_eta=0.1|n=7,800,7.0,5.0,0.1
3,L5,0.0,0.41840510497214206,beta=5.0|gamma_over_eta=0.1|n=10,800,10.0,5.0,0.1
3,L5,0.0,0.24032951285410095,beta=5.0|gamma_over_eta=0.1|n=20,800,20.0,5.0,0.1
3,L5,0.02,0.6329971642771173,beta=5.0|gamma_over_eta=0.5|n=7,800,7.0,5.0,0.5
3,L5,0.04,0.5195979602944054,beta=5.0|gamma_over_eta=0.5|n=10,800,10.0,5.0,0.5
3,L5,0.04,0.3235551988436768,beta=5.0|gamma_over_eta=0.5|n=20,800,20.0,5.0,0.5
3,L5,0.04,0.6895735976365388,beta=5.0|gamma_over_eta=1.0|n=7,800,7.0,5.0,1.0
3,L5,0.04,0.5543234228070955,beta=5.0|gamma_over_eta=1.0|n=10,800,10.0,5.0,1.0
3,L5,0.04,0.3331966877303153,beta=5.0|gamma_over_eta=1.0|n=20,800,20.0,5.0,1.0
4,L1,0.08,0.40028071828035944,all,800,,,
4,L2,0.1,0.5445294611791892,n=7,800,7.0,,
4,L2,0.1,0.41679536049632565,n=10,800,10.0,,
4,L2,0.08,0.23853222165376647,n=20,800,20.0,,
4,L3,0.36,0.21823903062786235,beta=1.5,800,,1.5,
4,L3,0.2,0.25146858815021084,beta=2.0,800,,2.0,
