sample_size,group_id,gamma,gradient,sigma_min,best_beta,best_eta,source,virtual
7,1,835.1873762103542,0.017682260080775884,91.70963208758417,1.5388480851749473,777.4981020504591,trace_grid,False
7,1,818.9680742878573,0.0008610372663943415,91.56741628772174,1.598743876821396,795.6037141440784,trace_grid,False
7,1,801.2796534606624,-0.01174619110204837,91.67097306072549,1.6629035765303588,815.2355470867172,trace_grid,False
7,1,781.9890432448204,-0.020842754081866924,91.99167855927394,1.7316656367245666,836.5234358110389,trace_grid,False
7,1,760.9511198408588,-0.027067847110302173,92.50110535199626,1.8053979840447973,859.6089240741765,trace_grid,False
7,1,738.0076143633887,-0.030989079003888954,93.17167545904167,1.8845083524633122,884.6454139311326,trace_grid,False
7,1,712.9859221798532,-0.03309963897254303,93.97716971561796,1.9694421149436596,911.8002555720869,trace_grid,False
7,1,685.6978044010594,-0.03381942197032687,94.89309391041544,2.0606949612757286,941.2550789649483,trace_grid,False
7,1,655.9379717547566,-0.03349915340860226,95.89691402185994,2.1588029378383613,973.2090175412303,trace_grid,False
7,1,623.4825401887051,-0.03242650962606057,96.96817986605875,2.2643653851851027,1007.8782866235696,trace_grid,False
7,1,588.0873465847044,-0.030833329253922112,98.08855922929844,2.378029327775998,1045.5002128981937,trace_grid,False
7,1,549.4861119126253,-0.028903182980149374,99.24180416823373,2.500510148485762,1086.3335391316436,trace_grid,False
7,1,507.38843800583555,-0.026778776339609605,100.4136689321058,2.6325944242017956,1130.6609283694308,trace_grid,False
7,1,461.4776228876764,-0.024568836042984883,101.59179574783822,2.7751383333757214,1178.791912966097,trace_grid,False
7,1,411.4082782136554,-0.022354292668357135,102.7655813263251,2.9290836649909253,1231.064564450975,trace_grid,False
7,1,356.80373090527075,-0.020193673944620287,103.9260337984916,3.0954634132510748,1287.8483899905507,trace_grid,False
7,1,297.2531894279289,-0.018127709548655228,105.06562707432865,3.2754020688964776,1349.5477725436042,trace_grid,False
7,1,232.30865339475338,-0.016183190497147556,106.1781574543437,3.4701391778586355,1416.6041211896002,trace_grid,False
7,1,161.48154324715802,-0.01437615767393406,107.25860563182744,3.6810259630142963,1489.5001935518937,trace_grid,False
7,1,84.23902465719436,-0.01271449991425682,108.30300601620726,3.909537731734618,1568.7636256861103,trace_grid,False
7,1,0.0,-0.011200130277498223,109.30832442013599,4.157297074505258,1654.9703618697065,trace_grid,False
7,2,860.946999139053,25.65078549102928,183.46526947409635,0.5102618453125354,309.7834210440462,trace_grid,False
7,2,860.9469990610697,25.650786035168288,183.46526747376458,0.5102618422168197,309.7834228222531,trace_grid,False
7,2,860.946998976023,25.650783885017393,183.46526529224906,0.5102618388407123,309.78342476152295,trace_grid,False
7,2,860.9469988832727,25.650784798729735,183.4652629131318,0.5102618351587394,309.7834268764614,trace_grid,False
7,2,860.9469987821213,25.650788129911636,183.46526031851923,0.5102618311433506,309.7834291829521,trace_grid,False
7,2,860.9469986718078,25.65078911900485,183.46525748889064,0.5102618267641608,309.7834316983764,trace_grid,False
7,2,860.9469985515022,25.650787909478296,183.46525440295795,0.5102618219883622,309.7834344416361,trace_grid,False
7,2,860.9469984202996,25.650790971438177,183.46525103750577,0.510261816779991,309.78343743337473,trace_grid,False
7,2,860.9469982772127,25.65079032667522,183.46524736721588,0.510261811099861,309.78344069609955,trace_grid,False
7,2,860.9469981211654,25.650793179205834,183.4652433644781,0.5102618049051395,309.7834442543716,trace_grid,False
7,2,860.9469979509835,25.650794442095638,183.46523899917725,0.5102617981494291,309.7834481349282,trace_grid,False
7,2,860.9469977653868,25.650795925246946,183.46523423847447,0.5102617907817931,309.7834523669805,trace_grid,False
7,2,860.946997562979,25.650798672324555,183.4652290465563,0.5102617827467462,309.78345698237484,trace_grid,False
