beta,eta,gamma,gamma_over_eta,n,delta,count,beta_bias,beta_bias_sq,beta_var,eta_bias,eta_bias_sq,eta_var,gamma_bias,gamma_bias_sq,gamma_var,bias_sq_sum,var_sum,risk
1.5,1000.0,100.0,0.1,10,0.04,300,-0.004809139323224337,2.312782103018263e-05,0.1117625407541978,-0.04027106411654457,0.0016217586050788434,0.07905669512059003,0.04287487296809692,0.0018382547320304483,0.02583826530288717,0.003483141158139474,0.216657501177675,0.2201406423358145
1.5,1000.0,100.0,0.1,10,0.06,300,-0.016864219468872316,0.0002844018982942921,0.10462504637927518,-0.04647857191358381,0.0021602576471261817,0.07822737838592352,0.04827509203605954,0.0023304845110900196,0.025856265509944583,0.004775144056510493,0.20870869027514327,0.21348383433165377
1.5,1000.0,100.0,0.1,10,0.08,300,-0.027562334418876285,0.0007596822786179724,0.09913346588521775,-0.051972084720145834,0.002701097590158016,0.0776150199082477,0.05303787040837872,0.0028130156974559752,0.025885766839156846,0.006273795566231964,0.2026342526326223,0.20890804819885425
1.5,1000.0,100.0,0.1,10,0.1,300,-0.03724694475771064,0.0013873348937839482,0.09460847179026313,-0.0570144471556636,0.0032506471844659574,0.07693170409727895,0.05739528477005752,0.003294218713835997,0.025897115589724736,0.007932200792085902,0.19743729147726682,0.20536949226935275
1.5,1000.0,100.0,0.1,10,0.12,300,-0.04623440778821677,0.0021376204635271193,0.09048914627728583,-0.06168662054081787,0.0038052391537468527,0.0763087949148025,0.06142804020981774,0.0037734041240189854,0.025895606523340758,0.009716263741292957,0.19269354771542907,0.20240981145672204
1.5,1000.0,100.0,0.1,10,0.14,300,-0.054320790414864484,0.002950748271295633,0.08727586858626411,-0.06591189667051195,0.004344378122704244,0.07578498831314849,0.0650528523224739,0.004231873595289599,0.025921976261653903,0.011526999989289476,0.1889828331610665,0.20050983315035595
1.5,1000.0,100.0,0.1,10,0.16,300,-0.061699950903282993,0.003806883941467532,0.0847031264924647,-0.06982576768731484,0.004875637833122861,0.07527047472513067,0.068383937158813,0.004676362861340485,0.025950678235576605,0.013358884635930879,0.18592427945317197,0.1992831640891029
1.5,1000.0,100.0,0.1,10,0.18,300,-0.06890266991347416,0.004747577921205177,0.08210185516758622,-0.07365476917065565,0.0054250250215825664,0.07475122508211328,0.07163960096902393,0.005132232427000974,0.02592167563464182,0.015304835369788716,0.18277475588434133,0.19807959125413008
1.5,1000.0,100.0,0.1,10,0.2,300,-0.07607986784971708,0.0057881462920304156,0.07936972822927339,-0.0775205797349595,0.006009440282444213,0.07412308643493619,0.07492527749455155,0.005613797207635553,0.025814882912864455,0.017411383782110185,0.17930769757707404,0.19671908135918414
1.5,1000.0,100.0,0.1,10,0.22,300,-0.08293870747670118,0.006878829197905808,0.0768748375861306,-0.08125806964784653,0.006602873882894277,0.0734773489382116,0.07808723837313165,0.006097616796742284,0.025692173006574164,0.01957931987754237,0.17604435953091638,0.19562367940845884
1.5,1000.0,100.0,0.1,10,0.24,300,-0.08943016344338428,0.007997754133510426,0.07468609452966168,-0.0848369869879399,0.0071973143611918835,0.07284034173565654,0.0810968614498232,0.00657670093701182,0.025569904038466474,0.02177176943171413,0.1730963403037847,0.19486810973549876
1.5,1000.0,100.0,0.1,10,0.26,300,-0.09562193701827021,0.009143554839126034,0.07266473225543155,-0.0882939838849842,0.00779582759028185,0.0722161574197628,0.08398739910689547,0.007053883208740946,0.02544088257769068,0.02399326563814883,0.17032177225288503,0.1943150378910338
1.5,1000.0,100.0,0.1,10,0.28,300,-0.1015344582370475,0.010309246209490744,0.0707669480466476,-0.09164270628254338,0.008398385614788517,0.07156560254396556,0.08677633472551213,0.007530132268394123,0.02530474309643358,0.02623776409267338,0.16763729368704675,0.19387505777972008
