model_id,representation,n,fold,seed,max_abs_representation_diff,max_abs_prediction_curve_diff,delta_indices,selected_deltas,delta_consistent,curve_consistent_at_1e-10
rms_n10_fold1_seed42,rms,10,1,42,2.220446049250313e-16,1.2212453270876722e-15,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
rms_n10_fold1_seed2026,rms,10,1,2026,2.220446049250313e-16,6.661338147750939e-16,"[11, 11, 11]","[0.22, 0.22, 0.22]",True,True
rms_n10_fold1_seed3407,rms,10,1,3407,2.220446049250313e-16,8.881784197001252e-16,"[16, 16, 16]","[0.32, 0.32, 0.32]",True,True
rms_n10_fold2_seed42,rms,10,2,42,4.440892098500626e-16,1.1379786002407855e-15,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n10_fold2_seed2026,rms,10,2,2026,4.440892098500626e-16,2.4424906541753444e-15,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
rms_n10_fold2_seed3407,rms,10,2,3407,4.440892098500626e-16,2.4424906541753444e-15,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
rms_n10_fold3_seed42,rms,10,3,42,2.220446049250313e-16,1.1102230246251565e-15,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
rms_n10_fold3_seed2026,rms,10,3,2026,2.220446049250313e-16,6.661338147750939e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
rms_n10_fold3_seed3407,rms,10,3,3407,2.220446049250313e-16,8.881784197001252e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
rms_n10_fold4_seed42,rms,10,4,42,2.220446049250313e-16,7.771561172376096e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
rms_n10_fold4_seed2026,rms,10,4,2026,2.220446049250313e-16,4.996003610813204e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
rms_n10_fold4_seed3407,rms,10,4,3407,2.220446049250313e-16,2.7755575615628914e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n10_fold5_seed42,rms,10,5,42,4.440892098500626e-16,8.881784197001252e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
rms_n10_fold5_seed2026,rms,10,5,2026,4.440892098500626e-16,6.661338147750939e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n10_fold5_seed3407,rms,10,5,3407,4.440892098500626e-16,9.992007221626409e-16,"[22, 22, 22]","[0.44, 0.44, 0.44]",True,True
rms_n15_fold1_seed42,rms,15,1,42,2.220446049250313e-16,9.992007221626409e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
rms_n15_fold1_seed2026,rms,15,1,2026,2.220446049250313e-16,3.3306690738754696e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
rms_n15_fold1_seed3407,rms,15,1,3407,2.220446049250313e-16,7.216449660063518e-16,"[5, 5, 5]","[0.1, 0.1, 0.1]",True,True
rms_n15_fold2_seed42,rms,15,2,42,2.220446049250313e-16,1.3322676295501878e-15,"[7, 7, 7]","[0.14, 0.14, 0.14]",True,True
rms_n15_fold2_seed2026,rms,15,2,2026,2.220446049250313e-16,6.106226635438361e-16,"[12, 12, 12]","[0.24, 0.24, 0.24]",True,True
rms_n15_fold2_seed3407,rms,15,2,3407,2.220446049250313e-16,6.661338147750939e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n15_fold3_seed42,rms,15,3,42,2.220446049250313e-16,8.881784197001252e-16,"[14, 14, 14]","[0.28, 0.28, 0.28]",True,True
rms_n15_fold3_seed2026,rms,15,3,2026,2.220446049250313e-16,8.881784197001252e-16,"[22, 22, 22]","[0.44, 0.44, 0.44]",True,True
rms_n15_fold3_seed3407,rms,15,3,3407,2.220446049250313e-16,8.881784197001252e-16,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
rms_n15_fold4_seed42,rms,15,4,42,2.220446049250313e-16,1.1102230246251565e-15,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
rms_n15_fold4_seed2026,rms,15,4,2026,2.220446049250313e-16,4.996003610813204e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
rms_n15_fold4_seed3407,rms,15,4,3407,2.220446049250313e-16,4.996003610813204e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
rms_n15_fold5_seed42,rms,15,5,42,2.220446049250313e-16,7.771561172376096e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
