representation,n,fold,seed,J1,failure_rate,n_iter,runtime_s
rms,15,4,3407,0.5260777455377641,0.0,36,3.748190402984619
rms,15,5,42,0.5121464701480213,0.0,36,3.702465057373047
rms,15,5,2026,0.505705225563608,0.0,45,4.712384462356567
rms,15,5,3407,0.5019066923325749,0.0,34,3.5585501194000244
rms,20,1,42,0.4609511558887672,0.0,39,4.10795259475708
rms,20,1,2026,0.4618763195470141,0.0,39,4.094446420669556
rms,20,1,3407,0.4613426616507904,0.0,40,4.28774356842041
rms,20,2,42,0.4603426137076423,0.0,44,4.635462045669556
rms,20,2,2026,0.4533660863371262,0.0,43,4.489140033721924
rms,20,2,3407,0.46530011233892665,0.0,31,3.257915735244751
rms,20,3,42,0.4769905967387735,0.0,33,3.4713335037231445
rms,20,3,2026,0.47695264825394385,0.0,36,3.744889974594116
rms,20,3,3407,0.4775973968373742,0.0,34,3.584449052810669
rms,20,4,42,0.5157853757566788,0.0,41,4.318446636199951
rms,20,4,2026,0.5091092901880736,0.0,36,3.7784066200256348
rms,20,4,3407,0.5124181926441226,0.0,38,4.0614964962005615
rms,20,5,42,0.4746702448406477,0.0,40,4.22428822517395
rms,20,5,2026,0.4865923692870578,0.0,39,4.1092259883880615
rms,20,5,3407,0.47857358389906085,0.0,41,4.320177316665649
