reliability,route,rmsre,mae,signed_relative_bias,relative_error_sd,within_10pct
0.7,P,0.08797225312136817,0.06282395404315771,-0.007941460120852522,0.08761307282819716,0.80828125
0.7,Q,0.3337956778391628,0.3104016993167212,-0.31004899827959603,0.12364939631848272,0.01465
0.7,QCP,0.08799677280036008,0.06415967725759476,-0.015558282633899202,0.0866104604811792,0.7917520833333334
0.71,P,0.08952611627000602,0.06386366017087838,-0.008209937102659317,0.08914887787942716,0.8026270833333333
0.71,Q,0.3284629132109513,0.3048629668373661,-0.30444726657338833,0.12328725494152722,0.01727916666666667
0.71,QCP,0.08947002920986992,0.0651882822875769,-0.015866086915706182,0.08805199266795859,0.7862375
0.72,P,0.09113574951449252,0.06493632340561953,-0.008479764588363496,0.09074039030164163,0.7968458333333334
0.72,Q,0.32298122986006056,0.2991607502575946,-0.2986707316004338,0.12293359560014071,0.0205875
0.72,QCP,0.09099484814252524,0.06624947676001904,-0.016176471365891936,0.08954543071887984,0.7807604166666666
0.73,P,0.09280410815158405,0.06604356120577526,-0.008751080484178548,0.09239058978148336,0.79098125
0.73,Q,0.31734098569351266,0.2932850585004733,-0.2927058115435266,0.12259122762080382,0.024179166666666668
0.73,QCP,0.09257386608733056,0.06734473997032414,-0.016489675342636727,0.09109342067048229,0.7751875
0.74,P,0.094534527486059,0.06718735341100707,-0.009024025377976459,0.0941028365831237,0.7849729166666667
0.74,Q,0.3115318034114557,0.28722656509454597,-0.2865374147021235,0.1222635453134627,0.02825
0.74,QCP,0.09421005393134843,0.06847555339394402,-0.01680595262352236,0.09269894399702461,0.7694083333333334
0.75,P,0.09633077808594992,0.0683696006585186,-0.009298742301509002,0.09588092718708273,0.7789333333333334
0.75,Q,0.3055425237447049,0.2809735181569816,-0.28014870202347164,0.12195465784810212,0.033275
0.75,QCP,0.09590676481812241,0.06964408903303972,-0.01712557307817662,0.09436536591685889,0.7634083333333334
0.76,P,0.09819713222730311,0.06959261411601868,-0.009575376268285713,0.09772916119044102,0.7727458333333334
0.76,Q,0.2993611676491694,0.27451085714055384,-0.27352080151592273,0.12166955179650059,0.039210416666666664
0.76,QCP,0.09766779159357164,0.07085217842705376,-0.01744882451394748,0.09609649336914854,0.75726875
0.77,P,0.10013844433353127,0.07085888506885546,-0.009854073497271429,0.09965242229394183,0.76628125
0.77,Q,0.2929749156010743,0.2678210561899798,-0.26663246232536425,0.12141429572241401,0.04632708333333333
0.77,QCP,0.09949743622132752,0.07210225100903114,-0.017776014707758487,0.09789664506880046,0.7510520833333333
0.78,P,0.10216024907075784,0.07217136967734947,-0.010134980195301619,0.10165627706462657,0.75991875
0.78,Q,0.2863701168857425,0.260887166464376,-0.2594596324791482,0.12119629927905866,0.05466666666666667
0.78,QCP,0.10140059427186737,0.07339711274788102,-0.018107473632362966,0.09977073677858223,0.7445479166666666
