delta,mse,mse_beta,mse_eta,mse_gamma,est_beta,est_eta,est_gamma,failure
0.001,,,,,,,,no_intersection
0.003,,,,,,,,no_intersection
0.005,,,,,,,,no_intersection
0.007,,,,,,,,no_intersection
0.455,0.2732603736194046,0.1210603196127147,0.1474809597695252,0.004719094237164719,1.3041255296744543,615.9675016752811,1068.6956638891038,
0.457,0.27382735534475927,0.12142424558272162,0.14765566050449494,0.004747449257542701,1.3030803616406792,615.7401133288892,1068.9017362447617,
0.459,0.2743952048479198,0.12178878403558217,0.14783053160278536,0.004775889209552215,1.3020350036410646,615.5126379153857,1069.1078086004195,
0.461,0.27496430871971095,0.12215457390716203,0.14800532071935565,0.004804414093193262,1.3009876284151702,615.2854035530291,1069.3138809560774,
0.463,0.27553388241833254,0.12252031514541353,0.14818054336445313,0.004833023908465842,1.2999419591336343,615.0577402201037,1069.5199533117352,
0.465,0.27610397593088193,0.12288608905592018,0.14835616821959177,0.0048617186553699876,1.2988977562268962,614.8296893326385,1069.7260256673933,
0.467,0.2766753091959707,0.12325308677744287,0.14853172408462223,0.004890498333905633,1.297851620303962,614.6018628941985,1069.9320980230511,
0.46900000000000003,0.27724751323322777,0.12362069609543463,0.14870745419372033,0.004919362944072812,1.296805301227506,614.3739451311409,1070.138170378709,
0.47100000000000003,0.27782058846849395,0.12398891652127303,0.14888335946134937,0.0049483124858715226,1.29575880120154,614.1459350203119,1070.3442427343668,
0.47300000000000003,0.27839453531918046,0.12435774754400548,0.14905944081587322,0.004977346959301767,1.294712122480457,613.9178315230381,1070.5503150900247,
0.47500000000000003,0.2789693541980661,0.12472718863654661,0.14923569919715596,0.005006466364363543,1.2936652673511047,613.6896335882818,1070.7563874456825,
0.47700000000000004,0.27954504551078013,0.12509723925140992,0.1494121355583133,0.005035670701056852,1.2926182381446072,613.4613401504148,1070.9624598013404,
0.47900000000000004,0.2801216096563236,0.12546789882147527,0.14958875086546658,0.005064959969381695,1.2915710372338656,613.2329501295818,1071.1685321569983,
0.481,0.2806990470265601,0.12583916675904547,0.14976554609817658,0.0050943341693380694,1.2905236670359033,613.0044624311844,1071.374604512656,
0.483,0.28127772776295773,0.12621165580232896,0.14994227865970278,0.005123793300925977,1.2894744035509236,612.7761904793266,1071.580676868314,
0.485,0.2818569284253695,0.1265841647781813,0.1501194262830428,0.005153337364145417,1.2884266312510528,612.5475173869152,1071.7867492239718,
0.487,0.28243628743117943,0.12695609210919678,0.15029722896298622,0.0051829663589963906,1.2873820319155662,612.3181343382357,1071.9928215796297,
0.489,0.2830172441651256,0.12732982478684368,0.150474739092803,0.0052126802854788965,1.2863339022011941,612.089264014512,1072.1988939352875,
0.491,0.28359931570276775,0.12770456053437593,0.1506522760247989,0.005242479143592935,1.2852845026603217,611.8604941199635,1072.4049662909454,
0.493,0.2841821184175125,0.12807966135122908,0.15083009413294493,0.005272362933338506,1.2842356215870223,611.6314969865026,1072.6110386466032,
0.495,0.28476539276398094,0.12845469480631405,0.15100836630295125,0.00530233165471561,1.2831884632448665,611.4020505677478,1072.817111002261,
0.497,0.28534987004110723,0.1288308738246737,0.1511866109087093,0.005332385307724247,1.2821396408083987,611.1727749903445,1073.023183357919,
0.499,0.2859352284872043,0.12920766287526936,0.15136504171957052,0.0053625238923644515,1.281090651402364,610.9433952243318,1073.229255713577,
0.501,0.28652151410067733,0.12958513705868033,0.15154362963336085,0.005392747408636153,1.2800412871318791,610.7139488327884,1073.4353280692349,
0.503,0.28710858323030813,0.12996305635599667,0.15172247101777203,0.0054230558565393884,1.2789922154206748,610.4843122314943,1073.6414004248927,
0.505,0.28769648187604735,0.13034149578564586,0.1519015368543273,0.005453449236074157,1.2779432272026088,610.254522984131,1073.8474727805506,
0.507,0.2882851908397856,0.13072042202274534,0.1520808412697998,0.005483927547240457,1.2768944142858656,610.0245632481453,1074.0535451362084,
0.509,0.288874773348307,0.13109993876305806,0.15226034379521067,0.005514490790038291,1.2758454895174427,609.7944851809361,1074.2596174918663,
0.511,0.2894659594368373,0.131481258768832,0.15243956170353762,0.0055451389644676575,1.274793108778379,609.5649071823364,1074.4656898475241,
0.513,0.29005734932166205,0.13186205286698438,0.1526194243841491,0.005575872070528556,1.2737437012542077,609.3346388734354,1074.671762203182,
0.515,0.2906495151486248,0.1322432709219085,0.1527995541184953,0.005606690108220988,1.2726946420604108,609.1041646186349,1074.8778345588398,
0.517,0.29124256090327305,0.13262508446134058,0.15297988336438753,0.005637593077544952,1.271645458691056,608.8735711251571,1075.0839069144977,
0.519,0.29183675349688176,0.13300793632691316,0.1531602361914682,0.005668580978500449,1.2705949374266363,608.6430833734145,1075.2899792701555,
0.521,0.29243202518594996,0.13339171257393428,0.15334065880092818,0.005699653811087479,1.2695433960215452,608.4126421844952,1075.4960516258134,
0.523,0.2930277074221386,0.133775298718763,0.15352159712806954,0.005730811575306042,1.2684938859619477,608.1816784170634,1075.7021239814712,
0.525,0.2936242818794783,0.13415949505013833,0.15370273255818387,0.0057620542711561374,1.2674442135915154,607.9505993395936,1075.908196337129,
0.527,0.29422188497791585,0.1345445273649942,0.1538839757142839,0.005793381898637766,1.266393764025975,607.7195190755932,1076.114268692787,
0.529,0.2948205070494832,0.1349303782274988,0.1540653343642335,0.005824794457750927,1.2653425880657059,607.4884277320814,1076.3203410484448,
0.531,0.29541974788174036,0.135316379312219,0.15424707662102574,0.005856291948495655,1.2642925056458403,607.25698399459,1076.5264134041029,
0.533,0.29601998449571604,0.13570315729785265,0.15442895282699148,0.005887874370871881,1.263241810909841,607.0255061368595,1076.7324857597607,
0.535,0.29662110878414527,0.13609053054500017,0.15461103651426544,0.00591954172487964,1.2621909988486175,606.7939007158391,1076.9385581154186,
0.537,0.2972231134612159,0.13647848538121965,0.15479333406947732,0.005951294010518932,1.2611401069723174,606.5621598403665,1077.1446304710764,
0.539,0.29782599861645964,0.1368670204132828,0.15497584697538708,0.005983131227789758,1.2600891393869589,606.3302818664013,1077.3507028267343,
0.541,0.29842976433183427,0.13725613422295213,0.15515857673219002,0.006015053376692115,1.2590381002427935,606.0982651317844,1077.5567751823921,
0.543,0.2990344106834669,0.13764582536974881,0.1553415248564921,0.006047060457226005,1.2579869937265282,605.8661079575976,1077.76284753805,
0.545,0.2996399377451788,0.1380360923966966,0.1555246928790907,0.0060791524693914285,1.2569358240456034,605.6338086510322,1077.9689198937078,
0.547,0.3002463454265827,0.13842693355989513,0.15570808245349918,0.006111329413188386,1.2558845961548837,605.4013653679233,1078.1749922493657,
0.549,0.30085363364352347,0.1388183471126908,0.15589169524221583,0.006143591288616875,1.2548333149886777,605.1687762572268,1078.3810646050235,
0.551,0.3014618027091584,0.13921033195874596,0.1560755326547355,0.006175938095676896,1.2537819837105353,604.9360397926235,1078.5871369606814,
0.553,0.3020708526807422,0.13960288656139108,0.15625959628498265,0.00620836983436845,1.2527306066447226,604.7031542182727,1078.7932093163392,
0.555,0.3026807836241379,0.13999600938500117,0.15644388773444523,0.006240886504691537,1.251679188088421,604.4701177730749,1078.999281671997,
0.557,0.3032915956132376,0.14038969889390882,0.15662840861268265,0.006273488106646157,1.2506277323148158,604.2369286900524,1079.205354027655,
0.559,0.30390329934184046,0.14078397129282674,0.15681315340878144,0.006306174640232309,1.2495761962921839,604.0035941971424,1079.4114263833128,
0.561,0.30451593451023234,0.1411788912925484,0.15699809711223392,0.006338946105449994,1.2485244081341074,603.7701461118384,1079.6174987389707,
0.5630000000000001,0.3051292849491757,0.14157409569921803,0.15718338674765847,0.006371802502299212,1.2474733341622557,603.5363992146839,1079.8235710946285,
0.5650000000000001,0.3057435809663403,0.1419699678930497,0.1573688692425106,0.006404743830779998,1.2464219538944896,603.302546967452,1080.0296434502866,
0.5670000000000001,0.3063587346139066,0.14236635905499578,0.1575546054680185,0.006437770090892281,1.2453706630272163,603.0685128790883,1080.2357158059444,
0.5690000000000001,0.3069747430092505,0.1427632625887034,0.15774059913791097,0.006470881282636098,1.2443194786453646,602.8342925957593,1080.4417881616023,
0.5710000000000001,0.3075916480406682,0.1431607468307087,0.157926823803948,0.006504077406011447,1.243268219695489,602.5999197232743,1080.6478605172601,
0.5730000000000001,0.30820942286419806,0.14355876507549206,0.15811329932768764,0.006537358461018329,1.242217009756772,602.3653695568158,1080.853932872918,
0.5750000000000001,0.3088288255004672,0.14395858515983043,0.15829951589298008,0.006570724447656743,1.241162507094357,602.1312830933047,1081.0600052285758,
0.5770000000000001,0.3094483369410424,0.1443576613271491,0.15848650024796665,0.00660417536592669,1.240111425728353,601.8963699638414,1081.2660775842337,
0.579,0.31006855684199724,0.14475699569335543,0.15867384993281367,0.006637711215828171,1.2390611175834016,601.6611368033322,1081.4721499398916,
0.581,0.3106899165421186,0.14515730920777922,0.15886127533697814,0.006671331997361183,1.2380096871802655,601.4259474865704,1081.6782222955494,
0.583,0.3113121538634274,0.1455581607785578,0.1590489553743439,0.006705037710525728,1.2369582952981986,601.1905776259243,1081.8842946512073,
0.585,0.31193526843787855,0.14595954792007035,0.15923689216248638,0.006738828355321806,1.2359069482842542,600.9550248875619,1082.090367006865,
0.587,0.3125592598710735,0.14636146808607883,0.1594250878532453,0.006772703931749418,1.2348556526090548,600.7192869004999,1082.296439362523,
0.589,0.3131841277423825,0.1467639186697133,0.1596135446328607,0.0068066644398085616,1.2338044148659866,600.4833612565545,1082.5025117181808,
0.591,0.31380987160606855,0.14716689700514018,0.15980226472142914,0.006840709879499238,1.2327532417660139,600.2472455111421,1082.7085840738387,
0.593,0.314436490987425,0.14757040036085886,0.15999125037574466,0.006874840250821447,1.2317021401543309,600.0109371798466,1082.9146564294965,
0.595,0.31506398538628133,0.14797442594535917,0.16018050388714694,0.006909055553775189,1.230651116994743,599.7744337412377,1083.1207287851544,
0.597,0.3156923542723759,0.14837897089912588,0.16037002758488955,0.006943355788360466,1.2296001793896214,599.5377326327865,1083.3268011408122,
0.599,0.3163215970875509,0.14878403229809084,0.16055982383488276,0.006977740954577311,1.2285493345700171,599.3008312525683,1083.5328734964703,
0.601,0.316951713245262,0.14918960715257942,0.1607498950402569,0.0070122110524256515,1.2274985898975215,599.0637269586887,1083.7389458521282,
0.603,0.317582702128791,0.14959569240406695,0.16094024364281848,0.007046766081905524,1.2264479528717749,598.8264170676009,1083.945018207786,
0.605,0.3182145630906495,0.15000228492393783,0.16113087212369473,0.0070814060430169305,1.2253974311327445,598.5888988534389,1084.1510905634439,
0.607,0.3188472954526971,0.15040938151343974,0.16132178300349748,0.007116130935759869,1.2243470324599028,598.3511695479526,1084.3571629191017,
0.609,0.31948089850631867,0.15081697890373638,0.16151297884244797,0.00715094076013434,1.2232967647711608,598.1132263404928,1084.5632352747596,
0.611,0.3201153715097612,0.15122507375118024,0.16170446224244064,0.007185835516140344,1.2222466361341013,597.8750663755844,1084.7693076304174,
0.613,0.3207507136892735,0.15163366263897493,0.16189623584652066,0.007220815203777881,1.2211966547607158,597.6366867537242,1084.9753799860753,
0.615,0.3213869242371121,0.15204274207356616,0.16208830234049904,0.007255879823046951,1.220146829015702,597.3980845295206,1085.1814523417331,
0.617,0.32202399989186437,0.15245230440986487,0.16228066610805195,0.007291029373947553,1.2190971778515207,597.1592546575608,1085.387524697391,
