method,beta,gamma_over_eta,n,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
LSE,1.0,0.1,10,2,2,0.0,0.6921366512628122,0.8988466599140059,0.9301025666670677,-0.007279516778117889,0.3242833496745998,0.22941847528612924,0.5449943478136923,0.49874683391295793,0.6491479348484224,-0.05369228254036931,0.06548900207395109,0.07090321502383254,-0.061596237482433,0.23366140134981708,0.17633185110005634,-0.007279516778117889,0.3242833496745998,0.22941847528612924,544.9943478136922,498.7468339129579,649.1479348484223,-53.69228254036931,65.48900207395108,70.90321502383253
LSE,1.0,0.1,15,2,2,0.0,0.35009579794201195,0.38257047668862665,0.3864138947414745,-0.13238452498961512,0.07255070377457809,0.1419769867472166,-0.3190570102145375,0.02941545932920591,0.3197342809127816,0.004204499771287296,0.01799526391551179,0.013401215617294395,-0.16235364830035587,0.1672714185666966,0.20086953689171771,-0.13238452498961512,0.07255070377457809,0.1419769867472166,-319.05701021453746,29.415459329205902,319.73428091278157,4.204499771287296,17.995263915511785,13.401215617294396
LSE,1.0,0.1,20,2,2,0.0,0.5450055509611634,0.6233301233927536,0.6329920493960466,-0.09490653171752084,0.10991398442637744,0.12266944097406558,0.11389511843885766,0.7325751926237061,0.5303822248416998,-0.008147237724233583,0.034973616313583665,0.02603755751909264,-0.07589531396663105,0.0633862980079466,0.08814198811956542,-0.09490653171752084,0.10991398442637744,0.12266944097406558,113.89511843885765,732.575192623706,530.3822248416998,-8.147237724233584,34.97361631358367,26.03755751909264
LSE,1.0,0.25,7,2,2,0.0,0.8435432258776955,0.9438444141064436,0.9559609142262294,0.7931491391217516,0.22278677010499795,0.8086423989357002,-0.13587749100042765,0.07133949129565312,0.14493913919205045,0.10651616489552984,0.2249870979139935,0.19145571419503818,0.7340291889125087,0.5891975295172109,0.8440235272610281,0.7931491391217516,0.22278677010499795,0.8086423989357002,-135.87749100042765,71.3394912956531,144.93913919205048,106.51616489552984,224.98709791399347,191.45571419503818
LSE,1.0,0.25,10,2,2,0.0,0.5318689737275867,0.6184318393166579,0.629295915355157,-0.4158038237633082,0.10857901001793797,0.4228327335536193,0.3009386820896441,0.12142052166732137,0.31294657997625425,0.07693658993663888,0.02201289893210933,0.0784953675752662,0.11425807842101794,0.09560174843581339,0.13275826014397657,-0.4158038237633082,0.10857901001793797,0.4228327335536193,300.9386820896441,121.42052166732138,312.94657997625427,76.93658993663888,22.01289893210933,78.4953675752662
LSE,1.0,0.25,15,2,2,0.0,0.785311363586478,0.9398328879497907,0.9598982857456088,-0.09153444259328036,0.3766795827019083,0.2816421633795345,0.257943632966224,0.9607390589766925,0.7266668339132621,-0.015650116438420812,0.1349223178787592,0.09667958458446438,0.043777565744086575,0.09828759380278933,0.08213830294234765,-0.09153444259328036,0.3766795827019083,0.2816421633795345,257.9436329662241,960.7390589766926,726.6668339132622,-15.65011643842081,134.9223178787592,96.67958458446438
LSE,1.0,0.25,20,2,2,0.0,0.25422652120412514,0.3412151069792294,0.35688051914401436,0.07644744965264938,0.16262390017355913,0.1380850426810385,0.14935850147953458,0.21403830025604742,0.2126362127024959,-0.00159400171343161,0.02634180242138917,0.018694547837970706,0.0783194473002857,0.23312442645093687,0.1825032463532125,0.07644744965264938,0.16262390017355913,0.1380850426810385,149.3585014795346,214.03830025604742,212.63621270249595,-1.5940017134316093,26.341802421389172,18.694547837970706
LSE,1.0,0.5,7,2,2,0.0,0.5413832776686599,0.7017720674118022,0.725894115282424,-0.1719494680139586,0.08572952454760298,0.1823222291435205,0.24027323972825743,0.6316992346276245,0.5072013320606285,0.017426900247357678,0.0677874620131423,0.05100261616155547,-0.004079905438640154,0.11383114059139415,0.08059410594179399,-0.1719494680139586,0.08572952454760298,0.1823222291435205,240.2732397282574,631.6992346276245,507.2013320606285,17.42690024735768,67.7874620131423,51.00261616155548
LSE,1.0,0.5,10,2,2,0.0,1.413984544186582,1.8447249977115603,1.9107852772537437,0.6915462640473926,1.5539910627809292,1.2983375319690202,0.008125621453275639,0.6140099217204688,0.4342466093242295,-0.242864645434909,0.36364430579156626,0.35369736579389327,-0.07891752350291616,0.02644335700077732,0.08110241106507625,0.6915462640473926,1.5539910627809292,1.2983375319690202,8.125621453275642,614.0099217204687,434.2466093242295,-242.864645434909,363.64430579156624,353.69736579389325
LSE,1.0,0.5,15,2,2,0.0,0.2740889632447957,0.35828807074768054,0.37128530265374443,0.07817050940517933,0.2357930230832,0.18414614687259268,-0.15863506183711573,0.1656262757876388,0.19718294667568753,0.00516406278589767,0.06792899764343312,0.04830985308275594,0.010172999015049384,0.0849985244855547,0.06095789113249339,0.07817050940517933,0.2357930230832,0.18414614687259268,-158.63506183711576,165.62627578763883,197.18294667568753,5.16406278589767,67.92899764343312,48.30985308275594
LSE,1.0,0.5,20,2,2,0.0,0.31307656358718156,0.3355964032549854,0.3382210662147966,-0.14607657835166993,0.03531135108105428,0.14819518379662783,0.029653865443204835,0.3701367440537576,0.2634007524383371,0.049603788649802,0.09181100079561143,0.08170168775466088,0.05321011108037621,0.15405955229936097,0.12123732407359437,-0.14607657835166993,0.03531135108105428,0.14819518379662783,29.653865443204836,370.13674405375764,263.40075243833707,49.603788649802,91.81100079561142,81.7016877546609
