n,beta,eta,gamma,seed,mse,step,delta,est_beta,est_eta,est_gamma
7,1.0,100.0,1000,11815,0.452013,4,0.759675,0.8858,33.7443,1000.0969
7,1.0,100.0,1000,11815,0.452013,5,0.759858,,,
7,1.0,100.0,1000,11819,0.060976,0,0.5,1.1886,81.8361,997.4503
7,1.0,100.0,1000,11819,0.060976,1,0.924209,1.1349,79.7594,999.0544
7,1.0,100.0,1000,11819,0.060976,2,0.823522,1.1566,80.6169,998.405
7,1.0,100.0,1000,11819,0.060976,3,0.867689,1.1467,80.2306,998.7001
7,1.0,100.0,1000,11819,0.060976,4,0.848922,1.1508,80.3927,998.5767
7,1.0,100.0,1000,11819,0.060976,5,0.857842,1.1488,80.3146,998.6362
7,1.0,100.0,1000,11819,0.060976,6,0.853596,1.1498,80.3518,998.6079
7,1.0,100.0,1000,11819,0.060976,7,0.85563,1.1493,80.334,998.6215
7,1.0,100.0,1000,11819,0.060976,8,0.854658,,,
7,1.0,100.0,1000,11821,0.320098,0,0.5,1.1898,46.9581,997.6915
7,1.0,100.0,1000,11821,0.320098,1,0.911231,1.0929,43.8997,999.6329
7,1.0,100.0,1000,11821,0.320098,2,0.778304,1.1171,44.7391,999.1339
7,1.0,100.0,1000,11821,0.320098,3,0.820947,1.1088,44.4593,999.3035
7,1.0,100.0,1000,11821,0.320098,4,0.811891,1.1105,44.5173,999.2686
7,1.0,100.0,1000,11821,0.320098,5,0.813787,1.1101,44.5047,999.2762
7,1.0,100.0,1000,11821,0.320098,6,0.813376,,,
7,1.0,100.0,1000,11822,0.029127,0,0.5,1.1295,89.6185,1001.7903
7,1.0,100.0,1000,11822,0.029127,1,0.222066,1.1406,90.322,1001.3356
7,1.0,100.0,1000,11822,0.029127,2,0.277061,1.1406,90.322,1001.3356
7,1.0,100.0,1000,11822,0.029127,3,0.277061,,,
7,1.0,100.0,1000,11823,0.641145,0,0.5,0.4967,37.7521,1001.4106
7,1.0,100.0,1000,11823,0.641145,1,0.570355,0.4964,37.7445,1001.4122
7,1.0,100.0,1000,11823,0.641145,2,0.570048,,,
7,1.0,100.0,1000,11824,0.102942,0,0.5,1.2816,84.6216,999.4916
7,1.0,100.0,1000,11824,0.102942,1,0.738311,1.2816,84.6216,999.4916
7,1.0,100.0,1000,11824,0.102942,2,0.738311,,,
7,1.0,100.0,1000,11825,0.205223,0,0.5,1.3563,65.947,994.985
7,1.0,100.0,1000,11825,0.205223,1,0.977809,1.2221,60.7382,998.7229
7,1.0,100.0,1000,11825,0.205223,2,0.835535,1.2507,62.0735,997.8475
7,1.0,100.0,1000,11825,0.205223,3,0.896659,1.2376,61.4882,998.2395
7,1.0,100.0,1000,11825,0.205223,4,0.870894,1.2429,61.7324,998.0775
7,1.0,100.0,1000,11825,0.205223,5,0.881435,1.2407,61.6326,998.144
7,1.0,100.0,1000,11825,0.205223,6,0.877203,1.2416,61.6728,998.1173
7,1.0,100.0,1000,11825,0.205223,7,0.878918,1.2412,61.6565,998.1281
