oracle_delta,selected_delta,row_percent
0.36,0.18,3.4013605442176873
0.38,0.18,2.6402640264026402
0.4,0.18,2.966841186736475
0.42,0.18,3.7225042301184432
0.44,0.18,2.8089887640449436
0.46,0.18,2.5974025974025974
0.48,0.18,2.7600849256900215
0.5,0.18,1.665139016193095
0.0,0.2,0.9119638826185102
0.02,0.2,0.33014974649215895
0.04,0.2,0.959711136450019
0.06,0.2,1.914580265095729
0.08,0.2,2.771141901576684
0.1,0.2,4.940627650551314
0.12,0.2,6.623586429725363
0.14,0.2,7.240573907240575
0.16,0.2,8.555696738670054
0.18,0.2,8.50956696878147
0.2,0.2,8.681135225375627
0.22,0.2,7.651363938789088
0.24,0.2,7.82669461914745
0.26,0.2,7.822222222222222
0.28,0.2,6.1946902654867255
0.3,0.2,5.753968253968254
0.32,0.2,5.535055350553505
0.34,0.2,4.761904761904762
0.36,0.2,5.1020408163265305
0.38,0.2,4.29042904290429
0.4,0.2,4.013961605584642
0.42,0.2,2.8764805414551606
0.44,0.2,3.932584269662921
0.46,0.2,3.67965367965368
0.48,0.2,2.547770700636943
0.5,0.2,1.8790100824931255
0.0,0.22,0.9661399548532731
0.02,0.22,0.3655229336163188
0.04,0.22,0.8931965032307109
0.06,0.22,1.8900343642611683
0.08,0.22,2.8826246217550566
0.1,0.22,4.3893129770992365
0.12,0.22,5.9504577275175015
0.14,0.22,6.206206206206207
0.16,0.22,6.522659889877171
0.18,0.22,6.243705941591138
0.2,0.22,6.733444629938787
0.22,0.22,5.52228875582169
0.24,0.22,5.17120894479385
0.26,0.22,5.155555555555556
0.28,0.22,5.506391347099312
0.3,0.22,6.15079365079365
0.32,0.22,3.8130381303813037
0.34,0.22,3.3834586466165413
0.36,0.22,5.272108843537415
0.38,0.22,3.9603960396039604
0.4,0.22,4.18848167539267
0.42,0.22,3.5532994923857872
0.44,0.22,4.119850187265917
0.46,0.22,4.112554112554113
0.48,0.22,3.397027600849257
0.5,0.22,2.2761992056217535
0.0,0.24,0.6711813393528969
0.02,0.24,0.14738827968399953
0.04,0.24,0.3800836183960471
0.06,0.24,0.9327442317133039
0.08,0.24,1.27408823060997
0.1,0.24,1.9083969465648856
0.12,0.24,2.5848142164781907
0.14,0.24,2.869536202869536
0.16,0.24,3.0495552731893265
0.18,0.24,3.1722054380664653
0.2,0.24,3.450194769059544
0.22,0.24,4.191616766467066
0.24,0.24,2.585604472396925
0.26,0.24,2.933333333333333
0.28,0.24,3.2448377581120944
0.3,0.24,3.670634920634921
0.32,0.24,3.6900369003690034
0.34,0.24,2.506265664160401
0.36,0.24,2.7210884353741496
0.38,0.24,2.4752475247524752
0.4,0.24,3.1413612565445024
0.42,0.24,3.8917089678511
0.44,0.24,2.8089887640449436
0.46,0.24,3.896103896103896
0.48,0.24,3.397027600849257
0.5,0.24,1.5582034830430798
0.0,0.26,0.5327313769751694
0.02,0.26,0.21813465393231932
0.04,0.26,0.34207525655644244
0.06,0.26,0.7486499754540992
0.08,0.26,1.1307533046663483
0.1,0.26,1.8447837150127224
0.12,0.26,1.7770597738287561
0.14,0.26,2.9362696029362696
0.16,0.26,4.023718763235918
0.18,0.26,4.531722054380665
0.2,0.26,5.008347245409015
0.22,0.26,4.524284763805722
0.24,0.26,4.1928721174004195
