comparison,seed,test_n,point_estimate_J1,ci_low_J1,ci_high_J1,bootstrap_mean_J1,point_estimate_regret,ci_low_regret,ci_high_regret,bootstrap_mean_regret,representation,train_n
L_minus_S,42,10,0.07813301989923227,0.05092850134021673,0.10745692309547174,0.07806920221264602,0.0888501504465148,0.05740915456381111,0.12091888458658802,0.08871085448248009,RAW,"7,20"
T_minus_S,42,10,0.04441977513881268,0.02786127281976869,0.05940379595149582,0.04424265837589852,0.0493057985559582,0.028403595903373362,0.07083301530532549,0.0494127125029732,F13,7
T_minus_S,42,10,0.09736477481092831,0.07528970187039079,0.12160750251682505,0.09742245973485483,0.11322954517101108,0.08675171440161529,0.1393352199799173,0.11315223877366926,F13,20
T_minus_S,42,10,0.0304196238641139,0.016758729586113335,0.04340909091159467,0.030178766683918484,0.033143519668625505,0.016751921104682536,0.05127121476862145,0.0331802980558765,F12,7
T_minus_S,42,10,0.02821863495068966,0.015395440708763794,0.04186035780590607,0.02830228973309992,0.030683336428527004,0.01736042515444576,0.043983958980938966,0.030611053142800437,F12,20
T_minus_S,42,10,0.04951300274884185,0.028515291370822184,0.07557567351036745,0.049625035866363194,0.05488740020796409,0.031806540780088516,0.082605462030227,0.0548649269904879,RAW,7
T_minus_S,42,10,0.12067370341454553,0.07085935236745455,0.17182466129217788,0.11978117147285007,0.14235947673950428,0.07435395875256066,0.22372855831290434,0.14270672490496883,RAW,20
RAW_minus_F13,42,20,0.0017868258918223856,-0.004497339452185343,0.0090518874792418,0.0017138528786423861,0.0014331176336662005,-0.0035213241029495145,0.007524236638960915,0.0014158922391460749,,
F12_minus_F13,42,20,0.000625565692301322,-0.006730890357890239,0.008926470487910685,0.0006948675963103682,0.0005010063928648015,-0.005696730707476666,0.006741388907461161,0.0004610789078349015,,
J_minus_S,42,20,0.01694068111469882,0.01169431169253806,0.021709706768148852,0.016918803919353947,0.0132699589876249,0.008617416122304123,0.018136069794379674,0.01330196235625167,F13,"7,10,20"
J_minus_S,42,20,0.014069103459567522,0.008269144649550385,0.02054359075993419,0.01415018723649651,0.0110786001996033,0.006801600222125084,0.01534339809302615,0.011070939707313368,F12,"7,10,20"
J_minus_S,42,20,0.015045679742550777,0.009776822810597574,0.02134423789893644,0.014999166754234293,0.011867847833098001,0.007156568867221395,0.017706551190957442,0.011885272029056674,RAW,"7,10,20"
L_minus_S,42,20,0.11993192709068101,0.06694664511015035,0.17278064622389078,0.119555521508795,0.10629690710993621,0.05623732139278015,0.16408430306533514,0.1065571023155705,F13,"7,10"
