run_id,phase,seed,representation,family,train_n,test_n,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,n_samples
F12_T_10to7-20_seed3407,confirm,3407,F12,T,10,20,0.41075101689270405,0.3599815345588963,0.050769482333807736,,0.039129692655012586,0.013163108046062553,0.15078522952959988,0.30533333333333335,3000.0
F12_T_20to7-10_seed3407,confirm,3407,F12,T,20,"7,10",0.6280705638423398,0.541724066083185,0.08634649775915482,0.26276206298490035,0.10100766939153573,0.017526581632987665,0.4437146614658781,0.43666666666666665,
F12_T_20to7-10_seed3407,confirm,3407,F12,T,20,7,0.6945442382525614,0.5864600855982591,0.10808415265430227,,0.1384562668899133,0.0246704836618426,0.6786747067724688,0.42433333333333334,3000.0
F12_T_20to7-10_seed3407,confirm,3407,F12,T,20,10,0.5536727981765392,0.4929447185511582,0.06072807962538107,,0.06355907189315818,0.012815365543288297,0.28142792984234827,0.449,3000.0
F12_L_hold7_seed3407,confirm,3407,F12,L,"10,20",7,0.6384374804006477,0.5864600855982591,0.05197739480238861,0.2334015282370746,0.06366698438041002,0.0038799126632742056,0.27589236487577284,0.5593333333333333,
F12_L_hold7_seed3407,confirm,3407,F12,L,"10,20",7,0.6384374804006477,0.5864600855982591,0.05197739480238861,,0.06366698438041002,0.0038799126632742056,0.27589236487577284,0.5593333333333333,3000.0
F12_L_hold10_seed3407,confirm,3407,F12,L,"7,20",10,0.5419419887973536,0.4929447185511582,0.04899727024619538,0.1878629041257721,0.0507066236741502,0.011718598212690251,0.20592988714685395,0.42233333333333334,
F12_L_hold10_seed3407,confirm,3407,F12,L,"7,20",10,0.5419419887973536,0.4929447185511582,0.04899727024619538,,0.0507066236741502,0.011718598212690251,0.20592988714685395,0.42233333333333334,3000.0
F12_L_hold20_seed3407,confirm,3407,F12,L,"7,10",20,0.41750635584169526,0.3599815345588963,0.057524821282798955,0.2049743627108121,0.044724851944834415,0.01755728668313435,0.17028136090650522,0.2816666666666667,
F12_L_hold20_seed3407,confirm,3407,F12,L,"7,10",20,0.41750635584169526,0.3599815345588963,0.057524821282798955,,0.044724851944834415,0.01755728668313435,0.17028136090650522,0.2816666666666667,3000.0
RAW_J_seed3407,confirm,3407,RAW,J,"7,10,20","7,10,20",0.5374433213395804,0.4887114461420549,0.048731875197525476,0.18655102709684862,0.050006446062260776,0.012079683717006448,0.20323568369648326,0.39266666666666666,
RAW_J_seed3407,confirm,3407,RAW,J,"7,10,20",7,0.6473427753329519,0.5864600855982591,0.060882689734692796,,0.07511723677585116,0.017829852938246897,0.29607827375113854,0.418,3000.0
RAW_J_seed3407,confirm,3407,RAW,J,"7,10,20",10,0.5387562128664184,0.4929447185511582,0.045811494315260215,,0.04726376135468497,0.012833620229785486,0.19497856684071221,0.411,3000.0
RAW_J_seed3407,confirm,3407,RAW,J,"7,10,20",20,0.396516134954965,0.3599815345588963,0.036534600396068706,,0.027638340056246193,0.008484442044731848,0.11539934587811174,0.349,3000.0
RAW_S_7to7_seed3407,confirm,3407,RAW,S,7,7,0.6414276001255738,0.5864600855982591,0.05496751452731463,0.24010102840425057,0.06749393420293547,0.01385859757230909,0.2820463570465155,0.4553333333333333,
RAW_S_7to7_seed3407,confirm,3407,RAW,S,7,7,0.6414276001255738,0.5864600855982591,0.05496751452731463,,0.06749393420293547,0.01385859757230909,0.2820463570465155,0.4553333333333333,3000.0
RAW_S_10to10_seed3407,confirm,3407,RAW,S,10,10,0.5298947075383821,0.4929447185511582,0.0369499889872239,0.16705003082359698,0.03779390552970692,0.0017247750508946006,0.1697953000370246,0.5376666666666666,
