window_id,beta_center,beta_lower,beta_upper,beta_levels,delta,mean_loss,J1,excess_J1_pct
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.22,0.4359462255059784,0.6602622399516562,11.157895855328558
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.24,0.44835038139506606,0.6695897112374607,12.728214463669584
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.26,0.4605829265223525,0.6786626013877238,14.255673278372715
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.28,0.4723887114196429,0.6873053989455072,15.710724215250638
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.3,0.48337500386156446,0.6952517557414468,17.048526451551503
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.32,0.49409968371486296,0.7029222458528844,18.339885383464583
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.34,0.5043401618390478,0.7101691079165918,19.55992477056401
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.36,0.5139603698621814,0.7169102941527492,20.69483152766558
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.38,0.5231942056292848,0.723321647422006,21.7742095321505
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.4,0.5319509455766444,0.7293496730489734,22.78905273279266
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.42,0.5404531878215192,0.7351552134219815,23.76643961503204
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.44,0.5485648737924761,0.7406516548232888,24.691788399033634
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.46,0.5561708268029641,0.7457686147881017,25.553249903944497
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.48,0.5635035025163936,0.7506687035679546,26.378200242332195
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.5,0.5704022118215637,0.7552497678394636,27.149441477081982
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.0,0.939045106999133,0.9690433978925469,57.664256029031044
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.02,0.4904728611063025,0.7003376764863521,13.945586928775233
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.04,0.3969724457552062,0.630057494007655,2.5109363154112607
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.06,0.3777634729394199,0.6146246602109453,0.0
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.08,0.3833284401095761,0.6191352357196093,0.7338748020809804
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.1,0.3946352190195625,0.6281999833011479,2.2087176075140658
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.12,0.41047872505528504,0.6406861361503657,4.240226210656095
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.14,0.4280124086764026,0.6542265728907705,6.443267776830397
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.16,0.4447394599361342,0.6668878915800872,8.50327602397285
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.18,0.4613637074974676,0.6792375928182035,10.512583823936117
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.2,0.47729056891461313,0.6908621924194529,12.403916917740032
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.22,0.49252016366798734,0.701797808252482,14.18315171597866
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.24,0.5067710777015446,0.7118785554443571,15.823298596583047
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.26,0.5204820055837908,0.7214443884207505,17.379668458656326
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.28,0.533749384033776,0.730581538251396,18.866291176903506
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.3,0.54602180369016,0.7389328817221222,20.22506247447233
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.32,0.5577893613506808,0.7468529717090779,21.513668431844323
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.34,0.5688761107233117,0.7542387624110231,22.71534340196517
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.36,0.5791751382563793,0.7610355696394088,23.821190216841238
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.38,0.5890593421493202,0.7675020144268809,24.87328675739542
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.4,0.5984092167926715,0.773569141572149,25.860413948677618
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.42,0.6073864816256374,0.7793500379326592,26.80097112686277
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.44,0.61587421184222,0.7847765362459685,27.683867415379225
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.46,0.6238874287000283,0.7898654497444665,28.51183834266864
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.48,0.6315546442775358,0.7947041237325598,29.299095070446658
7,3.5,3.0,4.0,3.00;3.25;3.50;3.75;4.00,0.5,0.6387642601745857,0.7992272894331034,30.035018308377115
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.0,0.9745991578948797,0.9872178877506625,56.33484104428557
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.02,0.4908118560678156,0.7005796571895415,10.943096457799717
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.04,0.406953543309237,0.6379291052375938,1.0218174754457854
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.06,0.3987626550734666,0.6314765673193793,0.0
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.08,0.4130077696426737,0.6426568054900482,1.7704913767630615
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.1,0.43036990873788283,0.6560258445655041,3.8875990838957986
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.12,0.4502395104047235,0.6709988900175048,6.258715642592705
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.14,0.4712669155206958,0.686488831315336,8.711687312402416
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.16,0.4912185555144744,0.7008698563317404,10.989052104805076
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.18,0.5101312320032545,0.7142347177246808,13.105498238297297
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.2,0.5280200243743841,0.7266498636718953,15.071548380096988
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.22,0.545104387694861,0.7383118498946506,16.918328898376632
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.24,0.5609080246642149,0.7489379311159335,18.601064532794666
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.26,0.5760994223660376,0.7590121358489847,20.196405556423812
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.28,0.5903942784681675,0.7683711853447964,21.678495309261493
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.3,0.603670934223002,0.7769626337366566,23.039028516112058
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.32,0.6163962255278777,0.7851090532708673,24.329087396490202
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.34,0.6282397378618649,0.7926157567585096,25.517841481144245
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.36,0.6392563205011619,0.7995350652105021,26.61357627323082
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.38,0.6497097673263975,0.8060457600697355,27.644603423909018
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.4,0.6595918309117744,0.8121525909038119,28.6116750699718
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.42,0.6690065222210194,0.81792818891454,29.526293016168225
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.44,0.6778661469093545,0.8233262700226166,30.38112776181705
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.46,0.6862421119453268,0.8283973152692655,31.184173434307418
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.48,0.6941319797857661,0.8331458334444013,31.936144041117622
8,3.75,3.25,4.25,3.25;3.50;3.75;4.00;4.25,0.5,0.7015308141587779,0.8375743633605185,32.637441626064636
9,4.0,3.5,4.5,3.50;3.75;4.00;4.25;4.50,0.0,0.9812380042527071,0.9905745828824335,52.38211268516901
9,4.0,3.5,4.5,3.50;3.75;4.00;4.25;4.50,0.02,0.49616389753726614,0.7043890242879045,8.357603282028636
9,4.0,3.5,4.5,3.50;3.75;4.00;4.25;4.50,0.04,0.42267211147927064,0.6501323799652426,0.011192792636682825
9,4.0,3.5,4.5,3.50;3.75;4.00;4.25;4.50,0.06,0.42257750973649033,0.6500596201399456,0.0
9,4.0,3.5,4.5,3.50;3.75;4.00;4.25;4.50,0.08,0.44372071799487284,0.6661236506797164,2.47116265063696
9,4.0,3.5,4.5,3.50;3.75;4.00;4.25;4.50,0.1,0.46670037421334143,0.6831547220164268,5.091087163567631
9,4.0,3.5,4.5,3.50;3.75;4.00;4.25;4.50,0.12,0.49076730188513684,0.7005478583830921,7.766708880068163
