route,n,beta,gamma_over_eta,count,relative_bias,within_cell_variance,cell_mse,identity_residual
P,7,5.0,0.25,3000,-0.14718290329103,0.009124629509985329,0.03078743653116202,-1.734723475976807e-18
P,7,5.0,0.5,3000,-0.10827161883773169,0.0085125182037148,0.020235261649457853,-3.469446951953614e-18
P,7,5.0,0.75,3000,-0.07261273145259717,0.005233429918146353,0.010506038687153345,-1.734723475976807e-18
P,7,5.0,1.0,3000,-0.09277090477958942,0.0017521773249296233,0.010358618098553271,4.336808689942018e-19
P,10,1.5,0.1,3000,0.3324476466498072,0.1785543984517928,0.28907583621478783,-2.7755575615628914e-17
P,10,1.5,0.25,3000,0.0804020439808337,0.07085197581954622,0.07731646449584215,1.3877787807814457e-17
P,10,1.5,0.5,3000,0.023508603888384338,0.03796537616125595,0.038518030618036915,6.938893903907228e-18
P,10,1.5,0.75,3000,-0.0035534327552122704,0.015992751752986697,0.016005378637332514,0.0
P,10,1.5,1.0,3000,-0.0369884446826336,0.006650177339773694,0.00801832237981394,8.673617379884035e-19
P,10,2.0,0.1,3000,0.14034923708981295,0.11111590782060127,0.1308138161722938,0.0
P,10,2.0,0.25,3000,0.01451345233497462,0.05547902356146048,0.05568966386014006,0.0
P,10,2.0,0.5,3000,-0.011880125276528512,0.03578371265957127,0.03592485003615728,0.0
P,10,2.0,0.75,3000,-0.015785865881420856,0.01580987817812342,0.01605907173974963,3.469446951953614e-18
P,10,2.0,1.0,3000,-0.031309561914821565,0.007231404717856234,0.008211693385154277,-1.734723475976807e-18
P,10,2.5,0.1,3000,0.06265177320154422,0.06023092800966397,0.06415617269496171,6.938893903907228e-18
P,10,2.5,0.25,3000,-0.0166634017942118,0.04454073823791699,0.044818407197272335,6.938893903907228e-18
P,10,2.5,0.5,3000,-0.0223539129348297,0.025352973641298925,0.025852671064796873,3.469446951953614e-18
P,10,2.5,0.75,3000,-0.011754320197723852,0.013595501106247606,0.013733665149558223,-1.734723475976807e-18
P,10,2.5,1.0,3000,-0.031124512841558802,0.005982614239468466,0.006951349539092824,0.0
P,10,3.0,0.1,3000,0.04267212651779118,0.04529854090767396,0.047119451289224346,6.938893903907228e-18
P,10,3.0,0.25,3000,-0.03793889291282418,0.02796471319768755,0.02940407279313829,0.0
P,10,3.0,0.5,3000,-0.02939625614493161,0.023816253559853295,0.024680393435191728,3.469446951953614e-18
P,10,3.0,0.75,3000,-0.009657452505150104,0.011464905728073778,0.011558172116963007,0.0
P,10,3.0,1.0,3000,-0.03748798244075382,0.004082063903988872,0.005487412731467138,0.0
P,10,3.5,0.1,3000,0.01245000185942763,0.024237006679388804,0.024392009225688554,0.0
P,10,3.5,0.25,3000,-0.053081925046627475,0.018753546117988785,0.021571236884644563,0.0
P,10,3.5,0.5,3000,-0.04258142309873316,0.013865975499560392,0.01567915309267372,1.734723475976807e-18
P,10,3.5,0.75,3000,-0.025856148857171624,0.00736583271103786,0.008034373144762076,-8.673617379884035e-19
P,10,3.5,1.0,3000,-0.045618877571081004,0.0035466709375587247,0.005627752928404003,4.336808689942018e-19
P,10,4.0,0.1,3000,-0.022529712272334714,0.02090005308784904,0.02140764102292323,3.469446951953614e-18
P,10,4.0,0.25,3000,-0.07756208062908256,0.015330052072556716,0.021345928424069016,-3.469446951953614e-18
P,10,4.0,0.5,3000,-0.05141483005406432,0.009109763956102378,0.011753248705590694,1.734723475976807e-18
P,10,4.0,0.75,3000,-0.027366292161380746,0.006600380117212952,0.007349294063875,-1.734723475976807e-18
P,10,4.0,1.0,3000,-0.04812625702314138,0.0021924523269889217,0.004508588942046386,-8.673617379884035e-19
P,10,4.5,0.1,3000,-0.05193855054384757,0.01309963455007841,0.015797247582674222,1.734723475976807e-18
P,10,4.5,0.25,3000,-0.08232158362845075,0.010416641952616823,0.017193485083712833,0.0
P,10,4.5,0.5,3000,-0.06866343771333777,0.007472623307703188,0.012187290986316605,8.673617379884035e-19
