n,fold,seed,route,reliability,mse
7,5,12011,Q,0.95,0.04084226928591606
7,5,12011,Q,0.99,0.150216983690082
7,5,12011,QP,0.9,0.027519614924444998
7,5,12011,QP,0.95,0.038658328665955075
7,5,12011,QP,0.99,0.06422194847400799
7,5,12011,QCP,0.9,0.02744046096555877
7,5,12011,QCP,0.95,0.03861103787083448
7,5,12011,QCP,0.99,0.06488128148830463
10,1,42,P,0.9,0.021246402805216377
10,1,42,P,0.95,0.031184998907228464
10,1,42,P,0.99,0.05788113286057197
10,1,42,Q,0.9,0.03608080928358315
10,1,42,Q,0.95,0.02794859039360761
10,1,42,Q,0.99,0.1358158852289079
10,1,42,QP,0.9,0.019286243917488725
10,1,42,QP,0.95,0.02753115200488236
10,1,42,QP,0.99,0.047855083241403876
10,1,42,QCP,0.9,0.019131660563704113
10,1,42,QCP,0.95,0.02729237033421772
10,1,42,QCP,0.99,0.047777958838499245
10,1,2026,P,0.9,0.021198599644381543
10,1,2026,P,0.95,0.031190896146031766
10,1,2026,P,0.99,0.05820110795568921
10,1,2026,Q,0.9,0.03587776311534917
