n,beta,gamma_over_eta,qcp_vs_q_relative_rmsre_improvement,p_rmsre,p_signed_relative_bias,p_relative_error_sd,p_mae,p_mdape,p_p95_absolute_error,p_within_10pct,p_within_20pct,p_q025_signed_error,p_q975_signed_error,q_rmsre,q_signed_relative_bias,q_relative_error_sd,q_mae,q_mdape,q_p95_absolute_error,q_within_10pct,q_within_20pct,q_q025_signed_error,q_q975_signed_error,qcp_rmsre,qcp_signed_relative_bias,qcp_relative_error_sd,qcp_mae,qcp_mdape,qcp_p95_absolute_error,qcp_within_10pct,qcp_within_20pct,qcp_q025_signed_error,qcp_q975_signed_error
7,2.5,0.25,0.007739210110621556,0.23134725988615035,-0.01580387802713085,0.2308068285301229,0.18330705487017016,0.15996138751506805,0.4502140522003171,0.3363333333333333,0.6193333333333333,-0.3874077647924423,0.5269947499036791,0.22982554257416457,-0.049441179070901245,0.22444453620346438,0.1852385653322872,0.16515595465898514,0.4291069105267521,0.29933333333333334,0.6143333333333333,-0.39431063681840894,0.49380258619785317,0.2280468744113955,-0.048979848761269144,0.22272483324526254,0.1842247538399509,0.16183404624462128,0.4277286395430564,0.30633333333333335,0.6196666666666667,-0.3807576008141041,0.4791717641055586
7,2.5,0.5,0.00781072625081711,0.20247410799050894,-0.030970472784843876,0.2000914646406376,0.1665106607090226,0.15427932143211365,0.36994568258523935,0.3433333333333333,0.6243333333333333,-0.3197331041097641,0.43073526397347456,0.23473418217185194,-0.07220959807836819,0.22335153956319329,0.19766306252025242,0.1925891414284706,0.41859988272190063,0.289,0.5233333333333333,-0.42046261578798294,0.41599187627434736,0.23290073773319817,-0.07119970376003766,0.2217506613770314,0.1963839176967158,0.19352155178785324,0.40374508351087546,0.2896666666666667,0.5206666666666667,-0.3935281202197075,0.423051702231169
7,2.5,0.75,-0.002638616576295531,0.1295681723670096,-0.01609619271894432,0.12856447359391984,0.10692820523900931,0.09389806911349297,0.24301251396536824,0.5343333333333333,0.8753333333333333,-0.24026046469807624,0.2447378933429718,0.1460877662558649,-0.03096248221543404,0.14276890468406328,0.11903821781811712,0.10452968627214432,0.2741302073001861,0.4746666666666667,0.821,-0.30649729147553445,0.24967969395220285,0.1464732358575016,-0.029533756978361757,0.14346485988321447,0.12052413865756352,0.10463600978255272,0.27482664287090286,0.472,0.812,-0.2950693592429161,0.24977396987378597
7,2.5,1.0,0.02168371971973056,0.09637743655502529,-0.04211134420399503,0.08669051255039723,0.07830273586939378,0.06841737404465675,0.17972491085529316,0.701,0.967,-0.21261778585612773,0.11364874169230464,0.10461895324065677,-0.04110915278487664,0.09620375738234135,0.08569120160012002,0.07384219765663147,0.1991967678070068,0.6323333333333333,0.9503333333333334,-0.22151682302355766,0.14374290443956855,0.10235042518121477,-0.041687038997892466,0.09347620186102791,0.0827361978806551,0.07058710232377052,0.18928976058959956,0.6673333333333333,0.958,-0.22679955549538136,0.12462104763835673
7,3.0,0.1,0.009897202904626042,0.23985057515684735,0.037720704260769705,0.23686588372566877,0.19189304623882103,0.15809397399425507,0.4581046909093855,0.297,0.61,-0.3529323868453503,0.5869000136852267,0.22159003281843495,0.03334702065890391,0.21906647132240412,0.17278124605210435,0.13350927084684372,0.4289972543716429,0.378,0.6453333333333333,-0.3611705109477043,0.5141684338450434,0.21939691130198816,0.044351718972240634,0.21486723741198854,0.17326171168863705,0.1425660327076912,0.41375442296266546,0.367,0.643,-0.32585431560873984,0.5455629199743272
7,3.0,0.25,0.008383723268023988,0.19370981723535005,-0.01784239089370295,0.19288634575974792,0.15361782146520606,0.13353583961725235,0.3835648670792579,0.386,0.7086666666666667,-0.37280192151665686,0.40295362696051606,0.19544223300844432,-0.03871624113120439,0.19156909749747605,0.1550220425516818,0.1334468275308609,0.3777705281972885,0.3873333333333333,0.694,-0.3684775926172733,0.4038525223731995,0.19380369941201686,-0.039789767073804494,0.18967511260572842,0.15307833563062256,0.13290753215551376,0.39089006632566436,0.4046666666666667,0.7083333333333334,-0.3838970549404621,0.4047403201460839
7,3.0,0.5,0.013985811679992834,0.16093377726419406,-0.043187582946913605,0.1550306851682101,0.13204657656882046,0.1167498268187046,0.3002205282449722,0.44466666666666665,0.7746666666666666,-0.3072898857295513,0.2894892312586309,0.1869599841832348,-0.06640208343077582,0.17477070407207182,0.15404953217884085,0.1390075460076332,0.35003673285245895,0.375,0.685,-0.3846233136951923,0.2821521431207658,0.18434519705275365,-0.06643754917967211,0.171956982223512,0.15213037544704275,0.14142558723688126,0.3452401801943779,0.388,0.7013333333333334,-0.37347338572144506,0.2927083589136601
7,3.0,0.75,-0.020054226702027694,0.12385073157745137,-0.03123534382191792,0.11984722361655477,0.100733363132748,0.08588569611310959,0.23378050103783576,0.5613333333333334,0.894,-0.2583501122891903,0.19441974610090257,0.13150075839325476,-0.036530233139094585,0.12632494419078347,0.10582855603257,0.08924119547009468,0.2585403338074682,0.565,0.8636666666666667,-0.2882056705653667,0.19446962513029578,0.13413790441356166,-0.03631662145525176,0.1291281549722513,0.10791954691348353,0.09044342115521431,0.26247112452983856,0.5473333333333333,0.8596666666666667,-0.2839325338602066,0.196349373459816
7,3.0,1.0,0.04311045773436171,0.08962986304888293,-0.053894135257966505,0.07161658002835321,0.0701900483288579,0.055614400655031204,0.18061613216996192,0.725,0.9806666666666667,-0.1949610847979784,0.06735852025449278,0.09584452932311784,-0.053622508165255565,0.07944054644346987,0.0764547219049091,0.06610722839832306,0.18362692072987555,0.682,0.973,-0.20179409459233283,0.09937441982328901,0.09171262779266377,-0.05246331424625047,0.07522504074398934,0.07133858566928636,0.057648222893476486,0.18500102013349518,0.7216666666666667,0.969,-0.20443246886134148,0.07551979739218952
7,3.5,0.1,0.07699181349483192,0.17491638163974657,-0.016520047636851814,0.17413451292612162,0.14016825426241,0.12675362825393677,0.3427441209554672,0.4096666666666667,0.7586666666666667,-0.350920819491148,0.317549803853035,0.17069488938755992,-0.018134765630350255,0.16972882942671697,0.13581900531122906,0.11563261970877647,0.3147223204374313,0.436,0.7726666666666666,-0.33945607841014863,0.28964480310678486,0.15755278029931194,-0.0056671403637034625,0.1574508243869855,0.1258768317845073,0.11109047755599022,0.293190488219261,0.4623333333333333,0.8226666666666667,-0.2918392315506935,0.2968172296881678
