method,n,repeat_id,scale,scale_factor,beta_hat,eta_hat,gamma_hat,e_beta,e_eta,e_gamma,L_i,converged
lse,20,3,display,1000.000000000000,2.804984904949,1165.677769496137,904.397806299675,-0.998597507548,0.165677769496,-0.095602193700,1.033785884826,True
lse,20,4,norm,1.000000000000,2.469250915544,1.075939331612,1.012334367611,0.234625457772,0.075939331612,0.012334367611,0.060968024145,True
lse,20,4,display,1000.000000000000,2.469250858114,1075.939315713852,1012.334382703324,-0.998765374571,0.075939315714,0.012334382703,1.003451190110,True
lre,7,0,norm,1.000000000000,9.355922077336,2.011605541257,0.000000000000,3.677961038668,1.011605541257,-1.000000000000,15.550743173062,True
lre,7,0,display,1000.000000000000,9.355922077336,2011.605541256514,0.000000000000,-0.995322038961,1.011605541257,-1.000000000000,3.014011732343,True
lre,7,1,norm,1.000000000000,1.829984628577,0.821136045196,1.207268225206,-0.085007685712,-0.178863954804,0.207268225206,0.082178738139,True
lre,7,1,display,1000.000000000000,5.506839579465,2067.904269942901,0.000000000000,-0.997246580210,1.067904269943,-1.000000000000,3.134920271503,True
lre,7,2,norm,1.000000000000,3.171023751060,1.328320308039,0.858432143867,0.585511875530,0.328320308039,-0.141567856133,0.470659838948,True
lre,7,2,display,1000.000000000000,5.770477689070,2198.589900809496,0.000000000000,-0.997114761155,1.198589900809,-1.000000000000,3.430855597237,True
lre,7,3,norm,1.000000000000,0.833110270303,0.516232676471,1.082630441813,-0.583444864848,-0.483767323529,0.082630441813,0.581266523547,True
lre,7,3,display,1000.000000000000,0.832857706287,516.174727681847,1082.670833355413,-0.999583571147,-0.483825272318,0.082670833355,1.240088676528,True
lre,7,4,norm,1.000000000000,2.326820709483,0.690008297114,1.228145824560,0.163410354741,-0.309991702886,0.228145824560,0.174848317159,True
lre,7,4,display,1000.000000000000,7.671852309265,1941.400655651268,0.000010202950,-0.996164073845,0.941400655651,-0.999999989797,2.878578036075,True
lre,10,0,norm,1.000000000000,1.588894236746,1.248432692834,0.966236383030,-0.205552881627,0.248432692834,-0.033763616970,0.105110771845,True
lre,10,0,display,1000.000000000000,3.355388112006,2291.927828938278,0.000045141668,-0.998322305944,1.291927828938,-0.999999954858,3.665724851447,True
lre,10,1,norm,1.000000000000,1.321672208881,0.973507143403,1.510943008224,-0.339163895559,-0.026492856597,0.510943008224,0.376796777155,True
lre,10,1,display,1000.000000000000,4.178166905419,2610.613613935711,0.000032895908,-0.997910916547,1.610613613936,-0.999999967104,4.589902344967,True
lre,10,2,norm,1.000000000000,2.096387844733,1.274426544579,0.874862131552,0.048193922366,0.274426544579,-0.125137868448,0.093292068642,True
lre,10,2,display,1000.000000000000,4.140351173465,2185.574599361843,0.000018518520,-0.997929824413,1.185574599362,-0.999999981481,3.401451028068,True
lre,10,3,norm,1.000000000000,1.050425244888,0.678076357985,1.378785343470,-0.474787377556,-0.321923642015,0.378785343470,0.472536221603,True
lre,10,3,display,1000.000000000000,4.288299938726,2188.519927142916,0.000033240077,-0.997855850031,1.188519927143,-0.999999966760,3.408295848176,True
lre,10,4,norm,1.000000000000,5.206616216896,2.024445357340,0.112704141777,1.603308108448,1.024445357340,-0.887295858223,4.407379120811,True
lre,10,4,display,1000.000000000000,5.549420693530,2138.211218340008,0.000000000000,-0.997225289653,1.138211218340,-1.000000000000,3.289983055879,True
lre,20,0,norm,1.000000000000,2.002274428159,1.034914093483,0.914197226710,0.001137214079,0.034914093483,-0.085802773290,0.008582403084,True
lre,20,0,display,1000.000000000000,4.620443722821,1989.503469254209,0.000020583535,-0.997689778139,0.989503469254,-0.999999979416,2.974501967901,True
