sample_id,gamma,objective,beta,eta
Sample-1-4,755.3665130260521,3.341893430483174e-09,1.0000188130450958,1048.0497913251502
Sample-1-4,759.1623246492986,3.3702051651867364e-09,1.000016960539627,1044.2537881801215
Sample-1-4,760.4275951903808,3.683901716545411e-11,1.0000162670072608,1042.9884447647794
Sample-1-4,762.9581362725451,4.813931883801133e-10,1.0000148889977538,1040.4577593997765
Sample-1-4,764.2234068136272,5.532195919136831e-11,1.0000142128823903,1039.1924177297306
Sample-1-4,766.7539478957916,6.21676306176053e-11,1.0000128809449917,1036.6617361355363
Sample-1-4,768.0192184368738,2.2695990709910036e-11,1.0000122886337703,1035.3964030793982
Sample-1-4,769.2844889779559,3.610550507729125e-09,1.0000117131717237,1034.1310722215437
Sample-1-4,770.549759519038,3.6912951123817253e-09,1.0000111463186265,1032.865741614078
Sample-1-4,771.8150300601203,3.670564761858292e-09,1.0000097136144839,1031.6003163320931
Sample-1-4,773.0803006012025,2.852233970509019e-09,1.0000089942684207,1030.334967638487
Sample-1-4,775.6108416833667,3.662727309040884e-09,1.0000079517023854,1027.804315915627
Sample-1-4,778.141382765531,2.1651847953246288e-10,1.000005603678735,1025.2735186888335
Sample-1-4,781.9371943887776,2.5345569339253655e-09,1.0000031724173764,1021.4774409455903
Sample-1-4,784.4677354709419,1.8765934345749554e-09,1.0000016422850575,1018.946732191037
Sample-1-4,785.733006012024,1.4691506078514493e-09,1.0000008242654197,1017.6813712228568
Sample-1-4,789.5288176352706,3.7229817647286585e-09,0.9999980636745435,1013.8852532431526
Sample-1-4,793.324629258517,1.917882062794999e-09,0.9999947682956327,1010.0890724150596
Sample-1-4,794.5898997995992,8.83233994974789e-12,0.9999935508589235,1008.8236646331164
Sample-1-4,797.1204408817636,3.778727347306682e-09,0.9999919268573203,1006.2929399651937
Sample-1-4,799.6509819639278,3.2530538697549135e-09,0.9999902752538768,1003.7622105519766
Sample-1-4,800.91625250501,2.7425581697559888e-09,0.9999871953863612,1002.4965907844077
Sample-1-4,802.1815230460923,8.249789392060489e-10,0.9999860577544016,1001.2311902152143
Sample-1-4,803.4467935871744,3.398381704774393e-09,0.9999849092592026,999.9657883842204
Sample-1-4,805.9773346693387,2.6932673422227235e-09,0.9999824955118873,997.4349683157283
Sample-1-4,807.2426052104208,3.983617273904678e-09,0.9999812678483544,996.1695567239503
Sample-1-4,811.0384168336673,3.3186634641563467e-09,0.9999769525058751,992.3732445837187
Sample-1-4,812.3036873747495,3.953788229636517e-12,0.9999754742449102,991.1078012833252
Sample-1-4,814.8342284569138,5.0562941745212095e-09,0.9999724315500108,988.5769050159615
Sample-1-4,818.6300400801604,1.4691682254326031e-09,0.9999676008904858,984.7805246146996
Sample-1-4,819.8953106212425,9.11907422983222e-10,0.9999654429995256,983.5150002426534
Sample-1-4,821.1605811623247,4.101959101331931e-09,0.9999637031694237,982.2495243375885
Sample-1-4,822.4258517034068,2.3789062306687776e-11,0.9999619094697649,980.9840403461093
Sample-1-4,824.9563927855711,1.7535914699631306e-11,0.9999582136249594,978.4530591423965
Sample-1-4,828.7522044088176,1.5752200230507475e-13,0.9999522607278825,974.6565350410867
Sample-1-4,830.0174749498998,4.5523344944072225e-11,0.9999501290086806,973.3910084744995
Sample-1-4,831.2827454909819,2.2666973197809465e-09,0.9999479308712892,972.1254737547886
Sample-1-4,832.5480160320642,2.186180118432155e-11,0.9999456496382828,970.8599279325292
Sample-1-4,833.8132865731463,2.3328647705684854e-11,0.9999432861026917,969.5943720111377
Sample-1-4,837.6090981963928,3.42905319621696e-09,0.9999356622966878,965.7976371430174
Sample-1-4,841.4049098196392,4.582572458300535e-11,0.9999271477498551,962.0007881822957
