budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,5.5,6000,6000,0.0,0.6174097235690718,-0.5089918340779942,0.02459738183676711,0.509585731268814,-0.19735758037331924,0.1539714149361556,0.2503063322187769,0.18914823581462437,0.1519561865518131,0.24261881480225092,-0.09977862123175388,0.07938409939381044,0.12750120856526584
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,5.75,6000,6000,0.0,0.6368955833429417,-0.528597436170061,0.023667382835025837,0.5291269235054286,-0.20298335109745017,0.15461139253900305,0.2551527766100471,0.19394324507230476,0.151484605752742,0.24608482986890864,-0.10832303301222046,0.07510789347459494,0.13181098187890367
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,0.75,6000,5934,0.01100000000000001,1.1564445777755326,0.7141651179194662,0.4895873823535755,0.865844805367559,0.49389193948767335,0.5350000707668593,0.7280838474034258,-0.17368450803452637,0.11215925311684381,0.2067459466477842,-0.08876600344757575,0.4311952254411684,0.4402015367183588
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,1.0,6000,5998,0.0003333333333332966,0.7625059573208456,0.5275932942891977,0.31955602830021795,0.6168093014736358,0.23186707350313263,0.339299362540462,0.4109345488693473,-0.13501327543367955,0.11476696809812775,0.17719437218757242,0.018763745993492766,0.36931670774436487,0.3697623138328969
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,1.25,6000,6000,0.0,0.5520784345135391,0.3563015026161632,0.260006061267643,0.4410698872859793,0.13141700198365155,0.25815686618505673,0.28966236979329446,-0.10034681747993167,0.1275809270515265,0.16230731317530467,0.0569308343922702,0.35249382360692144,0.3570326412757626
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,1.5,6000,5999,0.0001666666666666483,0.44509989618535356,0.23773517375855885,0.24360674218290265,0.34037092314529527,0.07522299369654009,0.227883658061554,0.23996000456148772,-0.07144902652721373,0.13844442256795103,0.15578390970508382,0.06345414796437501,0.298907218546342,0.3055438770289439
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,1.75,6000,6000,0.0,0.3908307682284428,0.152592812031453,0.24291633124730982,0.28685026677052494,0.04368219826893886,0.21007605985773192,0.21455239464010192,-0.05542642170148298,0.1461655099718524,0.15631021656280636,0.04262564642551517,0.24983186745028252,0.25342159550155996
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,2.0,6000,6000,0.0,0.3682532589659484,0.09335471546402747,0.24487509043111408,0.2620475507321083,0.02330986162986641,0.20180494023231896,0.20312999781516672,-0.03527332158324172,0.1563317432111271,0.1602490183494281,0.038083602598836704,0.229402335832768,0.23252316350668223
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,2.25,6000,6000,0.0,0.3500468470256557,0.04029686562472401,0.2351212370388156,0.23853012350607247,0.006296379225892697,0.19883951228214133,0.19892261437725473,-0.02384346891794765,0.1596925422702439,0.1614495858839491,0.018539760831018604,0.20176320432505362,0.2025964674406116
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,2.5,6000,6000,0.0,0.3443399563090679,0.004828339300053929,0.23185102672374977,0.23188197925558574,-0.010941645030755625,0.19417179331598378,0.19446367561742117,-0.00837511163775856,0.16407003405214696,0.16426999748220997,0.010665288019735245,0.18113845417646487,0.18143709495778312
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,2.75,6000,6000,0.0,0.33673012972592326,-0.028434318766674183,0.22048130421963502,0.2222890325526603,-0.02225880591413467,0.18902709702792792,0.19031747855699868,0.007618472268275085,0.1664349701072135,0.16659538897504267,0.007833046186432099,0.16980643337157816,0.1699728676077428
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,3.0,6000,6000,0.0,0.32977031842151816,-0.0595790289855917,0.2073694473241724,0.21574193232606584,-0.03219163961726602,0.1839369692776969,0.18671762511039985,0.0199653247470608,0.1641532420536801,0.16534935748643503,-1.3320605345395956e-05,0.15396547180827155,0.15395264139391698
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,3.25,6000,6000,0.0,0.3274150650871124,-0.08693127262984399,0.19584841463280625,0.2142597836933213,-0.04854962208766439,0.17806618072299824,0.18455174322669227,0.032055321540535434,0.16189764928935424,0.16502734321826273,-0.008489835225792134,0.14322000296927848,0.14345949913177405
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,3.5,6000,6000,0.0,0.32775232091450995,-0.11445964218937521,0.1814985804592954,0.2145629374093788,-0.05973859797556157,0.1724239534011674,0.1824657907425096,0.04836668418724865,0.1604852685184858,0.1676024014261658,-0.008509336855789583,0.1332353193664182,0.13349569480701978
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,3.75,6000,6000,0.0,0.33262450305653274,-0.1424567882501321,0.16883098216574063,0.2208915716081122,-0.07020146880722365,0.16725990031514384,0.18138207692717204,0.05816585707277841,0.1598984368853071,0.17013675615718385,-0.01623111523054397,0.12406304778422932,0.1251100461746974
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,4.0,6000,6000,0.0,0.3384674670927519,-0.1664565862596167,0.15504512742188362,0.22747039400300822,-0.08044366119319118,0.16430597485405635,0.18292932129653594,0.06841510599491542,0.15709167953763759,0.17133099410873678,-0.02158441364088703,0.11898556122742669,0.1209177038272857
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,4.25,6000,6000,0.0,0.3512063249750096,-0.1925410503074632,0.14348943368768466,0.24012047413173704,-0.09239003405693237,0.16093076595994096,0.18555407129348847,0.08118200573039445,0.15707107010537316,0.17679854985721133,-0.024035133621987656,0.11204132122309804,0.11458120744709406
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",1.5,5.0,3.5,12000,4.5,6000,6000,0.0,0.3627223329133977,-0.21614632700329223,0.13289272177939326,0.25372577079667274,-0.1009030594358426,0.15831422825447344,0.18772491853466,0.09041089717202373,0.1542073668154035,0.1787458502705092,-0.029415061577712304,0.10516309446375592,0.10919102102313143
