estimator,family,mapping,variant,true_beta,n,PG_J1,Default_J1,J1_diff
WMLE,PG-beta,nearest_grid,one_step,3.5,6000,0.6534692046111573,0.6136100743597206,0.039859130251436725
WMLE,PG-beta,nearest_grid,one_step,4.0,6000,0.7106571143253533,0.6811755452846217,0.029481569040731626
WMLE,PG-beta,nearest_grid,one_step,4.5,6000,0.7483850990544775,0.7305429111984516,0.01784218785602587
WMLE,PG-beta,nearest_grid,one_step,5.0,6000,0.7979933064394414,0.789769332128496,0.008223974310945459
WMLE,PG-beta,nearest_grid,terminal,1.5,6000,0.532568253551857,0.5476987191772456,-0.015130465625388556
WMLE,PG-beta,nearest_grid,terminal,2.0,6000,0.5809863030657318,0.5204978344244865,0.06048846864124535
WMLE,PG-beta,nearest_grid,terminal,2.5,6000,0.6313463084959794,0.5318700939484555,0.09947621454752387
WMLE,PG-beta,nearest_grid,terminal,3.0,6000,0.6800266936304107,0.5723656222089817,0.107661071421429
WMLE,PG-beta,nearest_grid,terminal,3.5,6000,0.7078733004140543,0.6136100743597206,0.09426322605433368
WMLE,PG-beta,nearest_grid,terminal,4.0,6000,0.7498342918831993,0.6811755452846217,0.06865874659857762
WMLE,PG-beta,nearest_grid,terminal,4.5,6000,0.7746840960516544,0.7305429111984516,0.04414118485320284
WMLE,PG-beta,nearest_grid,terminal,5.0,6000,0.8129084778584228,0.789769332128496,0.023139145729926813
WMLE,PG-beta,interpolated,one_step,1.5,6000,0.5372660489314017,0.5476987191772456,-0.010432670245843823
WMLE,PG-beta,interpolated,one_step,2.0,6000,0.5310050651434431,0.5204978344244865,0.01050723071895665
WMLE,PG-beta,interpolated,one_step,2.5,6000,0.569823578668318,0.5318700939484555,0.037953484719862485
WMLE,PG-beta,interpolated,one_step,3.0,6000,0.6107356396024353,0.5723656222089817,0.03837001739345358
WMLE,PG-beta,interpolated,one_step,3.5,6000,0.6510524662235244,0.6136100743597206,0.037442391863803826
WMLE,PG-beta,interpolated,one_step,4.0,6000,0.7088184906613121,0.6811755452846217,0.02764294537669043
WMLE,PG-beta,interpolated,one_step,4.5,6000,0.746631529141297,0.7305429111984516,0.01608861794284544
WMLE,PG-beta,interpolated,one_step,5.0,6000,0.7969786241684033,0.789769332128496,0.007209292039907278
WMLE,PG-beta,interpolated,terminal,1.5,6000,0.5347766128830613,0.5476987191772456,-0.012922106294184221
WMLE,PG-beta,interpolated,terminal,2.0,6000,0.583579588551132,0.5204978344244865,0.06308175412664552
WMLE,PG-beta,interpolated,terminal,2.5,6000,0.632606824590258,0.5318700939484555,0.10073673064180244
WMLE,PG-beta,interpolated,terminal,3.0,6000,0.6806879835446715,0.5723656222089817,0.10832236133568984
WMLE,PG-beta,interpolated,terminal,3.5,6000,0.7071159081362426,0.6136100743597206,0.093505833776522
WMLE,PG-beta,interpolated,terminal,4.0,6000,0.7508372219932246,0.6811755452846217,0.0696616767086029
WMLE,PG-beta,interpolated,terminal,4.5,6000,0.776354728814814,0.7305429111984516,0.04581181761636244
WMLE,PG-beta,interpolated,terminal,5.0,6000,0.814347553432862,0.789769332128496,0.024578221304366044
