n,fold,seed,route,best_epoch,stopped_epoch,runtime_s
7,5,3407,Q,81,141,20.555061101913452
7,5,4099,Q,35,95,15.886784553527832
7,5,42,Q,33,93,16.78752088546753
7,5,73,Q,68,128,22.14026689529419
7,5,8128,Q,30,90,15.948239803314209
10,1,12011,QCP,261,321,129.44192337989807
10,1,17,QCP,137,197,70.48724889755249
10,1,2026,QCP,200,260,74.07704496383667
10,1,2718,QCP,136,196,81.39828085899353
10,1,314,QCP,67,127,56.98550248146057
10,1,3407,QCP,113,173,69.55669116973877
10,1,4099,QCP,279,339,130.9819257259369
10,1,42,QCP,137,197,55.813841342926025
10,1,73,QCP,134,194,89.88723993301392
10,1,8128,QCP,115,175,70.07122778892517
10,2,12011,QCP,56,116,46.549152135849
10,2,17,QCP,71,131,47.56184267997742
10,2,2026,QCP,109,169,48.142332315444946
10,2,2718,QCP,95,155,61.12136459350586
10,2,314,QCP,37,97,44.46028661727905
10,2,3407,QCP,26,86,33.82008743286133
10,2,4099,QCP,45,105,39.47546458244324
10,2,42,QCP,44,104,28.99702739715576
10,2,73,QCP,70,130,57.62193298339844
10,2,8128,QCP,50,110,44.93944025039673
10,3,12011,QCP,51,111,43.854840993881226
10,3,17,QCP,164,224,88.80020713806152
10,3,2026,QCP,120,180,69.2504210472107
10,3,2718,QCP,198,258,100.44581723213196
10,3,314,QCP,137,197,82.56671023368835
10,3,3407,QCP,225,285,110.08423399925232
10,3,4099,QCP,153,213,81.845139503479
10,3,42,QCP,112,172,53.812713623046875
10,3,73,QCP,126,186,84.28132581710815
10,3,8128,QCP,92,152,59.998600244522095
10,4,12011,QCP,178,238,94.34810400009155
10,4,17,QCP,238,298,111.8213357925415
10,4,2026,QCP,130,190,73.83710861206055
10,4,2718,QCP,105,165,63.854870080947876
10,4,314,QCP,63,123,47.299256563186646
10,4,3407,QCP,191,251,97.57611274719238
10,4,4099,QCP,150,210,81.31916975975037
10,4,42,QCP,105,165,64.03573751449585
10,4,73,QCP,137,197,86.9646487236023
10,4,8128,QCP,65,125,50.24451422691345
10,5,12011,QCP,303,363,144.5489113330841
10,5,17,QCP,112,172,59.3036527633667
10,5,2026,QCP,160,220,86.63607788085938
10,5,2718,QCP,257,317,121.04630374908447
10,5,314,QCP,187,247,95.76014137268066
10,5,3407,QCP,169,229,80.49017024040222
10,5,4099,QCP,115,175,75.99217796325684
10,5,42,QCP,260,320,125.81019520759583
10,5,73,QCP,186,246,109.48202252388
10,5,8128,QCP,173,233,92.60344886779785
15,1,12011,QCP,271,331,130.9512894153595
15,1,17,QCP,90,150,63.08447051048279
15,1,2026,QCP,190,250,100.68714547157288
15,1,2718,QCP,113,173,67.83206272125244
15,1,314,QCP,226,286,111.05666923522949
15,1,3407,QCP,144,204,81.68004083633423
15,1,4099,QCP,52,112,50.81291961669922
15,1,42,QCP,145,205,83.41837048530579
15,1,73,QCP,58,118,54.52502155303955
15,1,8128,QCP,112,172,67.06209349632263
15,2,12011,QCP,111,171,68.65285110473633
15,2,17,QCP,190,250,109.32209920883179
15,2,2026,QCP,80,140,55.575236082077026
15,2,2718,QCP,232,292,110.71096396446228
15,2,314,QCP,207,267,90.68279957771301
15,2,3407,QCP,155,215,84.04555678367615
15,2,4099,QCP,298,358,162.56913661956787
15,2,42,QCP,73,133,53.53083348274231
15,2,73,QCP,89,149,66.47839522361755
15,2,8128,QCP,170,230,94.53735637664795
15,3,12011,QCP,254,314,126.18781924247742
15,3,17,QCP,186,246,97.15093922615051
15,3,2026,QCP,91,151,60.678672552108765
15,3,2718,QCP,120,180,78.81382203102112
15,3,314,QCP,103,163,55.148221015930176
15,3,3407,QCP,119,179,64.87895464897156
15,3,4099,QCP,187,247,111.72742033004761
15,3,42,QCP,77,137,54.43734288215637
15,3,73,QCP,96,156,69.03073716163635
15,3,8128,QCP,214,274,107.54434180259705
