route,n,fold,seed,mean_magnitude,mean_absolute_error,compensation,rmsre
P,10,2,2718,0.18203432249466012,0.11817040378387574,0.3305302166585072,0.17262411950549844
Q,10,2,2718,1.485600983546623,0.12203202827692972,0.9109234323929729,0.16857970774070394
QCP,10,2,2718,0.18885276533459472,0.11919714638625893,0.351073325631576,0.16827358283676824
P,10,2,4099,0.18432375060884557,0.11996294124035409,0.3199673736433073,0.17400168630571963
Q,10,2,4099,1.4920894916874858,0.11984933703227306,0.914390908731909,0.1690770425467012
QCP,10,2,4099,0.19846696613750872,0.11971034755685958,0.38114405553673253,0.1691795704888804
P,10,2,8128,0.1867645126082121,0.11823106328454311,0.34821066119432587,0.17588778774865052
Q,10,2,8128,1.493739987160217,0.12122811949315272,0.9137631145706141,0.16933020110133512
QCP,10,2,8128,0.1934159967989856,0.11897564415107865,0.370336831998706,0.1688271788564551
P,10,2,12011,0.18573038223901095,0.11890224073160108,0.3374042147803531,0.17333605274895833
Q,10,2,12011,1.483201298967382,0.12059164540160784,0.9122379582344092,0.16960392443683484
QCP,10,2,12011,0.18930926867073608,0.12076393261297406,0.34247174002056757,0.16911049181677265
P,10,3,42,0.1850363298070009,0.11733283843169676,0.3289084724168757,0.17051380754538092
Q,10,3,42,1.4848951807386797,0.1229381428002022,0.9096772719433371,0.17330237315423858
QCP,10,3,42,0.18969977350303688,0.11819397183024437,0.35046649065996266,0.167171011529895
P,10,3,2026,0.18253407065763494,0.1161672154001179,0.3341225449338155,0.16889499881544362
Q,10,3,2026,1.490559006047553,0.12104668337838632,0.9122934390740971,0.1717163727640158
QCP,10,3,2026,0.18987202351466115,0.11675438329069014,0.3455951547293238,0.16687002874902382
P,10,3,3407,0.18325045188281358,0.11742815346294047,0.32497460445513043,0.1700953168803353
Q,10,3,3407,1.4840048714852137,0.12193290299294228,0.9110477870709567,0.17253910778081047
QCP,10,3,3407,0.18991984965582223,0.11507036462706428,0.3681974095009346,0.1681470644699949
P,10,3,17,0.1805934987029126,0.11757976906125957,0.3147848253276588,0.16891483784424727
Q,10,3,17,1.4793854186121635,0.1208959077656109,0.9119586570529645,0.17191756118593793
QCP,10,3,17,0.1891624429652694,0.1180450764019285,0.34425215692128874,0.16660555505605779
P,10,3,73,0.18389176635431967,0.11680410056900224,0.3382710100253948,0.16958570167086964
Q,10,3,73,1.4796932029428822,0.1228993884402976,0.9091730493887993,0.17259850495305215
QCP,10,3,73,0.19436650478102616,0.11559435132580048,0.38395876394580547,0.16680215692070077
P,10,3,314,0.18377686660440506,0.11469922713342233,0.34536492465241064,0.16986837887054185
Q,10,3,314,1.4849629761127938,0.12119444479327512,0.9119729011247477,0.17261806328690874
QCP,10,3,314,0.1940290716972094,0.11504514162616725,0.3803093745846086,0.1671322935894561
P,10,3,2718,0.1834612052607683,0.11870289310309723,0.3201514317182267,0.170006829972559
Q,10,3,2718,1.4954580731407494,0.12026660698554158,0.9145201955283394,0.1715246327031911
QCP,10,3,2718,0.19104817999289156,0.1161516440623879,0.3671907328788401,0.16746214009807517
P,10,3,4099,0.18066933514990452,0.1154108165191377,0.32458953294843546,0.16885247921967408
Q,10,3,4099,1.4885320092744545,0.1214356004262519,0.9123559457003599,0.17290688093802342
QCP,10,3,4099,0.2026303023519203,0.11660548317457708,0.4001902347393962,0.16651686115716718
P,10,3,8128,0.18300435781437627,0.11711042909629905,0.3275626091304766,0.16950891480366126
Q,10,3,8128,1.5151526555324784,0.1202740097202231,0.9161286799091746,0.1721620904187754
QCP,10,3,8128,0.19228865740208828,0.11741049752470616,0.36763188814925024,0.16696638355877783
P,10,3,12011,0.18459558418679825,0.1173903337363842,0.33622359455032186,0.17044190331769754
Q,10,3,12011,1.4929680254169,0.12078669207862718,0.9132659040848762,0.17136182676914033
QCP,10,3,12011,0.20124189214715474,0.11602919551946025,0.4034847514393898,0.16703769478724578
P,10,4,42,0.18329976146526367,0.11332410629831897,0.3529751622721667,0.1714185964739331
Q,10,4,42,1.4873969746357905,0.11963694850627604,0.9129313085293359,0.16738623346044232
QCP,10,4,42,0.18764316996545577,0.11991779869231843,0.33384854531748637,0.16647970308284252
P,10,4,2026,0.1839500925929216,0.11260486786872785,0.3542478686863171,0.17031994445893497
Q,10,4,2026,1.4957080955297686,0.11878755409372019,0.914733305419355,0.1669679111745657
QCP,10,4,2026,0.19362666484992389,0.11820029692167353,0.3667542265696535,0.16589340119879892
P,10,4,3407,0.18173362355415393,0.11236926980644503,0.35006447564888865,0.16945397341247415
Q,10,4,3407,1.4959736524157647,0.11993096546888977,0.913172853902568,0.16757803199876267
QCP,10,4,3407,0.18426491249015964,0.11598207759963854,0.3445656720565959,0.16507238218345777
P,10,4,17,0.18224280268232632,0.11542402145155335,0.33144208806803316,0.16920443283270595
Q,10,4,17,1.493592013840067,0.12008275131317153,0.9132128941871894,0.1682157121857692
