method,delta,parameter,beta,gamma_over_eta,n,n_repeats,within_cell_normalized_sd
No offset,0.0,eta,2.0,0.25,7,300,0.3564185169804307
Default,0.1,eta,2.0,0.25,7,300,0.33141916414978745
No offset,0.0,eta,2.0,0.25,10,300,0.3131193738739855
Default,0.1,eta,2.0,0.25,10,300,0.28856605129373414
No offset,0.0,eta,2.0,0.25,15,300,0.2815149372025612
Default,0.1,eta,2.0,0.25,15,300,0.26196697979382394
No offset,0.0,eta,2.0,0.25,20,300,0.24571249042610252
Default,0.1,eta,2.0,0.25,20,300,0.22272412264998384
No offset,0.0,eta,2.0,0.5,7,300,0.4725772612115631
Default,0.1,eta,2.0,0.5,7,300,0.38332359413203443
No offset,0.0,eta,2.0,0.5,10,300,0.43938467533197223
Default,0.1,eta,2.0,0.5,10,300,0.35470194855436327
No offset,0.0,eta,2.0,0.5,15,300,0.34342846805464694
Default,0.1,eta,2.0,0.5,15,300,0.2675064443695782
No offset,0.0,eta,2.0,0.5,20,300,0.31841141450892424
Default,0.1,eta,2.0,0.5,20,300,0.2286993401690078
No offset,0.0,eta,2.0,0.75,7,300,0.5811275742121923
Default,0.1,eta,2.0,0.75,7,300,0.40004747999469337
No offset,0.0,eta,2.0,0.75,10,300,0.4999242419857582
Default,0.1,eta,2.0,0.75,10,300,0.3407788747934203
No offset,0.0,eta,2.0,0.75,15,300,0.45555262772392535
Default,0.1,eta,2.0,0.75,15,300,0.2874218608705943
No offset,0.0,eta,2.0,0.75,20,300,0.35376861413897065
Default,0.1,eta,2.0,0.75,20,300,0.2144030727424105
No offset,0.0,eta,2.0,1.0,7,300,0.7128227337690509
Default,0.1,eta,2.0,1.0,7,300,0.397563425861102
No offset,0.0,eta,2.0,1.0,10,300,0.5821046181871173
Default,0.1,eta,2.0,1.0,10,300,0.3156164898925716
No offset,0.0,eta,2.0,1.0,15,300,0.5152267761263464
Default,0.1,eta,2.0,1.0,15,300,0.2776431861190231
No offset,0.0,eta,2.0,1.0,20,300,0.4030244964840165
Default,0.1,eta,2.0,1.0,20,300,0.23190224512497917
No offset,0.0,eta,2.5,0.1,7,300,0.31697125381962965
Default,0.1,eta,2.5,0.1,7,300,0.29615229739155186
No offset,0.0,eta,2.5,0.1,10,300,0.2840906273610284
Default,0.1,eta,2.5,0.1,10,300,0.2646036388710394
No offset,0.0,eta,2.5,0.1,15,300,0.240168466030139
Default,0.1,eta,2.5,0.1,15,300,0.2264211100404278
No offset,0.0,eta,2.5,0.1,20,300,0.2084075959029316
Default,0.1,eta,2.5,0.1,20,300,0.20648309204600662
No offset,0.0,eta,2.5,0.25,7,300,0.3772714433509307
Default,0.1,eta,2.5,0.25,7,300,0.3122618516284811
No offset,0.0,eta,2.5,0.25,10,300,0.33880506280938966
Default,0.1,eta,2.5,0.25,10,300,0.2923232632326177
No offset,0.0,eta,2.5,0.25,15,300,0.2887616647419262
Default,0.1,eta,2.5,0.25,15,300,0.2501512430153135
No offset,0.0,eta,2.5,0.25,20,300,0.2546192104927899
Default,0.1,eta,2.5,0.25,20,300,0.21618203039984596
No offset,0.0,eta,2.5,0.5,7,300,0.4610659404170278
Default,0.1,eta,2.5,0.5,7,300,0.3345307896786114
No offset,0.0,eta,2.5,0.5,10,300,0.4328363075775387
Default,0.1,eta,2.5,0.5,10,300,0.3234308625185602
No offset,0.0,eta,2.5,0.5,15,300,0.3848585852602871
Default,0.1,eta,2.5,0.5,15,300,0.26560391215955553
No offset,0.0,eta,2.5,0.5,20,300,0.3217726117373462
Default,0.1,eta,2.5,0.5,20,300,0.21190420281328637
No offset,0.0,eta,2.5,0.75,7,300,0.5858988021565621
Default,0.1,eta,2.5,0.75,7,300,0.34678744382127064
No offset,0.0,eta,2.5,0.75,10,300,0.5346421244889421
Default,0.1,eta,2.5,0.75,10,300,0.32427220450417965
No offset,0.0,eta,2.5,0.75,15,300,0.45931548095189323
Default,0.1,eta,2.5,0.75,15,300,0.260578707859842
No offset,0.0,eta,2.5,0.75,20,300,0.4206652907482211
Default,0.1,eta,2.5,0.75,20,300,0.24023763083002944
No offset,0.0,eta,2.5,1.0,7,300,0.6842483289944619
Default,0.1,eta,2.5,1.0,7,300,0.355248652205794
No offset,0.0,eta,2.5,1.0,10,300,0.6179583098153976
