beta,gamma_over_eta,n,repeat_id,cohort_delta,orig_best_delta,orig_best_loss,extended_best_delta,extended_best_loss,migrated,loss_improvement,rel_improvement
1.5,0.1,7,904,0.5,0.5,0.2664725185283731,0.56,0.2511979323574431,True,0.01527458617093,0.0573214313253981
1.5,0.1,7,905,0.5,0.5,0.0510872208372323,0.62,0.0402786664366352,True,0.010808554400597,0.2115706085291649
1.5,0.1,7,961,0.5,0.5,0.2878799690840982,0.56,0.2325120491389279,True,0.0553679199451702,0.1923298801279074
1.5,0.1,7,966,0.5,0.5,0.1209213415430699,0.68,0.1176631677269797,True,0.0032581738160902,0.0269445721864553
1.5,0.1,7,969,0.5,0.5,0.0425084388370714,0.58,0.0414290345629334,True,0.001079404274138,0.0253927056289977
1.5,0.1,7,978,0.5,0.5,0.0151449249953045,0.64,0.0099972903270601,True,0.0051476346682444,0.3398917241148678
1.5,0.1,7,997,0.5,0.5,0.598703954090171,0.6,0.449413062135284,True,0.1492908919548869,0.2493567829892806
1.5,0.1,10,0,0.5,0.5,0.2401961902087664,0.66,0.1517153877271675,True,0.0884808024815989,0.3683688838057584
1.5,0.1,10,3,0.5,0.5,0.0179900566527784,0.66,0.014352787062671,True,0.0036372695901074,0.202182219895658
1.5,0.1,10,16,0.5,0.5,0.0147440539519203,0.54,0.0144716954844883,True,0.0002723584674319,0.0184724274829755
1.5,0.1,10,18,0.5,0.5,0.0777156545199282,0.6,0.0756969343484413,True,0.0020187201714869,0.0259757211588472
1.5,0.1,10,23,0.5,0.5,0.0265763245850043,0.82,0.0018684262774586,True,0.0247078983075456,0.9296958361761998
1.5,0.1,10,27,0.5,0.5,0.0328955538494228,0.72,0.0255810952651576,True,0.0073144585842652,0.2223540183499175
1.5,0.1,10,31,0.5,0.5,0.0976958031813911,1.0,0.044470812241813,True,0.0532249909395781,0.5448032485157591
1.5,0.1,10,37,0.5,0.5,0.0675393197437948,0.94,0.0535587224647561,True,0.0139805972790387,0.2069993795032733
1.5,0.1,10,43,0.5,0.5,0.00871771468506,0.62,0.0063993747366436,True,0.0023183399484164,0.2659343683717329
1.5,0.1,10,45,0.5,0.5,0.0296536480531951,0.82,0.0060552464536246,True,0.0235984015995704,0.7958009603822684
1.5,0.1,10,48,0.5,0.5,0.0079918678643097,0.6,0.0065434958866442,True,0.0014483719776655,0.1812307213103072
1.5,0.1,10,49,0.5,0.5,0.0304338101468021,0.62,0.0272267063509024,True,0.0032071037958996,0.1053796347033031
1.5,0.1,10,50,0.5,0.5,0.1298902989496701,0.56,0.1290520571174421,True,0.0008382418322279,0.0064534598734948
1.5,0.1,10,55,0.5,0.5,0.0395947519081956,0.62,0.0305926184947945,True,0.0090021334134011,0.2273567323839654
1.5,0.1,10,60,0.5,0.5,0.1409521063276054,0.52,0.1407857146824424,True,0.0001663916451629,0.0011804835663559
1.5,0.1,10,70,0.5,0.5,0.0230837318139971,0.9,5.115670345372806e-05,True,0.0230325751105433,0.9977838633776402
