beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status,cohort
1.5,1.0,0.1,0.1,7,42,0.52,1.5477367409054656,1.1094374181143918,0.288081797030595,0.9321771240232912,True,34.59530000145605,success,0.5
1.5,1.0,0.1,0.1,7,42,0.54,1.538001621758283,1.1031176638207545,0.29296605260932324,0.9299081019777811,True,34.67920000002778,success,0.5
1.5,1.0,0.1,0.1,7,42,0.56,1.5287246187119352,1.09694423633913,0.2976879811532388,0.9275278740834838,True,35.4602999996132,success,0.5
1.5,1.0,0.1,0.1,7,42,0.58,1.5198786892650389,1.0909033154448369,0.30226012341084224,0.9250290709579656,True,35.1236999995308,success,0.5
1.5,1.0,0.1,0.1,7,42,0.6,1.5114459285145174,1.0849805973828468,0.3066940137544099,0.922402109619292,True,34.29870000036317,success,0.5
1.5,1.0,0.1,0.1,7,42,0.62,1.5034032423778283,1.0791642412363722,0.3110003285710237,0.9196378810803005,True,34.79200000037963,success,0.5
1.5,1.0,0.1,0.1,7,42,0.64,1.4957347983058262,1.0734419521684513,0.31518898669174894,0.916725042385465,True,37.326300000131596,success,0.5
1.5,1.0,0.1,0.1,7,42,0.66,1.488426307810703,1.0678020500654177,0.31926927559619234,0.913650911752296,True,36.670899999080575,success,0.5
1.5,1.0,0.1,0.1,7,42,0.68,1.4814619211917717,1.0622340234516157,0.3232499401588731,0.9104020561229589,True,35.79929999978049,success,0.5
1.5,1.0,0.1,0.1,7,42,0.7,1.4748303005502508,1.0567270493342422,0.32713926510882957,0.9069625696602729,True,34.21650000018417,success,0.5
1.5,1.0,0.1,0.1,7,42,0.72,1.4685227773055667,1.0512702647654388,0.3309451631392189,0.903314090589601,True,34.52140000081272,success,0.5
1.5,1.0,0.1,0.1,7,42,0.74,1.462528845533858,1.0458536505503828,0.33467524833124923,0.8994367005680232,True,37.58230000130425,success,0.5
1.5,1.0,0.1,0.1,7,42,0.76,1.456841283404735,1.0404667726681471,0.3383369124803623,0.8953070885681095,True,37.2205000003305,success,0.5
1.5,1.0,0.1,0.1,7,42,0.78,1.4514541070660685,1.0350991153834677,0.3419374008577204,0.8908985493613614,True,34.50959999827319,success,0.5
1.5,1.0,0.1,0.1,7,42,0.8,1.446362175744309,1.0297400438732174,0.34548388875762903,0.8861804689498828,True,36.10519999892858,success,0.5
1.5,1.0,0.1,0.1,7,42,0.82,1.4415655584970408,1.0243776966853584,0.34898357698192123,0.881115923269389,True,39.65010000138136,success,0.5
1.5,1.0,0.1,0.1,7,42,0.84,1.4370578770368647,1.019001412816393,0.35244376179433634,0.8756648279295743,True,37.92599999906088,success,0.5
1.5,1.0,0.1,0.1,7,42,0.86,1.432843416356146,1.0135977911025944,0.35587196822813383,0.8697763829718247,True,34.78080000058981,success,0.5
1.5,1.0,0.1,0.1,7,42,0.88,1.4289236590816417,1.0081534374480439,0.3592760605506742,0.863392238565024,True,34.29140000116604,success,0.5
1.5,1.0,0.1,0.1,7,42,0.9,1.4253034446838357,1.0026533594761071,0.3626644060614582,0.8564419268203322,True,33.32779999982449,success,0.5
1.5,1.0,0.1,0.1,7,42,0.92,1.4219903224737112,0.9970808061236008,0.3660460607787089,0.8488400389587389,True,33.796300000176416,success,0.5
1.5,1.0,0.1,0.1,7,42,0.94,1.4189950971902896,0.9914167291014019,0.36943102680068646,0.8404818089667366,True,34.56999999980326,success,0.5
1.5,1.0,0.1,0.1,7,42,0.96,1.4163325907903852,0.9856390635843619,0.3728305924467576,0.8312369603313321,True,35.463500000332715,success,0.5
1.5,1.0,0.1,0.1,7,42,0.98,1.4140227399611607,0.9797217895695332,0.3762577678602024,0.8209410185777187,True,35.282099999676575,success,0.5
1.5,1.0,0.1,0.1,7,42,1.0,1.4120921323956377,0.9736335127285469,0.37972795329233383,0.8093824473989293,True,34.83520000008866,success,0.5
1.5,1.0,0.1,0.1,7,44,0.52,1.5750896174581264,1.1799553905647895,0.06623125942593357,0.965279529014987,True,36.09310000138066,success,0.5
1.5,1.0,0.1,0.1,7,44,0.54,1.5631661989085741,1.172960336592751,0.0719343109877223,0.9636791912459165,True,36.78909999871394,success,0.5
1.5,1.0,0.1,0.1,7,44,0.56,1.5517642187375638,1.1661653186516319,0.0774281561602578,0.9620151800159125,True,36.98720000102185,success,0.5
1.5,1.0,0.1,0.1,7,44,0.58,1.540854386325624,1.1595556198900658,0.08272662883723675,0.9602845050605703,True,37.546600000496255,success,0.5
