budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,n_train_per_n,n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,4.5,1500,1500,0.0,0.46431580157718016,-0.34689380834713074,0.058371761723068176,0.3517674023098967,-0.16953386159639375,0.1436565556660472,0.22218275827861492,0.15072694618755061,0.14063517833509973,0.20611569612747396,-0.04893564462505095,0.09518174406335073,0.10699636446257657
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,4.75,1500,1500,0.0,0.49019000221751874,-0.37142102057626775,0.052310117848862546,0.37508412219526427,-0.18057001660163238,0.1441003384377614,0.23099046552119687,0.1631431494252469,0.14013903745260814,0.2150384718819399,-0.05253187334435292,0.087502111666592,0.10203486095521046
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,5.0,1500,1500,0.0,0.5132831145840248,-0.3947231215802843,0.04543779169699917,0.39732802472152356,-0.18847966517562303,0.14388346077202244,0.23709329985245597,0.17078467042731071,0.14220703883659977,0.22220882892685176,-0.05907522754861631,0.08255155569805468,0.10148940183679792
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,5.25,1500,1500,0.0,0.5374546521233421,-0.41713213564082235,0.04099024021189062,0.4191399506652962,-0.19537059000075904,0.14635518967724534,0.24408037423837153,0.18117438644845343,0.1442001383677176,0.23152532422387895,-0.062312736456907505,0.0812166496414696,0.10234560994141653
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,5.5,1500,1500,0.0,0.5576415646119037,-0.43816459763081034,0.03610245918173074,0.43964842004822346,-0.2005330297225331,0.14623331569398135,0.24816007436090126,0.18733683796708894,0.1449443820281365,0.23683318776114276,-0.06810165780399743,0.07562863222481414,0.10175319494332433
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,5.75,1500,1500,0.0,0.5773787454739568,-0.45897045368909334,0.03351723097358569,0.46019184390338136,-0.20524987274266887,0.14698233977256792,0.2524220987296814,0.1929175796903995,0.14376840271167463,0.24056759258634372,-0.0753721326948891,0.0711423402957207,0.1036282626249853
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,20,0.75,1500,1461,0.026000000000000023,1.0145927242052193,0.6345105636410364,0.321280374044,0.7111638933044866,0.5098160394329369,0.4312592646989606,0.6676598295260855,-0.16076652455154128,0.09071139213918135,0.18457735489524413,-0.09533305127803433,0.2412059164394158,0.259285291812594
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,20,1.0,1500,1497,0.0020000000000000018,0.6227957977363981,0.4386184669934906,0.20738516976941593,0.48514537858513923,0.2301046358469497,0.27080766876236756,0.35529698524583236,-0.12318563665232427,0.08079611958240654,0.14730360921215213,-0.007243326105669878,0.19587791415572073,0.19594640337475752
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,20,1.25,1500,1500,0.0,0.4162831068461099,0.27069996450731626,0.16213609366141218,0.31551395887260836,0.11446678221220338,0.20728027352896894,0.23672581738457962,-0.09422879052815487,0.0939695486415793,0.133054327947596,0.009987068616561899,0.19411788127697022,0.19430998997252863
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,20,1.5,1500,1500,0.0,0.3198559847232739,0.14586296070115481,0.16482035476879037,0.22005372560139141,0.061925897646784356,0.18400078695700875,0.1940838363708443,-0.06713424062660525,0.1082426810118615,0.12734077615523676,0.005220829424717351,0.19759781461254347,0.19760091970596186
