beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
4.0,1.0,0.1,0.1,20,4,2.558156439873792,0.7171426667262393,0.3695525291303719,0.8750235690982366,True,13.070199871435761,success
4.0,1.0,0.1,0.1,20,5,1.9652370059690494,0.4566504959177601,0.5959091357180846,0.9366849033909835,True,10.740799829363823,success
4.0,1.0,0.1,0.1,20,6,3.2745079734726055,0.7937702381120607,0.22329596896118642,0.8956012144447427,True,17.157899914309382,success
4.0,1.0,0.1,0.1,20,7,6.838126280099162,1.0868178396093566,0.0,0.6168367567717955,True,9.782199980691075,success
4.0,1.0,0.1,0.1,20,8,1.5480131828812158,0.3833384841544285,0.7703713234688491,0.9146725699763103,True,10.728999972343445,success
4.0,1.0,0.1,0.1,20,9,3.4241302406484624,0.6092607328295956,0.5700318229647412,0.9002062681878978,True,10.89249993674457,success
5.0,1.0,0.1,0.1,7,0,0,0,0,0,False,148.72949989512563,failure
5.0,1.0,0.1,0.1,7,1,1.8790336196914996,0.41962302729633016,0.6947927188048344,0.7192810841713857,True,11.697900015860796,success
5.0,1.0,0.1,0.1,7,2,6.824100063393757,1.0722795248928514,0.0,0.5107254977739342,True,11.16829994134605,success
5.0,1.0,0.1,0.1,7,3,0,0,0,0,False,146.13920007832348,failure
5.0,1.0,0.1,0.1,7,4,0,0,0,0,False,26.420600013807416,failure
5.0,1.0,0.1,0.1,7,5,0,0,0,0,False,26.210700161755085,failure
5.0,1.0,0.1,0.1,7,6,0,0,0,0,False,107.77519992552698,failure
5.0,1.0,0.1,0.1,7,7,0,0,0,0,False,28.20580010302365,failure
5.0,1.0,0.1,0.1,7,8,0,0,0,0,False,128.93450004048645,failure
5.0,1.0,0.1,0.1,7,9,5.735149600325244,1.0048254554506526,0.0,0.6609445746529055,True,8.014399791136384,success
5.0,1.0,0.1,0.1,10,0,2.39859309097226,0.5854714188347996,0.5326928754626766,0.858268429965755,True,13.549200026318431,success
5.0,1.0,0.1,0.1,10,1,3.1088473273979917,0.7604219246995704,0.2341793426151073,0.8745229008682583,True,12.115400051698089,success
5.0,1.0,0.1,0.1,10,2,2.861346953337997,0.6303683355418405,0.3683888230704675,0.8125507673488368,True,13.680199859663844,success
5.0,1.0,0.1,0.1,10,3,2.82653925612146,0.3636497678354541,0.7384212286318728,0.7962838908177134,True,9.757099905982614,success
5.0,1.0,0.1,0.1,10,4,6.859503526020002,1.1171288575270542,0.0,0.9035631412649201,True,7.467500166967511,success
5.0,1.0,0.1,0.1,10,5,1.5283876851775156,0.2642722607180767,0.7362546117863505,0.8158023820846547,True,13.601700076833367,success
5.0,1.0,0.1,0.1,10,6,2.12718990739513,0.525341320478384,0.6586777872200562,0.843925645206345,True,10.18900005146861,success
5.0,1.0,0.1,0.1,10,7,6.137884611709159,1.0849169886907108,0.0,0.8702808335671968,True,8.495900081470609,success
5.0,1.0,0.1,0.1,10,8,3.331456294705913,1.0434232052894217,0.0,0.6536467740549364,True,13.423800002783537,success
5.0,1.0,0.1,0.1,10,9,5.516279789592893,1.059148193200781,0.0,0.8333264263631887,True,9.55930002965033,success
5.0,1.0,0.1,0.1,20,0,2.0868132525959875,0.5265561255904025,0.5369909161838523,0.8516623373994013,True,12.170200003311038,success
5.0,1.0,0.1,0.1,20,1,2.338564711542247,0.5084518152749709,0.511947080684807,0.9260685057886219,True,10.708699934184551,success
5.0,1.0,0.1,0.1,20,2,4.356073442458463,0.9886494694018506,0.05986651011615193,0.9327892868733101,True,10.104099987074733,success
5.0,1.0,0.1,0.1,20,3,2.4063880133801407,0.4533326784964654,0.6330540903905577,0.959564651923265,True,9.777599945664406,success
5.0,1.0,0.1,0.1,20,4,6.10975976539226,1.0901634741576731,0.0,0.7873728286334062,True,8.934100158512592,success
5.0,1.0,0.1,0.1,20,5,2.030184288471752,0.4162410447424901,0.7424299526784063,0.9520604389818563,True,9.655300062149763,success
5.0,1.0,0.1,0.1,20,6,6.7481213856924125,1.0285386395892737,0.0,0.9601941691375757,True,7.630799897015095,success
5.0,1.0,0.1,0.1,20,7,2.9774342736987105,0.5064963882043048,0.544820228709731,0.9398114966980081,True,10.15340001322329,success
5.0,1.0,0.1,0.1,20,8,5.595270123794748,1.0136026765903825,0.08614817042580228,0.9382901266506266,True,11.272499803453684,success
5.0,1.0,0.1,0.1,20,9,3.069498646377151,0.5325143992484773,0.5646259061083344,0.9575702639307764,True,9.112900123000145,success
1.5,1.0,0.5,0.5,7,0,6.126495541219725,2.2331459177732196,0.0,0.5561680806090099,True,7.804799824953079,success
1.5,1.0,0.5,0.5,7,1,0,0,0,0,False,117.56450007669628,failure
1.5,1.0,0.5,0.5,7,2,0,0,0,0,False,26.18740010075271,failure
1.5,1.0,0.5,0.5,7,3,2.8515151825201395,0.5077124579931961,0.38225794435546984,0.8403921749692905,True,13.916200026869774,success
1.5,1.0,0.5,0.5,7,4,2.620550692270756,2.1505565697897513,0.0,0.7537971869252074,True,8.682999992743134,success
1.5,1.0,0.5,0.5,7,5,3.2721734955418853,1.9563519269568013,0.0,0.5422929609399602,True,8.318000007420778,success
1.5,1.0,0.5,0.5,7,6,0,0,0,0,False,109.85079989768565,failure
1.5,1.0,0.5,0.5,7,7,3.029197238880605,1.6581672717623177,0.0,0.8205001223963434,True,7.747500203549862,success
1.5,1.0,0.5,0.5,7,8,0,0,0,0,False,134.14509990252554,failure
1.5,1.0,0.5,0.5,7,9,0,0,0,0,False,134.1466000303626,failure
1.5,1.0,0.5,0.5,10,0,0,0,0,0,False,180.55199994705617,failure
1.5,1.0,0.5,0.5,10,1,0,0,0,0,False,23.08920002542436,failure
1.5,1.0,0.5,0.5,10,2,0,0,0,0,False,133.55899997986853,failure
1.5,1.0,0.5,0.5,10,3,3.9108116685006027,1.0228575925422265,0.32017485934686174,0.8720405699534611,True,12.611399870365858,success
1.5,1.0,0.5,0.5,10,4,2.285482885789692,0.7715622807036702,0.4340041049986878,0.8628897696877567,True,12.416499899700284,success
1.5,1.0,0.5,0.5,10,5,0,0,0,0,False,19.989100052043796,failure
1.5,1.0,0.5,0.5,10,6,2.449871717177988,0.8362779683479473,0.646781975384346,0.8828645640176505,True,11.71850017271936,success
1.5,1.0,0.5,0.5,10,7,0,0,0,0,False,145.4145999159664,failure
1.5,1.0,0.5,0.5,10,8,0,0,0,0,False,21.026100032031536,failure
1.5,1.0,0.5,0.5,10,9,0,0,0,0,False,129.35109995305538,failure
1.5,1.0,0.5,0.5,20,0,1.5723581373890734,1.0937372856362457,0.5513482602286075,0.919825638546514,True,9.926100028678775,success
1.5,1.0,0.5,0.5,20,1,1.112185781505152,0.6234507504540339,0.5396457707270037,0.7990073901194236,True,10.889899916946888,success
1.5,1.0,0.5,0.5,20,2,1.308155977973342,0.8400322576365358,0.5786289917811713,0.8801941467034269,True,11.983200209215283,success
1.5,1.0,0.5,0.5,20,3,1.414961348611124,0.8929840768953266,0.50629072700644,0.895577655272336,True,10.09249989874661,success
1.5,1.0,0.5,0.5,20,4,1.3958944006001928,0.5792386996491916,0.540762834513851,0.8874745296196718,True,14.47829999960959,success
