beta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5,0.05,72,1.485160,716.146377,865.938378,-0.014840,-283.853623,-134.061622,0.953457
1.5,5,0.05,73,1.771902,1716.869220,705.426509,0.271902,716.869220,-294.573491,0.860510
1.5,5,0.05,74,7.349960,2058.556969,0.000000,5.849960,1058.556969,-1000.000000,0.850050
1.5,5,0.05,75,0.679301,671.544087,1150.412972,-0.820699,-328.455913,150.412972,0.981819
1.5,5,0.05,76,2.437396,2118.490607,290.364664,0.937396,1118.490607,-709.635336,0.951875
1.5,5,0.05,77,12.557711,1598.505710,0.000000,11.057711,598.505710,-1000.000000,0.548853
1.5,5,0.05,78,0.701242,810.761052,1391.327253,-0.798758,-189.238948,391.327253,0.982214
1.5,5,0.05,79,4.964001,1665.323538,84.484206,3.464001,665.323538,-915.515794,0.700919
1.5,5,0.05,80,0.760625,667.798132,1667.146907,-0.739375,-332.201868,667.146907,0.961105
1.5,5,0.05,81,0.983738,1013.876862,1027.446851,-0.516262,13.876862,27.446851,0.986973
1.5,5,0.05,82,0.756729,521.776166,1317.810401,-0.743271,-478.223834,317.810401,0.967778
1.5,5,0.05,83,2.739522,1146.059227,1214.656482,1.239522,146.059227,214.656482,0.994079
1.5,5,0.05,84,2.376008,1345.025887,820.582201,0.876008,345.025887,-179.417799,0.810367
1.5,5,0.05,85,3.385251,553.710025,1366.660558,1.885251,-446.289975,366.660558,0.938219
1.5,5,0.05,86,1.135493,825.026153,1006.474923,-0.364507,-174.973847,6.474923,0.970856
1.5,5,0.05,87,2.280411,2302.903052,0.000000,0.780411,1302.903052,-1000.000000,0.716552
1.5,5,0.05,88,3.001364,2012.340789,0.000000,1.501364,1012.340789,-1000.000000,0.504101
1.5,5,0.05,89,1.112008,453.928823,1930.381184,-0.387992,-546.071177,930.381184,0.963143
1.5,5,0.05,90,2.377796,1489.606009,966.981036,0.877796,489.606009,-33.018964,0.932675
1.5,5,0.05,91,1.903798,833.183649,1073.818359,0.403798,-166.816351,73.818359,0.926510
1.5,5,0.05,92,1.529419,1232.388415,819.719617,0.029419,232.388415,-180.280383,0.994497
1.5,5,0.05,93,2.932155,1781.244952,222.728519,1.432155,781.244952,-777.271481,0.974592
1.5,5,0.05,94,3.422005,1949.086468,0.000000,1.922005,949.086468,-1000.000000,0.555934
1.5,5,0.05,95,4.437098,1785.194033,0.000000,2.937098,785.194033,-1000.000000,0.805405
1.5,5,0.05,96,1.054047,396.635177,1466.651737,-0.445953,-603.364823,466.651737,0.982344
1.5,5,0.05,97,1.288394,1158.810716,941.402889,-0.211606,158.810716,-58.597111,0.956158
1.5,5,0.05,98,4.452208,1793.427397,0.000000,2.952208,793.427397,-1000.000000,0.705543
1.5,5,0.05,99,3.786692,2330.030275,0.000000,2.286692,1330.030275,-1000.000000,0.817044
1.5,5,0.05,100,1.119918,254.642611,1333.934498,-0.380082,-745.357389,333.934498,0.931075
1.5,5,0.1,1,1.712093,880.239709,827.604461,0.212093,-119.760291,-172.395539,0.887150
1.5,5,0.1,2,1.704614,1808.657976,1143.493050,0.204614,808.657976,143.493050,0.983490
1.5,5,0.1,3,0.851450,948.424671,1590.257834,-0.648550,-51.575329,590.257834,0.986883
1.5,5,0.1,4,0.827919,421.058922,1326.128376,-0.672081,-578.941078,326.128376,0.963563
1.5,5,0.1,5,5.121894,1903.990059,0.000000,3.621894,903.990059,-1000.000000,0.758631
1.5,5,0.1,6,1.266286,998.418291,1106.644584,-0.233714,-1.581709,106.644584,0.966813
1.5,5,0.1,7,0.649242,510.835270,1049.510609,-0.850758,-489.164730,49.510609,0.956251
1.5,5,0.1,8,2.142487,181.291618,1258.758701,0.642487,-818.708382,258.758701,0.948807
1.5,5,0.1,9,3.036506,1737.451282,0.000000,1.536506,737.451282,-1000.000000,0.575499
1.5,5,0.1,10,2.788287,1925.743163,0.000000,1.288287,925.743163,-1000.000000,0.749083
1.5,5,0.1,11,1.759693,1688.388643,504.829613,0.259693,688.388643,-495.170387,0.995014
1.5,5,0.1,12,2.956607,2558.801221,164.888342,1.456607,1558.801221,-835.111658,0.926410
1.5,5,0.1,13,2.351636,742.855656,769.745597,0.851636,-257.144344,-230.254403,0.965749
1.5,5,0.1,14,2.898192,1137.359619,846.870456,1.398192,137.359619,-153.129544,0.941555
1.5,5,0.1,15,2.134866,1671.584661,510.057996,0.634866,671.584661,-489.942004,0.913247
1.5,5,0.1,16,1.404794,1206.533371,1401.766078,-0.095206,206.533371,401.766078,0.940715
1.5,5,0.1,17,1.562942,1096.183770,1114.707459,0.062942,96.183770,114.707459,0.963809
1.5,5,0.1,18,3.769847,2120.075709,0.000000,2.269847,1120.075709,-1000.000000,0.585987
1.5,5,0.1,19,2.606440,743.836695,1114.233553,1.106440,-256.163305,114.233553,0.963990
1.5,5,0.1,20,2.966424,852.772252,1200.271824,1.466424,-147.227748,200.271824,0.821120
1.5,5,0.1,21,2.907910,1923.892669,0.000000,1.407910,923.892669,-1000.000000,0.751746
1.5,5,0.1,22,1.402779,689.375614,889.086771,-0.097221,-310.624386,-110.913229,0.954639
1.5,5,0.1,23,1.504230,1515.750155,878.564307,0.004230,515.750155,-121.435693,0.859785
1.5,5,0.1,24,7.349960,2058.556969,0.000000,5.849960,1058.556969,-1000.000000,0.850050
1.5,5,0.1,25,0.677192,670.473562,1150.915601,-0.822808,-329.526438,150.915601,0.982063
1.5,5,0.1,26,2.143865,1918.409585,479.516327,0.643865,918.409585,-520.483673,0.948630
1.5,5,0.1,27,12.557711,1598.505710,0.000000,11.057711,598.505710,-1000.000000,0.548853
1.5,5,0.1,28,0.697190,809.123191,1392.370647,-0.802810,-190.876809,392.370647,0.982449
1.5,5,0.1,29,3.831889,1295.358739,443.451211,2.331889,295.358739,-556.548789,0.604292
1.5,5,0.1,30,0.745227,662.977867,1670.574143,-0.754773,-337.022133,670.574143,0.962250
1.5,5,0.1,31,0.973385,1007.534189,1031.920456,-0.526615,7.534189,31.920456,0.987166
1.5,5,0.1,32,0.734507,516.574612,1321.546685,-0.765493,-483.425388,321.546685,0.969080
1.5,5,0.1,33,2.342999,1016.306032,1339.528900,0.842999,16.306032,339.528900,0.991243
1.5,5,0.1,34,1.826772,1086.980388,1055.467179,0.326772,86.980388,55.467179,0.789375
1.5,5,0.1,35,2.667146,460.337752,1457.996894,1.167146,-539.662248,457.996894,0.925646
1.5,5,0.1,36,1.108695,813.633793,1015.543290,-0.391305,-186.366207,15.543290,0.971466
