contract,n,fold,seed,mse_P,mse_Q,mse_QD
continuous,10,3,4099,0.020021267890802025,0.01986545458925427,0.019583739022432354
continuous,10,3,8128,0.020207640175129427,0.019975499683952746,0.020049540203605703
continuous,10,3,12011,0.02154369051253728,0.0201532584612598,0.01953625253441618
continuous,10,4,42,0.019745129812977935,0.018799232446218006,0.019046664503871963
continuous,10,4,2026,0.019569251300345654,0.01884018116524629,0.018840479554075164
continuous,10,4,3407,0.019259354328782726,0.018930227364584613,0.01918126461682702
continuous,10,4,17,0.019526075346958643,0.019007125505194022,0.018876024518070123
continuous,10,4,73,0.01966778178801301,0.01899957200635396,0.01887114420992198
continuous,10,4,314,0.019165481593276763,0.01881444181709188,0.018953433507415365
continuous,10,4,2718,0.019504522776165482,0.01891084389922815,0.018870457772956453
continuous,10,4,4099,0.019285305578982212,0.018885929502572892,0.018962189857588636
continuous,10,4,8128,0.019468474453230036,0.018859304973472733,0.019065362127824094
continuous,10,4,12011,0.019854130275466633,0.018833283581515713,0.018989433744572466
continuous,10,5,42,0.020608623989095888,0.019289131379044797,0.019362291483781012
continuous,10,5,2026,0.020340409258932872,0.01945843972123322,0.019450197061690808
continuous,10,5,3407,0.020796107998595034,0.019467153242496114,0.019266011584982732
continuous,10,5,17,0.020567432567791335,0.019307082194090677,0.018941490675687754
continuous,10,5,73,0.02142859564912297,0.019303342421049863,0.019116835757328598
continuous,10,5,314,0.02051081060605749,0.019223240561307243,0.018969916858306835
continuous,10,5,2718,0.020384250942190815,0.019281114685274846,0.01923922320720051
continuous,10,5,4099,0.020603381385154145,0.019258947913658793,0.01926354138933298
continuous,10,5,8128,0.020654776724643917,0.019158557508970497,0.018909215743662146
continuous,10,5,12011,0.020965167943157236,0.01923099186842483,0.018959429708673207
continuous,15,1,42,0.01516627777802382,0.01517153283145264,0.015294736381401304
continuous,15,1,2026,0.015310197840181292,0.015179228221055281,0.014980395638117055
continuous,15,1,3407,0.015378808198140359,0.015061968411431313,0.015086476499272337
continuous,15,1,17,0.015041950578928627,0.015102890803703044,0.01540144305766599
continuous,15,1,73,0.014977578875291648,0.015054850416163596,0.015274159129431253
continuous,15,1,314,0.014983680017321775,0.015114104096391679,0.015068974319418824
continuous,15,1,2718,0.015007940120314315,0.015144242265306888,0.015128497859756956
continuous,15,1,4099,0.01514542889124412,0.015125979075818566,0.01509433251018642
continuous,15,1,8128,0.014977844592816284,0.015108068047385454,0.015089577641347246
continuous,15,1,12011,0.01497428617147988,0.015154163987660289,0.015318824636668766
continuous,15,2,42,0.014652929450777912,0.014594992262171666,0.014792424373929858
continuous,15,2,2026,0.014974363888022884,0.014581555268664115,0.014885675696726499
continuous,15,2,3407,0.014670829313917286,0.014753065310758918,0.014907092441091153
continuous,15,2,17,0.014375770437005062,0.014696097413131059,0.014702518150372441
continuous,15,2,73,0.014597044318262581,0.014699250301524004,0.014830670627362364
continuous,15,2,314,0.01439870090288382,0.014624021602158623,0.01467846976847851
continuous,15,2,2718,0.014473239135094703,0.014704794133776181,0.015074323041223246
continuous,15,2,4099,0.014672587549180098,0.014672150088289848,0.014669990044855984
continuous,15,2,8128,0.014566682732263588,0.014559544242654026,0.014740603280819288
continuous,15,2,12011,0.014759648568996048,0.014730750192328432,0.01491752049919348
continuous,15,3,42,0.014414668054901157,0.014105984317108187,0.014300688007765997
continuous,15,3,2026,0.014620496943552884,0.014103828998524618,0.014088642778590874
continuous,15,3,3407,0.014341760794164162,0.014074127157921244,0.014157208478067567
continuous,15,3,17,0.014323247265468693,0.014117426785129474,0.014143428234877492
continuous,15,3,73,0.014366661785902568,0.014083803253539705,0.014206903073918642
continuous,15,3,314,0.014323261136859307,0.014076897674231877,0.014192344156707363
continuous,15,3,2718,0.014447643240474442,0.014165035068155045,0.014325007379237652
continuous,15,3,4099,0.01439479678696696,0.014107658741135898,0.014041960204691284
continuous,15,3,8128,0.014711032420277216,0.014160598529402903,0.0142347704649135
continuous,15,3,12011,0.014529092295721984,0.014122578247834023,0.014205917483184439
continuous,15,4,42,0.013631604818711503,0.013672389489220949,0.01339895237002595
continuous,15,4,2026,0.013839121901769795,0.013598306145342355,0.013320743255035407
continuous,15,4,3407,0.01359914369375624,0.013658167400518832,0.013480728001822323
continuous,15,4,17,0.013830307700922705,0.013593136197261184,0.01327591336106001
continuous,15,4,73,0.013573040153600871,0.01362290201966933,0.013384122865982164
continuous,15,4,314,0.013560963054465048,0.013619373669813285,0.013432861544513095
continuous,15,4,2718,0.013600077065534157,0.013592879994165573,0.013186358840363318
continuous,15,4,4099,0.013842115646205088,0.013688511982593686,0.013511423590116233
