beta,n,gamma_eta,delta,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma,n_valid
1.5,20,0.1,0.26,-0.00791487199999974,0.3399920245589756,-0.03651336400000016,0.20469989782198758,0.02919977800000001,0.10446265235153351,500
1.5,20,0.1,0.28,-0.014728415999999855,0.3364290839858499,-0.03889866799999997,0.20376357911807447,0.03121589999999999,0.10405646454760173,500
1.5,20,0.1,0.3,-0.021204592000000133,0.33320739567532864,-0.04119113399999996,0.2028926145206229,0.033142089999999985,0.10369529653374032,500
1.5,20,0.1,0.32,-0.027539921999999883,0.3300274895730895,-0.04347543599999992,0.20198140992460709,0.03505136600000003,0.10329245997940624,500
1.5,20,0.1,0.34,-0.033691237999999846,0.32700150765438657,-0.04572530000000008,0.20108295472021498,0.03692272600000002,0.10288210087808813,500
1.5,20,0.1,0.36,-0.03964738600000017,0.32407970429705024,-0.04794231399999993,0.20020358230765262,0.03875604199999999,0.10247173389671824,500
1.5,20,0.1,0.38,-0.04539992000000015,0.32125957596213117,-0.05006583200000003,0.19942152979103375,0.040505602,0.10207488387494626,500
1.5,20,0.1,0.4,-0.05094599599999983,0.31864249274087125,-0.052117572,0.19869465106165754,0.04218723600000002,0.10169295267996618,500
1.5,20,0.1,0.42,-0.05633876400000015,0.31607708213325436,-0.05414531599999983,0.19797392549698437,0.04383968599999999,0.1012995594569876,500
1.5,20,0.1,0.44,-0.06154932999999985,0.3136307689090694,-0.056135191999999945,0.19727920453983708,0.04545106999999998,0.10091613589281039,500
1.5,20,0.1,0.46,-0.06663375800000004,0.31119596875166944,-0.05813162000000005,0.19655044666358534,0.04705567399999999,0.10049774589988393,500
1.5,20,0.1,0.48,-0.07155284800000006,0.3088501930990095,-0.06010823600000004,0.19583133097633848,0.048632643999999975,0.10007996264939888,500
1.5,20,0.1,0.5,-0.07635193400000007,0.30656524605951785,-0.062089623999999954,0.19507035351805244,0.05020239800000001,0.09963767360734273,500
1.5,20,0.5,0.0,0.23127277000000013,0.6468133784108765,0.059167750000000074,0.2814889655784331,-0.05841547400000002,0.19097795186000557,500
1.5,20,0.5,0.02,0.18525619800000004,0.5897318595111135,0.04249252200000009,0.266094664640473,-0.04317092,0.17428445305631793,500
1.5,20,0.5,0.04,0.1486435479999999,0.543009325091524,0.029611861999999656,0.2548251463516763,-0.03139638,0.16111507517346693,500
1.5,20,0.5,0.06,0.11969675199999985,0.5083709967921787,0.019381756000000028,0.24563309914422132,-0.022094554000000044,0.15072970701843352,500
1.5,20,0.5,0.08,0.09590964000000013,0.4809830610206976,0.011013147999999973,0.23850415325700258,-0.014533298000000028,0.14272445395761793,500
1.5,20,0.5,0.1,0.0757114539999999,0.45857981641929485,0.003899585999999955,0.2324459215296283,-0.008141544,0.13619477144334532,500
1.5,20,0.5,0.12,0.05782033199999992,0.43870145457718057,-0.0024191639999998626,0.22690818846394478,-0.002486920000000059,0.13034417322437045,500
1.5,20,0.5,0.14,0.04213503200000024,0.4222050277338232,-0.007957881999999916,0.222335624845428,0.0024377420000000205,0.12560919600154977,500
1.5,20,0.5,0.16,0.028143011999999912,0.408171754246554,-0.012904823999999926,0.2184568929276901,0.00680910400000001,0.121671759192819,500
1.5,20,0.5,0.18,0.015496737999999732,0.3960066794381233,-0.017386886000000046,0.21509776779755757,0.010746040000000012,0.1183281985324812,500
