beta,n,gamma_eta,delta,jparam,n_valid
2.0,10,0.5,0.48,0.5216599833565418,500
2.0,10,0.5,0.5,0.5254807644158072,500
2.0,10,1.0,0.0,1.2640981702875793,500
2.0,10,1.0,0.02,0.9555120028151088,500
2.0,10,1.0,0.04,0.7871128704852536,500
2.0,10,1.0,0.06,0.6775775225724433,500
2.0,10,1.0,0.08,0.6124449304589965,500
2.0,10,1.0,0.1,0.5722231591973995,500
2.0,10,1.0,0.12,0.5462613147309116,500
2.0,10,1.0,0.14,0.529082478840015,500
2.0,10,1.0,0.16,0.5176465491208664,500
2.0,10,1.0,0.18,0.5101266993830607,500
2.0,10,1.0,0.2,0.5053630497604831,500
2.0,10,1.0,0.22,0.5074346440015807,500
2.0,10,1.0,0.24,0.5062507899056119,500
2.0,10,1.0,0.26,0.5061494262239561,500
2.0,10,1.0,0.28,0.5111743526442901,500
2.0,10,1.0,0.3,0.512508112317056,500
2.0,10,1.0,0.32,0.5144187795088355,500
2.0,10,1.0,0.34,0.5187776994500284,500
2.0,10,1.0,0.36,0.5234886195429902,500
2.0,10,1.0,0.38,0.52601968602958,500
2.0,10,1.0,0.4,0.5306580162471514,500
2.0,10,1.0,0.42,0.5343883750725585,500
2.0,10,1.0,0.44,0.5377240807860859,500
2.0,10,1.0,0.46,0.541356295351343,500
2.0,10,1.0,0.48,0.5445883801974626,500
2.0,10,1.0,0.5,0.5474406678847042,500
2.0,20,0.1,0.0,0.3584522034997344,500
2.0,20,0.1,0.02,0.35582891348018997,500
2.0,20,0.1,0.04,0.35388432695176614,500
2.0,20,0.1,0.06,0.3533894104062302,500
2.0,20,0.1,0.08,0.3532804000116968,500
2.0,20,0.1,0.1,0.3534214133653124,500
2.0,20,0.1,0.12,0.35341783708565844,500
2.0,20,0.1,0.14,0.3535755614034545,500
2.0,20,0.1,0.16,0.3537287701609214,500
2.0,20,0.1,0.18,0.3541433268201118,500
2.0,20,0.1,0.2,0.3548271208587902,500
2.0,20,0.1,0.22,0.35576176684909244,500
2.0,20,0.1,0.24,0.35655708411241177,500
2.0,20,0.1,0.26,0.3574495238485491,500
2.0,20,0.1,0.28,0.35856470216046504,500
2.0,20,0.1,0.3,0.3598303752373304,500
2.0,20,0.1,0.32,0.36126772174307864,500
2.0,20,0.1,0.34,0.36284742163827965,500
2.0,20,0.1,0.36,0.3645393542462857,500
2.0,20,0.1,0.38,0.3663271797577666,500
2.0,20,0.1,0.4,0.3682167678020156,500
2.0,20,0.1,0.42,0.37022652596207367,500
2.0,20,0.1,0.44,0.37232505532539506,500
2.0,20,0.1,0.46,0.3744444429880039,500
2.0,20,0.1,0.48,0.37663260118991093,500
2.0,20,0.1,0.5,0.37969959362494776,500
2.0,20,0.5,0.0,0.6538153627657445,500
2.0,20,0.5,0.02,0.5782399039810547,500
2.0,20,0.5,0.04,0.5143312421904409,500
2.0,20,0.5,0.06,0.4697938082846639,500
2.0,20,0.5,0.08,0.4379353580888468,500
2.0,20,0.5,0.1,0.4132631969904313,500
2.0,20,0.5,0.12,0.39503717633368696,500
2.0,20,0.5,0.14,0.38177941718141645,500
2.0,20,0.5,0.16,0.37204139474401565,500
2.0,20,0.5,0.18,0.3648914997404523,500
2.0,20,0.5,0.2,0.35969609503701805,500
2.0,20,0.5,0.22,0.35600671882836143,500
2.0,20,0.5,0.24,0.35349586832479457,500
2.0,20,0.5,0.26,0.35191895312769106,500
2.0,20,0.5,0.28,0.3510898529341506,500
2.0,20,0.5,0.3,0.3508653292447952,500
2.0,20,0.5,0.32,0.3511343772086649,500
2.0,20,0.5,0.34,0.3518113078652348,500
2.0,20,0.5,0.36,0.35283200750942295,500
2.0,20,0.5,0.38,0.35415637964361024,500
2.0,20,0.5,0.4,0.3558081112812017,500
2.0,20,0.5,0.42,0.3577306941619275,500
2.0,20,0.5,0.44,0.3595474999852913,500
2.0,20,0.5,0.46,0.3615267382329377,500
2.0,20,0.5,0.48,0.36368797868079855,500
2.0,20,0.5,0.5,0.36608080853745323,500
2.0,20,1.0,0.0,0.9320037824348413,500
2.0,20,1.0,0.02,0.6811599908540742,500
2.0,20,1.0,0.04,0.5619028862150793,500
2.0,20,1.0,0.06,0.48882693158211526,500
2.0,20,1.0,0.08,0.44386129650734246,500
2.0,20,1.0,0.1,0.4135279762212546,500
2.0,20,1.0,0.12,0.3920964621380069,500
2.0,20,1.0,0.14,0.3765873945058464,500
2.0,20,1.0,0.16,0.36524922907752316,500
2.0,20,1.0,0.18,0.35696405882534027,500
2.0,20,1.0,0.2,0.35097620611447866,500
2.0,20,1.0,0.22,0.346753427214288,500
2.0,20,1.0,0.24,0.3439099195289815,500
2.0,20,1.0,0.26,0.34216132544557326,500
2.0,20,1.0,0.28,0.34129943592229023,500
2.0,20,1.0,0.3,0.341186215410143,500
2.0,20,1.0,0.32,0.34175701242985634,500
2.0,20,1.0,0.34,0.34254009581022554,500
2.0,20,1.0,0.36,0.343689325177557,500
2.0,20,1.0,0.38,0.3451541327223397,500
2.0,20,1.0,0.4,0.3469481577102039,500
2.0,20,1.0,0.42,0.34886705631029996,500
2.0,20,1.0,0.44,0.3509137192272069,500
2.0,20,1.0,0.46,0.3543037096131686,500
2.0,20,1.0,0.48,0.35660825923565415,500
2.0,20,1.0,0.5,0.3590150093569299,500
2.5,7,0.1,0.0,0.6253181108660842,500
2.5,7,0.1,0.02,0.5982794920006446,500
2.5,7,0.1,0.04,0.5977029806999554,500
2.5,7,0.1,0.06,0.6005766365596424,500
2.5,7,0.1,0.08,0.605987164686707,500
2.5,7,0.1,0.1,0.6126911057843097,500
2.5,7,0.1,0.12,0.6197196467155869,500
2.5,7,0.1,0.14,0.6864099271080479,500
