beta,n,gamma_eta,method,mean_loss,n_valid,J_param
5.0,7,0.1,mdm0,0.6200006327868586,500,0.7874011892211356
5.0,7,0.1,oracle,0.5537472046520331,500,0.7441419250734588
5.0,7,0.1,wmle,0.8197511582547851,500,0.9054011035197522
5.0,7,0.5,dual,0.8495882896889337,500,0.9217311374196565
5.0,7,0.5,mdm0,0.729959208692288,500,0.8543765028910194
5.0,7,0.5,oracle,0.6717449747491601,500,0.8196004970405765
5.0,7,0.5,wmle,0.9005132202795896,500,0.9489537503374912
5.0,7,1.0,dual,0.9325555624891025,500,0.9656891645291991
5.0,7,1.0,mdm0,0.81196777431675,500,0.9010925448125459
5.0,7,1.0,oracle,0.7512162981567956,500,0.866727349376259
5.0,7,1.0,wmle,0.9514405109810078,500,0.9754181211055123
5.0,10,0.1,dual,0.6667931408311006,500,0.816574026546951
5.0,10,0.1,mdm0,0.5767717061165198,500,0.7594548743121738
5.0,10,0.1,oracle,0.5247913712479428,500,0.7244248554874017
5.0,10,0.1,wmle,0.7114556384320125,500,0.8434782975465418
5.0,10,0.5,dual,0.6593704381006144,500,0.8120162794554149
5.0,10,0.5,mdm0,0.5755330776218495,500,0.7586389639491564
5.0,10,0.5,oracle,0.5357208263962528,500,0.731929522834168
5.0,10,0.5,wmle,0.7110076248086226,500,0.8432126806498006
5.0,10,1.0,dual,0.638200883876705,500,0.7988747610712865
5.0,10,1.0,mdm0,0.5474615114134737,500,0.7399064207137775
5.0,10,1.0,oracle,0.5061856140221711,500,0.7114672262459959
5.0,10,1.0,wmle,0.6885968252728423,500,0.8298173445239876
5.0,20,0.1,dual,0.43713819798371406,500,0.6611642745821299
5.0,20,0.1,mdm0,0.37412915121921403,500,0.6116609773552781
5.0,20,0.1,oracle,0.3311615281472487,500,0.575466357094182
5.0,20,0.1,wmle,0.45648477461856823,500,0.6756365699239261
5.0,20,0.5,dual,0.470847674584424,500,0.686183411767163
5.0,20,0.5,mdm0,0.4078057305186945,500,0.6385966884651803
5.0,20,0.5,oracle,0.36867735209911534,500,0.607188069793137
5.0,20,0.5,wmle,0.48911737484079376,500,0.6993692692996982
5.0,20,1.0,dual,0.4464114905611527,500,0.6681403225080438
5.0,20,1.0,mdm0,0.3835654627838515,500,0.6193266204385627
5.0,20,1.0,oracle,0.3452304341113822,500,0.5875631320218979
5.0,20,1.0,wmle,0.4622934770364036,500,0.6799216697799855
