model,beta,gamma_over_eta,n,selected_loss,oracle_min_loss,regret,rel_regret,near_0.01,near_0.02,near_0.05
Vector-MLP-L6,1.5,0.1,7,1.1367791270762193,1.1366358745598586,0.00014325251636071457,0.0001260320209549839,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.21746712161514073,0.21746712161514073,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.2686266132905557,0.2672153048377085,0.0014113084528472042,0.005281540492990674,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.6400900075993488,0.39603691860651985,0.2440530889928289,0.6162382281216222,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.08288664627919551,0.002464628120847752,0.08042201815834776,32.63048793368681,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.30941368844264017,0.3056529502273073,0.0037607382153328484,0.012303948686037779,0,1,1
Vector-MLP-L6,1.5,0.1,7,0.8930501349048353,0.8923636381913577,0.0006864967134776467,0.0007693015314575547,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.6061550296102285,0.6025180693157595,0.003636960294469027,0.006036267590446351,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.046262759310182054,0.046262759310182054,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.8639795669020374,0.8637166165888923,0.00026295031314504946,0.00030444049366970473,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.058053132738066116,0.021175497386448007,0.03687763535161811,1.7415239263857494,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.44976879134960435,0.2834677288005421,0.16630106254906224,0.5866666489788597,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.05072734780099695,0.01359024607507987,0.03713710172591708,2.7326290871226058,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.8417426068946605,0.8407743554400056,0.0009682514546549559,0.0011516186815049053,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.13161356111049038,0.12786839140231818,0.003745169708172208,0.029289253326012437,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.044157729621848205,0.044157729621848205,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.05803346542458334,0.005464948159452339,0.052568517265131,9.619216089764166,0,0,0
Vector-MLP-L6,1.5,0.1,7,2.776811332330177,0.9151007002013655,1.8617106321288115,2.0344325293589516,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.11544403804400503,0.09387011260476978,0.021573925439235253,0.22982741620935296,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.14409996134884115,0.1336497772744794,0.01045018407436174,0.07819080800187174,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.12495941764324478,0.09694495220294184,0.028014465440302935,0.2889729150792528,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.542917535913685,0.5422933637818366,0.0006241721318483995,0.0011509861147766184,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.8061259301125305,0.4937039428678458,0.31242198724468473,0.6328124207999561,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.1090124987768509,0.1090124987768509,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.21061678732737832,0.1641770800816222,0.04643970724575611,0.2828635228660917,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.0273375702373588,0.027115982258062273,0.00022158797929652807,0.008171858839103803,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.09480583187436477,0.008216676374029609,0.08658915550033516,10.53822148502975,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.03477195591756775,0.02528454206167022,0.00948741385589753,0.3752258527268269,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.33447769728365917,0.33447769728365917,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.2753763246138905,0.2753763246138905,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.010119334371945924,0.007742518320968334,0.0023768160509775905,0.30698229599801957,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.22028235476844044,0.10464888869030363,0.1156334660781368,1.1049660204260818,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.09169458543559073,0.08510051216907469,0.006594073266516037,0.07748570600157101,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.28728306647154533,0.2824712759478477,0.004811790523697623,0.01703461885655948,0,1,1
Vector-MLP-L6,1.5,0.1,7,1.0590263644224507,1.0590263644224507,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.22917334668592465,0.22752695982305726,0.0016463868628673883,0.007236007830227009,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.7203573157901783,0.7203573157901783,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.12852795681090948,0.12207059953970399,0.0064573572712054855,0.05289854637852583,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.08425330856733887,0.08117705832246226,0.0030762502448766077,0.037895561978320516,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.06647462363340534,0.06014948416034471,0.006325139473060626,0.10515700277992836,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.05264025212550021,0.027785874360228162,0.02485437776527205,0.8944968743127923,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.8381431573326344,0.838050440457725,9.271687490941538e-05,0.00011063400295902885,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.6235572583398609,0.6235572583398609,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.09161296981718736,0.08816703447550722,0.0034459353416801397,0.03908416974869921,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.27653869158220834,0.275543604641526,0.0009950869406823437,0.0036113592328768512,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.21665000705716486,0.18863000925112974,0.02801999780603512,0.14854475126877142,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.3527829484153388,0.3417452473659287,0.011037701049410098,0.032298038186296466,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.01745562420650086,0.010584175643402693,0.0068714485630981675,0.6492190600957444,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.03615862642566917,0.023760618065866934,0.012398008359802239,0.5217881254365376,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.11376511293765135,0.11364799346086252,0.0001171194767888295,0.0010305459271409175,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.3805229702756191,0.17937024349325612,0.20115272678236298,1.1214386671105,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.11997924477368424,0.03816836333927429,0.08181088143440995,2.143421259832449,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.20049902237570638,0.19953567028532868,0.000963352090377706,0.004827969299925913,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.06753178129342749,0.03065428751324852,0.036877493780178974,1.203012588834134,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.05381161042787681,0.03403319918576768,0.019778411242109134,0.5811505152410196,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.09775540697190002,0.06629678033857601,0.03145862663332401,0.47451213275615467,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.2974184264735492,0.2902594258306655,0.007159000642883717,0.02466414526383101,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.0573549141109904,0.0573549141109904,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.0013450866422968404,0.0006417998145802537,0.0007032868277165867,1.0958040369278486,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.44327153688934456,0.44082523691819875,0.0024462999711458155,0.005549364614984057,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.053477397649849996,0.027862769802769728,0.025614627847080268,0.9193137663052443,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.44874305706650924,0.23101830100263784,0.2177247560638714,0.9424567452835061,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.12705219115926009,0.12705219115926009,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.029096285522516578,0.01845512635242423,0.010641159170092347,0.5765963866562498,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.08207999474620235,0.02591365130452637,0.05616634344167598,2.167442279037896,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.03883598834234715,0.032908474485395106,0.005927513856952046,0.18012119825191827,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.25707019404846765,0.12255295612117072,0.13451723792729692,1.0976254036197777,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.013934037102692007,0.012938101911672491,0.000995935191019516,0.07697691653835279,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.017902993408233578,0.017902993408233578,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.542399609955796,0.5404733949346077,0.0019262150211882823,0.0035639404996453835,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.16850830554630886,0.16442323828134936,0.004085067264959497,0.02484482915954629,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.3628496637795541,0.07537763052597367,0.2874720332535804,3.8137578914015227,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.23003278908199992,0.22682478801349681,0.003208001068503108,0.014143079760366497,0,1,1
Vector-MLP-L6,1.5,0.1,7,0.3628853615788845,0.36100359529892656,0.0018817662799579526,0.005212597061255772,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.9205169047459067,0.9198880829853653,0.0006288217605414648,0.0006835850710237637,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.062069749221010835,0.03824485762940496,0.023824891591605876,0.6229567337515164,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.1937028792878904,0.10908352947851659,0.08461934980937381,0.775729848620631,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.5497187482426783,0.5483736993234748,0.0013450489192035064,0.0024527961878238963,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.12907180503754345,0.08995863793371567,0.039113167103827784,0.4347905660004277,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.11321116841670424,0.07592523716195604,0.0372859312547482,0.4910874519260786,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.36486599157757643,0.1176339594215237,0.24723203215605272,2.101706287638706,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.036503691577826576,0.034728870365639965,0.0017748212121866114,0.051105066001299694,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.2492656631331656,0.24341694600567687,0.005848717127488717,0.024027567609661474,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.03666050780142568,0.03650200096726143,0.00015850683416424732,0.004342414935181547,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.9401320672589089,0.9389081867680098,0.0012238804908990542,0.0013035145588750274,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.06829854921108067,0.06223366433345527,0.0060648848776253955,0.09745344328640254,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.15077497687336824,0.15077497687336824,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.04962691530090816,0.045658235167188845,0.003968680133719316,0.0869214528154016,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.13941435364814148,0.13609639364005216,0.0033179600080893157,0.02437948515274151,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.2135617177683507,0.2089344031902188,0.004627314578131897,0.022147212270824928,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.26622156127569996,0.2558514788528269,0.010370082422873073,0.04053164933566103,0,0,1
Vector-MLP-L6,1.5,0.1,7,1.2656757018003806,1.2655302113840092,0.00014549041637135218,0.00011496400090855274,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.036374441073880354,0.03518266022064327,0.0011917808532370816,0.03387409723321062,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.33950671086367723,0.33829049860156096,0.0012162122621162674,0.0035951712127414016,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.017190074569382676,0.015195361440307795,0.0019947131290748814,0.13127118673094734,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.026556204236580165,0.0031328450637588944,0.02342335917282127,7.476705261867346,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.0712109287372314,0.039334722998488975,0.03187620573874242,0.8103833790813,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.05407476042374024,0.05407476042374024,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.24602229194964811,0.04075855811046515,0.20526373383918295,5.036089188505407,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.5603963750136605,0.10295405349480989,0.45744232151885056,4.443169608100094,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.16452999514597522,0.16452999514597522,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.03841930955007391,0.0025965301718364414,0.03582277937823747,13.79640404983285,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.14190419613391983,0.14190419613391983,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.023300374909029788,0.007908876011329969,0.015391498897699819,1.946104462334536,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.5572312509876348,0.5572312509876348,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.6218943246438561,0.6218943246438561,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.12332439059227346,0.11842615973021456,0.0048982308620589,0.04136105462861846,0,0,1
