selected_method,train_mean_loss,selector,fold,n,beta,gamma_over_eta
MDM-0.1,0.8751138282319809,cell,4,7.0,1.5,0.75
MDM-0.1,0.33378818662018106,cell,4,10.0,1.5,0.75
MDM-0.1,0.2215636006503579,cell,4,15.0,1.5,0.75
MDM-0.1,0.148757582219534,cell,4,20.0,1.5,0.75
MDM-0.1,0.5368690889684643,cell,4,7.0,1.5,1.0
MDM-0.1,0.3431900425065046,cell,4,10.0,1.5,1.0
MDM-0.1,0.24750885721239516,cell,4,15.0,1.5,1.0
MDM-0.1,0.1552961018245159,cell,4,20.0,1.5,1.0
WMLE,0.22975175699583236,cell,4,7.0,2.0,0.1
WMLE,0.16480036331860795,cell,4,10.0,2.0,0.1
WMLE,0.12736328939663957,cell,4,15.0,2.0,0.1
WMLE,0.103084427574352,cell,4,20.0,2.0,0.1
WMLE,0.40467513468629346,cell,4,7.0,2.0,0.25
MDM-0.1,0.2581901177740067,cell,4,10.0,2.0,0.25
MDM-0.1,0.19934578340049297,cell,4,15.0,2.0,0.25
MDM-0.1,0.15608290941228226,cell,4,20.0,2.0,0.25
MDM-0.1,0.3957304879309261,cell,4,7.0,2.0,0.5
MDM-0.1,0.325489123823611,cell,4,10.0,2.0,0.5
MDM-0.1,0.23557738860168911,cell,4,15.0,2.0,0.5
MDM-0.1,0.17441624453722246,cell,4,20.0,2.0,0.5
MDM-0.1,0.42083159062310543,cell,4,7.0,2.0,0.75
MDM-0.1,0.2955378647138659,cell,4,10.0,2.0,0.75
MDM-0.1,0.25218263151390785,cell,4,15.0,2.0,0.75
MDM-0.1,0.16203053588460045,cell,4,20.0,2.0,0.75
MDM-0.1,0.4386730048176312,cell,4,7.0,2.0,1.0
MDM-0.1,0.2935907096526055,cell,4,10.0,2.0,1.0
MDM-0.1,0.23616028567959832,cell,4,15.0,2.0,1.0
MDM-0.1,0.1747550596095965,cell,4,20.0,2.0,1.0
WMLE,0.22870192586645322,cell,4,7.0,2.5,0.1
WMLE,0.15219771256522088,cell,4,10.0,2.5,0.1
WMLE,0.1370311642398894,cell,4,15.0,2.5,0.1
WMLE,0.10943099956024567,cell,4,20.0,2.5,0.1
WMLE,0.3123820753420399,cell,4,7.0,2.5,0.25
WMLE,0.24250690637625386,cell,4,10.0,2.5,0.25
MDM-0.1,0.2089502281971373,cell,4,15.0,2.5,0.25
MDM-0.1,0.15437967312873446,cell,4,20.0,2.5,0.25
MDM-0.1,0.3907789954068948,cell,4,7.0,2.5,0.5
MDM-0.1,0.34195439336318534,cell,4,10.0,2.5,0.5
MDM-0.1,0.23143274570497463,cell,4,15.0,2.5,0.5
MDM-0.1,0.17395729109348076,cell,4,20.0,2.5,0.5
MDM-0.1,0.5316841662431561,cell,4,7.0,2.5,0.75
MDM-0.1,0.3447302254036521,cell,4,10.0,2.5,0.75
MDM-0.1,0.21553103163871923,cell,4,15.0,2.5,0.75
MDM-0.1,0.1855179301879465,cell,4,20.0,2.5,0.75
MDM-0.1,0.3862254642074381,cell,4,7.0,2.5,1.0
MDM-0.1,0.3113715180948741,cell,4,10.0,2.5,1.0
MDM-0.1,0.22090073846337763,cell,4,15.0,2.5,1.0
MDM-0.1,0.16607386361075432,cell,4,20.0,2.5,1.0
WMLE,0.25833953999796205,cell,4,7.0,3.0,0.1
WMLE,0.23737805194094566,cell,4,10.0,3.0,0.1
WMLE,0.17750877466130696,cell,4,15.0,3.0,0.1
WMLE,0.1886349196501964,cell,4,20.0,3.0,0.1
WMLE,0.32717750284440256,cell,4,7.0,3.0,0.25
WMLE,0.29377361737473134,cell,4,10.0,3.0,0.25
WMLE,0.24370502684659118,cell,4,15.0,3.0,0.25
MDM-0.1,0.1934113366420374,cell,4,20.0,3.0,0.25
MDM-0.1,0.4554702893620111,cell,4,7.0,3.0,0.5
MDM-0.1,0.34174980093407864,cell,4,10.0,3.0,0.5
MDM-0.1,0.28170372972675195,cell,4,15.0,3.0,0.5
MDM-0.1,0.20558847065717156,cell,4,20.0,3.0,0.5
MDM-0.1,0.5006967397360383,cell,4,7.0,3.0,0.75
MDM-0.1,0.3553048026666374,cell,4,10.0,3.0,0.75
MDM-0.1,0.24529093587717363,cell,4,15.0,3.0,0.75
MDM-0.1,0.21067714749332425,cell,4,20.0,3.0,0.75
MDM-0.1,0.5190319684176489,cell,4,7.0,3.0,1.0
MDM-0.1,0.3502801669965935,cell,4,10.0,3.0,1.0
MDM-0.1,0.28201745142660706,cell,4,15.0,3.0,1.0
MDM-0.1,0.20776717301685563,cell,4,20.0,3.0,1.0
WMLE,0.3106665883516382,cell,4,7.0,3.5,0.1
WMLE,0.3279232157302372,cell,4,10.0,3.5,0.1
WMLE,0.24512288925701534,cell,4,15.0,3.5,0.1
WMLE,0.21644990847366657,cell,4,20.0,3.5,0.1
WMLE,0.3502586796756395,cell,4,7.0,3.5,0.25
WMLE,0.3338537506823634,cell,4,10.0,3.5,0.25
MDM-0.1,0.2915253115370644,cell,4,15.0,3.5,0.25
MDM-0.1,0.24465196082551502,cell,4,20.0,3.5,0.25
WMLE,0.4403242847420889,cell,4,7.0,3.5,0.5
MDM-0.1,0.37823151537530675,cell,4,10.0,3.5,0.5
MDM-0.1,0.33148882721818895,cell,4,15.0,3.5,0.5
MDM-0.1,0.25314177244939134,cell,4,20.0,3.5,0.5
WMLE,0.4858151491836345,cell,4,7.0,3.5,0.75
MDM-0.1,0.3959597753705512,cell,4,10.0,3.5,0.75
MDM-0.1,0.28440867762328953,cell,4,15.0,3.5,0.75
MDM-0.1,0.2302807418854019,cell,4,20.0,3.5,0.75
WMLE,0.518392924081236,cell,4,7.0,3.5,1.0
MDM-0.1,0.39959889315215663,cell,4,10.0,3.5,1.0
MDM-0.1,0.3001071477393121,cell,4,15.0,3.5,1.0
MDM-0.1,0.28088141601292066,cell,4,20.0,3.5,1.0
WMLE,0.410513617564213,cell,4,7.0,4.0,0.1
WMLE,0.3862825784784627,cell,4,10.0,4.0,0.1
WMLE,0.34169722103511013,cell,4,15.0,4.0,0.1
LSE,0.28526088494334684,cell,4,20.0,4.0,0.1
WMLE,0.40180603139929433,cell,4,7.0,4.0,0.25
WMLE,0.435817819951706,cell,4,10.0,4.0,0.25
WMLE,0.3496391276049656,cell,4,15.0,4.0,0.25
MDM-0.1,0.33911926364657546,cell,4,20.0,4.0,0.25
WMLE,0.47415472402271186,cell,4,7.0,4.0,0.5
MDM-0.1,0.47277578983668406,cell,4,10.0,4.0,0.5
WMLE,0.37770044426438004,cell,4,15.0,4.0,0.5
MDM-0.1,0.2899315637332364,cell,4,20.0,4.0,0.5
WMLE,0.5071132411462828,cell,4,7.0,4.0,0.75
MDM-0.1,0.44908631504663127,cell,4,10.0,4.0,0.75
MDM-0.1,0.38429113580307145,cell,4,15.0,4.0,0.75
MDM-0.1,0.29763224045409137,cell,4,20.0,4.0,0.75
WMLE,0.5729231471920505,cell,4,7.0,4.0,1.0
WMLE,0.4915547809926416,cell,4,10.0,4.0,1.0
WMLE,0.3767795236002175,cell,4,15.0,4.0,1.0
MDM-0.1,0.26620988428848547,cell,4,20.0,4.0,1.0
WMLE,0.4710462499969477,cell,4,7.0,4.5,0.1
WMLE,0.479268870937806,cell,4,10.0,4.5,0.1
LSE,0.3478151173586571,cell,4,15.0,4.5,0.1
LSE,0.28307413139144705,cell,4,20.0,4.5,0.1
WMLE,0.5026718579943698,cell,4,7.0,4.5,0.25
WMLE,0.50428139496356,cell,4,10.0,4.5,0.25
WMLE,0.3676636738807003,cell,4,15.0,4.5,0.25
WMLE,0.3421685667725461,cell,4,20.0,4.5,0.25
WMLE,0.5412806989876321,cell,4,7.0,4.5,0.5
WMLE,0.5099651095516249,cell,4,10.0,4.5,0.5
WMLE,0.4221735751430972,cell,4,15.0,4.5,0.5
WMLE,0.3589076014332822,cell,4,20.0,4.5,0.5
WMLE,0.5644029593595709,cell,4,7.0,4.5,0.75
WMLE,0.49954855680922866,cell,4,10.0,4.5,0.75
WMLE,0.43243833705472123,cell,4,15.0,4.5,0.75
WMLE,0.3962332223136013,cell,4,20.0,4.5,0.75
WMLE,0.5349878339200688,cell,4,7.0,4.5,1.0
WMLE,0.5118416359388734,cell,4,10.0,4.5,1.0
WMLE,0.38544523775125356,cell,4,15.0,4.5,1.0
WMLE,0.35187201242990207,cell,4,20.0,4.5,1.0
WMLE,0.5923628732405025,cell,4,7.0,5.0,0.1
LSE,0.5475998646739152,cell,4,10.0,5.0,0.1
LSE,0.4868939082159292,cell,4,15.0,5.0,0.1
LSE,0.2972870390293468,cell,4,20.0,5.0,0.1
WMLE,0.5423850380693284,cell,4,7.0,5.0,0.25
WMLE,0.605916982482065,cell,4,10.0,5.0,0.25
WMLE,0.4918807331745718,cell,4,15.0,5.0,0.25
WMLE,0.3968971386997177,cell,4,20.0,5.0,0.25
WMLE,0.6088159226814512,cell,4,7.0,5.0,0.5
WMLE,0.530437429501715,cell,4,10.0,5.0,0.5
WMLE,0.4612458810998112,cell,4,15.0,5.0,0.5
WMLE,0.4061605560632258,cell,4,20.0,5.0,0.5
WMLE,0.6402190948667782,cell,4,7.0,5.0,0.75
WMLE,0.5497176441686787,cell,4,10.0,5.0,0.75
WMLE,0.4894085346612155,cell,4,15.0,5.0,0.75
WMLE,0.4177636108987994,cell,4,20.0,5.0,0.75
WMLE,0.5899689559250522,cell,4,7.0,5.0,1.0
WMLE,0.6102573112980265,cell,4,10.0,5.0,1.0
WMLE,0.44201719834472514,cell,4,15.0,5.0,1.0
WMLE,0.4711957175252526,cell,4,20.0,5.0,1.0
