beta,n,gamma_eta,rep,method,loss_i
1.5,7,0.1,93,wmle,0.0759565879067778
1.5,7,0.1,94,oracle,0.4015607562204444
1.5,7,0.1,94,mdm0,0.4015607562204444
1.5,7,0.1,94,dual,0.4015607562204444
1.5,7,0.1,94,lmom,0.4015607562204444
1.5,7,0.1,94,wmle,0.4015607562204444
1.5,7,0.1,95,oracle,0.37385397647000007
1.5,7,0.1,95,mdm0,0.37385397647000007
1.5,7,0.1,95,dual,0.37385397647000007
1.5,7,0.1,95,lmom,0.37385397647000007
1.5,7,0.1,95,wmle,0.37214721580000004
1.5,7,0.1,96,oracle,0.1611133602814445
1.5,7,0.1,96,mdm0,0.1611133602814445
1.5,7,0.1,96,dual,0.1611133602814445
1.5,7,0.1,96,lmom,0.1611133602814445
1.5,7,0.1,96,wmle,0.1611133602814445
1.5,7,0.1,97,oracle,0.006226490443777772
1.5,7,0.1,97,mdm0,0.007022646419777781
1.5,7,0.1,97,dual,0.007022646419777781
1.5,7,0.1,97,wmle,0.00928646843711111
1.5,7,0.1,98,oracle,0.5542110941637778
1.5,7,0.1,98,mdm0,0.5542110941637778
1.5,7,0.1,98,dual,0.5542110941637778
1.5,7,0.1,98,lmom,0.5542110941637778
1.5,7,0.1,98,wmle,0.5542110941637778
1.5,7,0.1,99,oracle,0.21335589363077778
1.5,7,0.1,99,mdm0,0.21335589363077778
1.5,7,0.1,99,dual,0.21335589363077778
1.5,7,0.1,99,lmom,0.21335589363077778
1.5,7,0.1,99,wmle,0.2015335535814444
1.5,7,0.1,100,oracle,0.9518222493854445
1.5,7,0.1,100,mdm0,0.9518222493854445
1.5,7,0.1,100,dual,0.9518222493854445
1.5,7,0.1,100,lmom,0.9518222493854445
1.5,7,0.1,100,wmle,0.9476191115371111
1.5,7,0.1,101,oracle,0.16754849421077775
1.5,7,0.1,101,mdm0,0.16754849421077775
1.5,7,0.1,101,dual,0.16754849421077775
1.5,7,0.1,101,lmom,0.16754849421077775
1.5,7,0.1,101,wmle,0.16483163037311108
1.5,7,0.1,102,oracle,0.22474168135311112
1.5,7,0.1,102,mdm0,0.22474168135311112
1.5,7,0.1,102,dual,0.22474168135311112
1.5,7,0.1,102,lmom,0.22474168135311112
1.5,7,0.1,102,wmle,0.2165902323651111
1.5,7,0.1,103,oracle,0.11761068575844444
1.5,7,0.1,103,mdm0,0.06326169596411112
1.5,7,0.1,103,dual,0.10142719596844446
1.5,7,0.1,103,lmom,0.05883662733200001
1.5,7,0.1,103,wmle,0.11761068575844444
1.5,7,0.1,104,oracle,0.22625926939844443
1.5,7,0.1,104,mdm0,0.2147195156561111
1.5,7,0.1,104,dual,0.21859449690577779
1.5,7,0.1,104,wmle,0.187020928932
1.5,7,0.1,105,oracle,0.516265697878
1.5,7,0.1,105,mdm0,0.516265697878
1.5,7,0.1,105,dual,0.516265697878
1.5,7,0.1,105,lmom,0.516265697878
1.5,7,0.1,105,wmle,0.5128838630841112
1.5,7,0.1,106,oracle,0.12339746839111108
1.5,7,0.1,106,mdm0,0.12339746839111108
1.5,7,0.1,106,dual,0.12339746839111108
1.5,7,0.1,106,lmom,0.11633786291599998
1.5,7,0.1,106,wmle,0.12339746839111108
1.5,7,0.1,107,oracle,0.23650161247344442
1.5,7,0.1,107,mdm0,0.10939134134944443
1.5,7,0.1,107,dual,0.11568032802577777
1.5,7,0.1,107,wmle,0.10939134134944443
1.5,7,0.1,108,oracle,0.07927487755399998
1.5,7,0.1,108,mdm0,0.1212318645311111
1.5,7,0.1,108,dual,0.10832864967344442
1.5,7,0.1,108,lmom,0.10832864967344442
1.5,7,0.1,108,wmle,0.1212318645311111
1.5,7,0.1,109,oracle,0.03377997891177776
1.5,7,0.1,109,mdm0,0.024637250864111105
1.5,7,0.1,109,dual,0.02906554473777779
1.5,7,0.1,109,lmom,0.03377997891177776
1.5,7,0.1,109,wmle,0.03377997891177776
1.5,7,0.1,110,oracle,0.21905502005311106
1.5,7,0.1,110,mdm0,0.21905502005311106
1.5,7,0.1,110,dual,0.21905502005311106
1.5,7,0.1,110,lmom,0.21905502005311106
1.5,7,0.1,110,wmle,0.186100224012
1.5,7,0.1,111,oracle,0.1880527002614444
1.5,7,0.1,111,mdm0,0.1880527002614444
1.5,7,0.1,111,dual,0.1880527002614444
1.5,7,0.1,111,lmom,0.1880527002614444
1.5,7,0.1,111,wmle,0.1880527002614444
1.5,7,0.1,112,oracle,0.3563749013721111
1.5,7,0.1,112,mdm0,0.6287211195039999
1.5,7,0.1,112,dual,0.6287211195039999
1.5,7,0.1,112,wmle,0.495197952815111
1.5,7,0.1,113,oracle,0.04215990569599999
1.5,7,0.1,113,mdm0,0.04215990569599999
1.5,7,0.1,113,dual,0.04215990569599999
1.5,7,0.1,113,wmle,0.04215990569599999
1.5,7,0.1,114,oracle,0.26359662547977786
1.5,7,0.1,114,mdm0,0.26359662547977786
1.5,7,0.1,114,dual,0.26359662547977786
1.5,7,0.1,114,lmom,0.26359662547977786
1.5,7,0.1,114,wmle,0.24567016356677776
1.5,7,0.1,115,oracle,0.21754950489699998
1.5,7,0.1,115,mdm0,0.21754950489699998
1.5,7,0.1,115,dual,0.21754950489699998
1.5,7,0.1,115,lmom,0.21754950489699998
1.5,7,0.1,115,wmle,0.21754950489699998
1.5,7,0.1,116,oracle,0.481532656293
1.5,7,0.1,116,mdm0,0.481532656293
1.5,7,0.1,116,dual,0.481532656293
1.5,7,0.1,116,lmom,0.481532656293
1.5,7,0.1,116,wmle,0.459046144121
1.5,7,0.1,117,oracle,0.12162478472000002
1.5,7,0.1,117,mdm0,0.12162478472000002
1.5,7,0.1,117,dual,0.12162478472000002
1.5,7,0.1,117,lmom,0.12162478472000002
1.5,7,0.1,117,wmle,0.12162478472000002
1.5,7,0.1,118,oracle,0.1579490106844444
1.5,7,0.1,118,mdm0,0.1579490106844444
1.5,7,0.1,118,dual,0.1579490106844444
1.5,7,0.1,118,lmom,0.1579490106844444
