beta,gamma_eta_ratio,eta,gamma,n,repeat_id,primary_class,high_has_root,low_geom_has_root,low_uniform_has_root,grid_gradient_has_root,min_abs_g_minus_offset,g_min,g_max,boundary_fraction,multipeak_fraction,beta_unstable,gradient_noise_suspect
1.5,0.0,1000.0,0.0,30,12,strict_root,True,True,True,True,0.11948643123353431,-1.2164053650424418,7.33683380934367,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,13,all_above_offset,False,False,False,False,0.17726779367229265,0.27726779367229265,4.038629465962432,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,14,all_above_offset,False,False,False,False,1.427112024467428,1.527112024467428,1.8926092539460326,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,15,strict_root,True,True,True,True,0.1712298826209976,-1.1357362884548772,11.543454918468344,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,16,all_above_offset,False,False,False,False,0.1320016897115291,0.2320016897115291,1.2576169255248641,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,17,strict_root,True,True,True,True,0.004708791839371604,-0.039130476790610644,1.8138873349590758,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,18,all_above_offset,False,False,False,False,0.6835604664754881,0.783560466475488,1.0300514322003496,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,19,all_above_offset,False,False,False,False,0.27172070124283987,0.3717207012428399,2.350196178316196,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,0,strict_root,True,True,True,True,0.14211294531969132,-2.4703651685550954,11.361960879590757,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,1,strict_root,True,True,True,True,0.10973521837622553,-2.229392161422711,9.349292281667662,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,2,all_above_offset,False,False,False,False,0.025507483080912552,0.12550748308091256,0.6642414530778782,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,3,strict_root,True,True,True,True,0.21337201483519785,-2.2320983492258883,9.085832201464887,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,4,strict_root,True,True,True,True,0.30296491667208414,-0.5287839358975498,7.452132083624047,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,5,coarse_uniform_miss,True,True,False,True,0.1410564159106732,-89.87419687305474,154.7076510163397,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,6,strict_root,True,True,True,True,0.0017102897838758013,0.00683568906698888,0.7302676603525867,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,7,strict_root,True,True,True,True,0.004927087418705733,-0.0666660119379251,2.1340509793177054,0.029166666666666667,0.0,False,False
1.5,0.2,1000.0,200.0,3,8,strict_root,True,True,True,True,0.28005001512050615,-13.137856839040397,25.014433554448274,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,9,all_above_offset,False,False,False,False,0.08351305480154528,0.18351305480154528,0.7461189277228321,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,10,strict_root,True,True,True,True,0.10629780410582865,-1.092424035982741,11.305175380428226,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,11,coarse_uniform_miss,True,True,False,True,0.10658005172035212,-76.31571358367744,118.15243710999043,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,12,all_above_offset,False,False,False,False,0.11608367815600973,0.21608367815600973,1.0681038557781672,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,13,strict_root,True,True,True,True,0.0032413828354734275,-0.14196451476694766,3.491458669009829,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,14,strict_root,True,True,True,True,0.06142636100364661,-0.2913635309735909,5.900632195611933,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,15,coarse_uniform_miss,True,True,False,True,0.16047686368475708,-247.87214294036056,302.970263664464,0.1,0.0,True,False
1.5,0.2,1000.0,200.0,3,16,strict_root,True,True,True,True,0.004734659032229707,0.029045846955911163,1.7329342868610504,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,17,all_above_offset,False,False,False,False,0.05855911498184527,0.15855911498184527,3.067949907089189,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,18,all_above_offset,False,False,False,False,0.1379625321172835,0.2379625321172835,1.6998650769483787,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,3,19,strict_root,True,True,True,True,0.00041635655374053226,0.023498594643896545,1.4101171115176994,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,0,strict_root,True,True,True,True,0.06787400087905848,-0.44771088215118704,11.32152134270153,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,1,strict_root,True,True,True,True,0.019154278666228708,-0.07711356726451349,2.5076501882076703,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,2,coarse_uniform_miss,True,True,False,True,0.08002254349766134,-1.1588626986262622,27.91131871513496,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,3,all_above_offset,False,False,False,False,0.5814278557063102,0.6814278557063101,0.9196692819344536,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,4,strict_root,True,True,True,True,0.2454974029671333,-1.286276989409501,8.492737678786616,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,5,all_above_offset,False,False,False,False,0.018993833192647525,0.11899383319264753,1.3722800575882081,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,6,strict_root,True,True,True,True,0.01821146831802084,-0.0932131733991467,1.4568524247161696,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,7,strict_root,True,True,True,True,0.0056545876951073215,0.09434541230489268,1.4058194596484157,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,8,coarse_uniform_miss,True,True,False,True,0.0038951448059014737,-0.2819783826703847,6.281306243665936,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,9,strict_root,True,True,True,True,0.005604453608549276,-0.04092585300928013,1.4287641430667655,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,10,coarse_uniform_miss,True,True,False,True,0.12807239186411568,-1.7697348035504332,16.44388624900193,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,11,all_above_offset,False,False,False,False,0.032072849055119035,0.13207284905511904,1.6432483316939288,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,12,strict_root,True,True,True,True,0.046189844430943997,-0.307523954617643,2.9195869719109306,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,13,strict_root,True,True,True,True,0.16870337145289352,-3.7167643103535566,19.407594637618427,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,14,strict_root,True,True,True,True,0.012965402306887155,0.0009617945968152459,3.2406918188616505,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,15,strict_root,True,True,True,True,0.0025441772835768928,-0.02223758186596685,8.030724985212137,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,16,strict_root,True,True,True,True,0.004599446733920667,0.0033356077446694866,1.73951344222263,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,17,strict_root,True,True,True,True,0.20220762036032322,-2.619730082038426,27.573071933975445,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,18,strict_root,True,True,True,True,0.01158065606056237,-0.011868669937295557,8.084443861255686,0.0,0.0,False,False
1.5,0.2,1000.0,200.0,5,19,strict_root,True,True,True,True,0.0026670732022091997,-0.012743931581731403,17.41420579826677,0.0,0.0,False,False
